timestamp_unix,datetime_utc,no_change_january_2026_no
1758153612,2025-09-18T00:00:12+00:00,0.505
1758240014,2025-09-19T00:00:14+00:00,0.525
1758326419,2025-09-20T00:00:19+00:00,0.495
1758412804,2025-09-21T00:00:04+00:00,0.52
1758499219,2025-09-22T00:00:19+00:00,0.51
1758585604,2025-09-23T00:00:04+00:00,0.505
1758672019,2025-09-24T00:00:19+00:00,0.51
1758758408,2025-09-25T00:00:08+00:00,0.485
1758844806,2025-09-26T00:00:06+00:00,0.455
1758931210,2025-09-27T00:00:10+00:00,0.435
1759017603,2025-09-28T00:00:03+00:00,0.43
1759104008,2025-09-29T00:00:08+00:00,0.43
1759190405,2025-09-30T00:00:05+00:00,0.43
1759276805,2025-10-01T00:00:05+00:00,0.435
1759363208,2025-10-02T00:00:08+00:00,0.435
1759449610,2025-10-03T00:00:10+00:00,0.435
1759536011,2025-10-04T00:00:11+00:00,0.435
1759622408,2025-10-05T00:00:08+00:00,0.405
1759708806,2025-10-06T00:00:06+00:00,0.405
1759795212,2025-10-07T00:00:12+00:00,0.405
1759881613,2025-10-08T00:00:13+00:00,0.415
1759968010,2025-10-09T00:00:10+00:00,0.405
1760054417,2025-10-10T00:00:17+00:00,0.42
1760140804,2025-10-11T00:00:04+00:00,0.385
1760227205,2025-10-12T00:00:05+00:00,0.4
1760313614,2025-10-13T00:00:14+00:00,0.4
1760400008,2025-10-14T00:00:08+00:00,0.395
1760486416,2025-10-15T00:00:16+00:00,0.435
1760572818,2025-10-16T00:00:18+00:00,0.425
1760659213,2025-10-17T00:00:13+00:00,0.475
1760745603,2025-10-18T00:00:03+00:00,0.52
1760832006,2025-10-19T00:00:06+00:00,0.515
1760918415,2025-10-20T00:00:15+00:00,0.525
1761004805,2025-10-21T00:00:05+00:00,0.555
1761091208,2025-10-22T00:00:08+00:00,0.525
1761177606,2025-10-23T00:00:06+00:00,0.535
1761264008,2025-10-24T00:00:08+00:00,0.53
1761350409,2025-10-25T00:00:09+00:00,0.53
1761436809,2025-10-26T00:00:09+00:00,0.47
1761523209,2025-10-27T00:00:09+00:00,0.49
1761609610,2025-10-28T00:00:10+00:00,0.515
1761696009,2025-10-29T00:00:09+00:00,0.52
1761782409,2025-10-30T00:00:09+00:00,0.425
1761868806,2025-10-31T00:00:06+00:00,0.445
1761955208,2025-11-01T00:00:08+00:00,0.315
1762041608,2025-11-02T00:00:08+00:00,0.36
1762128007,2025-11-03T00:00:07+00:00,0.355
1762214408,2025-11-04T00:00:08+00:00,0.375
1762300807,2025-11-05T00:00:07+00:00,0.385
1762387205,2025-11-06T00:00:05+00:00,0.36
1762473607,2025-11-07T00:00:07+00:00,0.4
1762560007,2025-11-08T00:00:07+00:00,0.44
1762646421,2025-11-09T00:00:21+00:00,0.435
1762732806,2025-11-10T00:00:06+00:00,0.41
1762819209,2025-11-11T00:00:09+00:00,0.395
1762905610,2025-11-12T00:00:10+00:00,0.41
1762992007,2025-11-13T00:00:07+00:00,0.445
1763078409,2025-11-14T00:00:09+00:00,0.475
1763164809,2025-11-15T00:00:09+00:00,0.465
1763251208,2025-11-16T00:00:08+00:00,0.42
1763337609,2025-11-17T00:00:09+00:00,0.425
1763424008,2025-11-18T00:00:08+00:00,0.475
1763510409,2025-11-19T00:00:09+00:00,0.49
1763596807,2025-11-20T00:00:07+00:00,0.575
1763683209,2025-11-21T00:00:09+00:00,0.56
1763769608,2025-11-22T00:00:08+00:00,0.495
1763856008,2025-11-23T00:00:08+00:00,0.51
1763942411,2025-11-24T00:00:11+00:00,0.5
1764028809,2025-11-25T00:00:09+00:00,0.415
1764115209,2025-11-26T00:00:09+00:00,0.415
