timestamp_unix,datetime_utc,no_change_january_2026_yes
1758153604,2025-09-18T00:00:04+00:00,0.495
1758240019,2025-09-19T00:00:19+00:00,0.475
1758326417,2025-09-20T00:00:17+00:00,0.505
1758412811,2025-09-21T00:00:11+00:00,0.48
1758499204,2025-09-22T00:00:04+00:00,0.49
1758585607,2025-09-23T00:00:07+00:00,0.495
1758672003,2025-09-24T00:00:03+00:00,0.49
1758758406,2025-09-25T00:00:06+00:00,0.515
1758844810,2025-09-26T00:00:10+00:00,0.545
1758931209,2025-09-27T00:00:09+00:00,0.565
1759017615,2025-09-28T00:00:15+00:00,0.57
1759104008,2025-09-29T00:00:08+00:00,0.57
1759190407,2025-09-30T00:00:07+00:00,0.57
1759276809,2025-10-01T00:00:09+00:00,0.565
1759363205,2025-10-02T00:00:05+00:00,0.565
1759449609,2025-10-03T00:00:09+00:00,0.565
1759536009,2025-10-04T00:00:09+00:00,0.565
1759622402,2025-10-05T00:00:02+00:00,0.595
1759708807,2025-10-06T00:00:07+00:00,0.595
1759795205,2025-10-07T00:00:05+00:00,0.595
1759881615,2025-10-08T00:00:15+00:00,0.585
1759968014,2025-10-09T00:00:14+00:00,0.595
1760054413,2025-10-10T00:00:13+00:00,0.58
1760140807,2025-10-11T00:00:07+00:00,0.615
1760227211,2025-10-12T00:00:11+00:00,0.6
1760313613,2025-10-13T00:00:13+00:00,0.6
1760400018,2025-10-14T00:00:18+00:00,0.605
1760486408,2025-10-15T00:00:08+00:00,0.565
1760572805,2025-10-16T00:00:05+00:00,0.575
1760659214,2025-10-17T00:00:14+00:00,0.525
1760745611,2025-10-18T00:00:11+00:00,0.48
1760832012,2025-10-19T00:00:12+00:00,0.485
1760918420,2025-10-20T00:00:20+00:00,0.475
1761004811,2025-10-21T00:00:11+00:00,0.445
1761091222,2025-10-22T00:00:22+00:00,0.475
1761177611,2025-10-23T00:00:11+00:00,0.465
1761264018,2025-10-24T00:00:18+00:00,0.47
1761350417,2025-10-25T00:00:17+00:00,0.47
1761436820,2025-10-26T00:00:20+00:00,0.53
1761523217,2025-10-27T00:00:17+00:00,0.51
1761609622,2025-10-28T00:00:22+00:00,0.485
1761696020,2025-10-29T00:00:20+00:00,0.48
1761782421,2025-10-30T00:00:21+00:00,0.575
1761868813,2025-10-31T00:00:13+00:00,0.555
1761955220,2025-11-01T00:00:20+00:00,0.685
1762041616,2025-11-02T00:00:16+00:00,0.64
1762128019,2025-11-03T00:00:19+00:00,0.645
1762214419,2025-11-04T00:00:19+00:00,0.625
1762300821,2025-11-05T00:00:21+00:00,0.615
1762387213,2025-11-06T00:00:13+00:00,0.64
1762473621,2025-11-07T00:00:21+00:00,0.6
1762560014,2025-11-08T00:00:14+00:00,0.56
1762646432,2025-11-09T00:00:32+00:00,0.565
1762732814,2025-11-10T00:00:14+00:00,0.59
1762819222,2025-11-11T00:00:22+00:00,0.605
1762905619,2025-11-12T00:00:19+00:00,0.59
1762992020,2025-11-13T00:00:20+00:00,0.555
1763078419,2025-11-14T00:00:19+00:00,0.525
1763164823,2025-11-15T00:00:23+00:00,0.535
1763251215,2025-11-16T00:00:15+00:00,0.58
1763337621,2025-11-17T00:00:21+00:00,0.575
1763424016,2025-11-18T00:00:16+00:00,0.525
1763510424,2025-11-19T00:00:24+00:00,0.51
1763596816,2025-11-20T00:00:16+00:00,0.425
1763683226,2025-11-21T00:00:26+00:00,0.44
1763769617,2025-11-22T00:00:17+00:00,0.505
1763856018,2025-11-23T00:00:18+00:00,0.49
1763942415,2025-11-24T00:00:15+00:00,0.5
1764028822,2025-11-25T00:00:22+00:00,0.585
1764115217,2025-11-26T00:00:17+00:00,0.585
1764201622,2025-11-27T00:00:22+00:00,0.62
1764288020,2025-11-28T00:00:20+00:00,0.645
1764374428,2025-11-29T00:00:28+00:00,0.685
1764460821,2025-11-30T00:00:21+00:00,0.68
1764547223,2025-12-01T00:00:23+00:00,0.685
1764633615,2025-12-02T00:00:15+00:00,0.675
1764720025,2025-12-03T00:00:25+00:00,0.67
1764806416,2025-12-04T00:00:16+00:00,0.655
1764892818,2025-12-05T00:00:18+00:00,0.69
1764979219,2025-12-06T00:00:19+00:00,0.685
1765065632,2025-12-07T00:00:32+00:00,0.645
1765152031,2025-12-08T00:00:31+00:00,0.665
1765238428,2025-12-09T00:00:28+00:00,0.695
1765324816,2025-12-10T00:00:16+00:00,0.71
1765411216,2025-12-11T00:00:16+00:00,0.785
1765497617,2025-12-12T00:00:17+00:00,0.805
1765584020,2025-12-13T00:00:20+00:00,0.765
1765670420,2025-12-14T00:00:20+00:00,0.775
1765756822,2025-12-15T00:00:22+00:00,0.775
1765843218,2025-12-16T00:00:18+00:00,0.775
1765929615,2025-12-17T00:00:15+00:00,0.765
1765929636,2025-12-17T00:00:36+00:00,0.765
1766016026,2025-12-18T00:00:26+00:00,0.765
1766102417,2025-12-19T00:00:17+00:00,0.725
1766188817,2025-12-20T00:00:17+00:00,0.765
1766275218,2025-12-21T00:00:18+00:00,0.785
1766361617,2025-12-22T00:00:17+00:00,0.795
1766448019,2025-12-23T00:00:19+00:00,0.795
1766534420,2025-12-24T00:00:20+00:00,0.855
1766620829,2025-12-25T00:00:29+00:00,0.875
1766707214,2025-12-26T00:00:14+00:00,0.865
1766793618,2025-12-27T00:00:18+00:00,0.845
1766880019,2025-12-28T00:00:19+00:00,0.855
1766966436,2025-12-29T00:00:36+00:00,0.865
1767052822,2025-12-30T00:00:22+00:00,0.865
1767139220,2025-12-31T00:00:20+00:00,0.865
1767225620,2026-01-01T00:00:20+00:00,0.875
1767312019,2026-01-02T00:00:19+00:00,0.885
