datetime_utc,decreases_25_january_2026_no,decreases_25_january_2026_yes,decreases_50_january_2026_no,decreases_50_january_2026_yes,increases_25_january_2026_no,increases_25_january_2026_yes,no_change_january_2026_no,no_change_january_2026_yes
2025-09-18,,,,,,0.033,,
2025-09-18,,,,,,,,0.495
2025-09-18,,0.545,,,,,,
2025-09-18,,,0.88,,,,,
2025-09-18,,,,0.12,,,,
2025-09-18,,,,,0.967,,,
2025-09-18,,,,,,,0.505,
2025-09-18,0.455,,,,,,,
2025-09-19,,,,,,0.0425,,
2025-09-19,,,,,,,0.525,
2025-09-19,,,0.895,,,,,
2025-09-19,,,,,0.9575,,,
2025-09-19,0.58,0.42,,0.105,,,,0.475
2025-09-20,0.62,,,,,,,
2025-09-20,,,,,0.9745,,,
2025-09-20,,,0.875,0.125,,,,
2025-09-20,,0.38,,,,0.0255,,0.505
2025-09-20,,,,,,,0.495,
2025-09-21,,,,,,,0.52,
2025-09-21,,,,0.085,0.974,,,
2025-09-21,,,,,,0.026,,
2025-09-21,,,0.915,,,,,
2025-09-21,0.65,,,,,,,
2025-09-21,,0.35,,,,,,0.48
2025-09-22,0.615,,,,,,,0.49
2025-09-22,,,0.89,,,,,
2025-09-22,,,,,,0.027,,
2025-09-22,,,,,0.973,,,
2025-09-22,,0.385,,,,,,
2025-09-22,,,,0.11,,,,
2025-09-22,,,,,,,0.51,
2025-09-23,,,,0.095,,,,
2025-09-23,,,,,,,0.505,
2025-09-23,,,,,,0.0325,,
2025-09-23,,0.385,,,,,,0.495
2025-09-23,,,,,0.9675,,,
2025-09-23,,,0.905,,,,,
2025-09-23,0.615,,,,,,,
2025-09-24,,0.385,,,,,,0.49
2025-09-24,,,0.895,0.105,0.9685,,,
2025-09-24,,,,,,0.0315,,
2025-09-24,0.615,,,,,,,
2025-09-24,,,,,,,0.51,
2025-09-25,,,0.9,,,,,
2025-09-25,0.61,0.39,,0.1,,,,0.515
2025-09-25,,,,,0.9725,,,
2025-09-25,,,,,,,0.485,
2025-09-25,,,,,,0.0275,,
2025-09-26,,,0.93,,0.978,,,
2025-09-26,,,,0.07,,,0.455,
2025-09-26,,,,,,,,0.545
2025-09-26,0.63,0.37,,,,,,
2025-09-26,,,,,,0.022,,
2025-09-27,0.635,,,,,,,
2025-09-27,,0.365,,,,,,
2025-09-27,,,0.93,,,,,
2025-09-27,,,,0.07,,,,
2025-09-27,,,,,,,,0.565
2025-09-27,,,,,,0.02,0.435,
2025-09-27,,,,,0.98,,,
2025-09-28,,,,,,,0.43,
2025-09-28,0.64,,,,,,,
2025-09-28,,,,0.07,,0.0175,,
2025-09-28,,0.36,,,,,,
2025-09-28,,,0.93,,0.9825,,,
2025-09-28,,,,,,,,0.57
2025-09-29,,0.365,,0.07,,,,
2025-09-29,0.635,,,,0.9835,0.0165,,
2025-09-29,,,0.93,,,,0.43,0.57
2025-09-30,,,,,0.9855,,,
2025-09-30,,,,,,,0.43,
2025-09-30,0.635,,0.935,,,,,0.57
2025-09-30,,0.365,,0.065,,,,
2025-09-30,,,,,,0.0145,,
2025-10-01,0.65,0.35,,,,,,
2025-10-01,,,,0.09,,,,
2025-10-01,,,,,0.9895,,0.435,
2025-10-01,,,,,,0.0105,,
2025-10-01,,,,,,,,0.565
2025-10-01,,,0.91,,,,,
2025-10-02,,,,,,0.0085,,
2025-10-02,,,,,,,,0.565
2025-10-02,,,,,0.9915,,,
2025-10-02,0.645,,,,,,,
2025-10-02,,,,0.075,,,0.435,
2025-10-02,,0.355,0.925,,,,,
2025-10-03,,0.365,,,,,,
2025-10-03,,,,0.075,,,,
2025-10-03,0.635,,0.925,,,,,
2025-10-03,,,,,,,,0.565
2025-10-03,,,,,,0.0075,0.435,
2025-10-03,,,,,0.9925,,,
2025-10-04,,0.35,,,,,,
2025-10-04,0.65,,,,,,,
2025-10-04,,,0.92,0.08,,,,
2025-10-04,,,,,,0.0075,,
2025-10-04,,,,,,,,0.565
2025-10-04,,,,,0.9925,,,
2025-10-04,,,,,,,0.435,
2025-10-05,,,,,,,,0.595
2025-10-05,,,0.915,,,0.0075,,
2025-10-05,,0.305,,0.085,0.9925,,,
2025-10-05,0.695,,,,,,,
2025-10-05,,,,,,,0.405,
2025-10-06,,,,0.095,,,,
2025-10-06,,0.33,,,0.9925,,0.405,
2025-10-06,0.67,,,,,,,0.595
2025-10-06,,,,,,0.0075,,
2025-10-06,,,0.905,,,,,
2025-10-07,,,,,,,,0.595
2025-10-07,,0.32,0.905,,,0.0075,,
2025-10-07,,,,,0.9925,,,
2025-10-07,0.68,,,,,,,
2025-10-07,,,,0.095,,,0.405,
2025-10-08,,,,0.115,,,,
2025-10-08,,,,,,0.0095,,
2025-10-08,,0.29,,,,,,
2025-10-08,,,0.885,,,,,
2025-10-08,0.71,,,,0.9905,,0.415,
2025-10-08,,,,,,,,0.585
2025-10-09,,0.29,,,,,,
2025-10-09,0.71,,,0.115,,,,
2025-10-09,,,,,,0.01,,
2025-10-09,,,,,,,0.405,
2025-10-09,,,,,0.99,,,
2025-10-09,,,0.885,,,,,0.595
2025-10-10,,,,,0.9895,,,
2025-10-10,,,,,,0.0105,,
2025-10-10,,,,,,,,0.58
2025-10-10,,,,0.105,,,,
2025-10-10,,0.27,,,,,,
2025-10-10,0.73,,,,,,0.42,
2025-10-10,,,0.895,,,,,
2025-10-11,,,,,,0.009,0.385,
2025-10-11,0.715,,,,,,,
2025-10-11,,,0.885,,,,,0.615
2025-10-11,,,,,0.991,,,
2025-10-11,,,,0.115,,,,
2025-10-11,,0.285,,,,,,
2025-10-12,,,,,,,0.4,
2025-10-12,,,,,0.9905,,,
2025-10-12,,,,,,,,0.6
2025-10-12,,,,0.105,,,,
2025-10-12,,0.295,0.895,,,,,
