datetime_utc,no_change_june_2026_no,no_change_june_2026_yes,decreases_25_june_2026_no,decreases_25_june_2026_yes,decreases_50_june_2026_no,decreases_50_june_2026_yes,increases_25_june_2026_no,increases_25_june_2026_yes,increases_50_june_2026_no,increases_50_june_2026_yes
2025-12-11,,,,,0.85,,,,,
2025-12-11,,0.575,,,,,,,,
2025-12-11,,,0.5,,,0.15,,,,
2025-12-11,,,,,,,,,0.905,0.095
2025-12-11,0.425,,,,,,,0.25,,
2025-12-11,,,,0.5,,,0.75,,,
2025-12-12,,,,,0.87,,,,,
2025-12-12,,0.36,,,,,,,,
2025-12-12,,,,,,0.13,,,,
2025-12-12,,,0.465,,,,,,,
2025-12-12,0.64,,,,,,,0.0345,0.96,0.04
2025-12-12,,,,0.535,,,0.9655,,,
2025-12-13,,,,,0.875,,,,,
2025-12-13,,0.43,,,,,,,,
2025-12-13,,,,,,0.125,,,,
2025-12-13,,,0.6,,,,,,0.964,0.036
2025-12-13,0.57,,,,,,,0.0615,,
2025-12-13,,,,0.4,,,0.9385,,,
2025-12-14,,,,,0.875,,,,,
2025-12-14,,0.43,,,,,,,,
2025-12-14,,,,,,0.125,,,,
2025-12-14,,,0.61,,,,,,,
2025-12-14,,,,,,,,,0.9635,
2025-12-14,0.57,,,,,,,0.0495,,0.0365
2025-12-14,,,,0.39,,,0.9505,,,
2025-12-15,,,,,0.875,,,,,
2025-12-15,,0.43,,,,,,,,
2025-12-15,,,,,,0.125,,,,
2025-12-15,,,0.61,,,,,,,
2025-12-15,,,,,,,,,0.9615,
2025-12-15,,,,,,,,,,0.0385
2025-12-15,0.57,,,,,,,0.0375,,
2025-12-15,,,,0.39,,,0.9625,,,
2025-12-16,,,,,0.88,,,,,
2025-12-16,,0.435,,,,,,,,
2025-12-16,,,,,,0.12,,,,
2025-12-16,,,0.615,,,,,,0.962,
2025-12-16,0.565,,,,,,,0.0255,,0.038
2025-12-16,,,,,,,0.9745,,,
2025-12-16,,,,0.385,,,,,,
2025-12-17,,,,,0.88,,,,,
2025-12-17,,0.425,,,,,,,,
2025-12-17,,,0.595,,,0.12,,,,
2025-12-17,,,,,,,,,0.9625,0.0375
2025-12-17,0.575,,,,,,,0.0645,,
2025-12-17,,,,,,,0.9355,,,
2025-12-17,,,,0.405,,,,,,
2025-12-17,,,,,0.88,,,,,
2025-12-17,,0.425,,,,,,,,
