timestamp_unix,datetime_utc,increases_25_march_2026_yes
1761782411,2025-10-30T00:00:11+00:00,0.16
1761868808,2025-10-31T00:00:08+00:00,0.04
1761955211,2025-11-01T00:00:11+00:00,0.04
1762041610,2025-11-02T00:00:10+00:00,0.055
1762128010,2025-11-03T00:00:10+00:00,0.05
1762214410,2025-11-04T00:00:10+00:00,0.045
1762300810,2025-11-05T00:00:10+00:00,0.045
1762387207,2025-11-06T00:00:07+00:00,0.06
1762473611,2025-11-07T00:00:11+00:00,0.055
1762560009,2025-11-08T00:00:09+00:00,0.055
1762646423,2025-11-09T00:00:23+00:00,0.06
1762732808,2025-11-10T00:00:08+00:00,0.055
1762819212,2025-11-11T00:00:12+00:00,0.045
1762905612,2025-11-12T00:00:12+00:00,0.045
1762992010,2025-11-13T00:00:10+00:00,0.045
1763078410,2025-11-14T00:00:10+00:00,0.045
1763164812,2025-11-15T00:00:12+00:00,0.045
1763251209,2025-11-16T00:00:09+00:00,0.04
1763337611,2025-11-17T00:00:11+00:00,0.04
1763424009,2025-11-18T00:00:09+00:00,0.04
1763510412,2025-11-19T00:00:12+00:00,0.04
1763596809,2025-11-20T00:00:09+00:00,0.06
1763683213,2025-11-21T00:00:13+00:00,0.06
1763769610,2025-11-22T00:00:10+00:00,0.055
1763856010,2025-11-23T00:00:10+00:00,0.05
1763942411,2025-11-24T00:00:11+00:00,0.045
1764028812,2025-11-25T00:00:12+00:00,0.0305
1764115211,2025-11-26T00:00:11+00:00,0.0265
1764201612,2025-11-27T00:00:12+00:00,0.026
1764288012,2025-11-28T00:00:12+00:00,0.0275
1764374415,2025-11-29T00:00:15+00:00,0.026
1764460812,2025-11-30T00:00:12+00:00,0.015
1764547212,2025-12-01T00:00:12+00:00,0.017
1764633610,2025-12-02T00:00:10+00:00,0.016
1764720014,2025-12-03T00:00:14+00:00,0.0165
1764806410,2025-12-04T00:00:10+00:00,0.0165
1764892811,2025-12-05T00:00:11+00:00,0.02
1764979212,2025-12-06T00:00:12+00:00,0.0225
1765065624,2025-12-07T00:00:24+00:00,0.012
1765152024,2025-12-08T00:00:24+00:00,0.018
1765238422,2025-12-09T00:00:22+00:00,0.022
1765324811,2025-12-10T00:00:11+00:00,0.0215
1765411211,2025-12-11T00:00:11+00:00,0.015
1765497611,2025-12-12T00:00:11+00:00,0.014
1765584013,2025-12-13T00:00:13+00:00,0.012
1765670412,2025-12-14T00:00:12+00:00,0.011
1765756813,2025-12-15T00:00:13+00:00,0.0145
1765843211,2025-12-16T00:00:11+00:00,0.013
