timestamp_unix,datetime_utc,no_change_march_2026_no
1761782424,2025-10-30T00:00:24+00:00,0.425
1761868816,2025-10-31T00:00:16+00:00,0.46
1761955224,2025-11-01T00:00:24+00:00,0.495
1762041619,2025-11-02T00:00:19+00:00,0.47
1762128023,2025-11-03T00:00:23+00:00,0.48
1762214422,2025-11-04T00:00:22+00:00,0.465
1762300826,2025-11-05T00:00:26+00:00,0.45
1762387215,2025-11-06T00:00:15+00:00,0.425
1762473626,2025-11-07T00:00:26+00:00,0.425
1762560016,2025-11-08T00:00:16+00:00,0.43
1762646437,2025-11-09T00:00:37+00:00,0.46
1762732816,2025-11-10T00:00:16+00:00,0.455
1762819226,2025-11-11T00:00:26+00:00,0.43
1762905622,2025-11-12T00:00:22+00:00,0.43
1762992024,2025-11-13T00:00:24+00:00,0.425
1763078423,2025-11-14T00:00:23+00:00,0.44
1763164829,2025-11-15T00:00:29+00:00,0.455
1763251218,2025-11-16T00:00:18+00:00,0.455
1763337625,2025-11-17T00:00:25+00:00,0.455
1763424019,2025-11-18T00:00:19+00:00,0.455
1763510429,2025-11-19T00:00:29+00:00,0.48
1763596818,2025-11-20T00:00:18+00:00,0.49
1763683232,2025-11-21T00:00:32+00:00,0.48
1763769620,2025-11-22T00:00:20+00:00,0.48
1763856021,2025-11-23T00:00:21+00:00,0.51
1763942417,2025-11-24T00:00:17+00:00,0.465
1764028826,2025-11-25T00:00:26+00:00,0.445
1764115220,2025-11-26T00:00:20+00:00,0.455
1764201626,2025-11-27T00:00:26+00:00,0.45
1764288024,2025-11-28T00:00:24+00:00,0.45
1764374434,2025-11-29T00:00:34+00:00,0.445
1764460825,2025-11-30T00:00:25+00:00,0.475
1764547230,2025-12-01T00:00:30+00:00,0.475
1764633618,2025-12-02T00:00:18+00:00,0.49
1764720029,2025-12-03T00:00:29+00:00,0.46
1764806418,2025-12-04T00:00:18+00:00,0.465
1764892821,2025-12-05T00:00:21+00:00,0.455
1764979222,2025-12-06T00:00:22+00:00,0.465
1765065635,2025-12-07T00:00:35+00:00,0.485
1765152033,2025-12-08T00:00:33+00:00,0.455
1765238431,2025-12-09T00:00:31+00:00,0.475
1765324818,2025-12-10T00:00:18+00:00,0.45
1765411219,2025-12-11T00:00:19+00:00,0.395
1765497619,2025-12-12T00:00:19+00:00,0.375
1765584022,2025-12-13T00:00:22+00:00,0.41
1765670423,2025-12-14T00:00:23+00:00,0.38
1765756827,2025-12-15T00:00:27+00:00,0.385
1765843222,2025-12-16T00:00:22+00:00,0.395
1765929619,2025-12-17T00:00:19+00:00,0.465
1765929638,2025-12-17T00:00:38+00:00,0.465
1766016029,2025-12-18T00:00:29+00:00,0.44
1766102420,2025-12-19T00:00:20+00:00,0.545
1766188820,2025-12-20T00:00:20+00:00,0.49
1766275221,2025-12-21T00:00:21+00:00,0.475
