datetime_utc,no_change_march_2026_no,no_change_march_2026_yes,decreases_25_march_2026_no,decreases_25_march_2026_yes,decreases_50_march_2026_no,decreases_50_march_2026_yes,increases_25_march_2026_no,increases_25_march_2026_yes
2025-10-30,,,,,,,0.84,
2025-10-30,,,0.615,,,0.09,,0.16
2025-10-30,,,,0.385,,,,
2025-10-30,,,,,0.91,,,
2025-10-30,,0.575,,,,,,
2025-10-30,0.425,,,,,,,
2025-10-31,,,,,,,0.96,
2025-10-31,,,0.625,,,,,
2025-10-31,,,,0.375,,0.11,,0.04
2025-10-31,,,,,0.89,,,
2025-10-31,,0.54,,,,,,
2025-10-31,0.46,,,,,,,
2025-11-01,,,,,,,0.96,
2025-11-01,,,0.59,0.41,,0.085,,0.04
2025-11-01,,,,,0.915,,,
2025-11-01,,0.505,,,,,,
2025-11-01,0.495,,,,,,,
2025-11-02,,,,,,,0.945,
2025-11-02,,,0.635,,,,,
2025-11-02,,,,0.365,,0.085,,0.055
2025-11-02,,,,,0.915,,,
2025-11-02,,0.53,,,,,,
2025-11-02,0.47,,,,,,,
2025-11-03,,,,,,,0.95,
2025-11-03,,,0.615,,,,,
2025-11-03,,,,0.385,,0.08,,0.05
2025-11-03,,,,,0.92,,,
2025-11-03,,0.52,,,,,,
2025-11-03,0.48,,,,,,,
2025-11-04,,,,,,,0.955,
2025-11-04,,,0.625,,,,,0.045
2025-11-04,,,,0.375,,0.08,,
2025-11-04,,,,,0.92,,,
2025-11-04,,0.535,,,,,,
2025-11-04,0.465,,,,,,,
2025-11-05,,,,,,,0.955,
2025-11-05,,,0.655,,,,,0.045
2025-11-05,,,,0.345,,0.08,,
2025-11-05,,,,,0.92,,,
2025-11-05,,0.55,,,,,,
2025-11-05,0.45,,,,,,,
2025-11-06,,,,,,,0.94,
2025-11-06,,,0.675,0.325,,0.075,,0.06
2025-11-06,,,,,0.925,,,
2025-11-06,,0.575,,,,,,
2025-11-06,0.425,,,,,,,
2025-11-07,,,,,,,0.945,
2025-11-07,,,0.68,,,,,
2025-11-07,,,,,,0.075,,
2025-11-07,,,,0.32,,,,0.055
2025-11-07,,,,,0.925,,,
2025-11-07,,0.575,,,,,,
2025-11-07,0.425,,,,,,,
2025-11-08,,,,,,,0.945,
2025-11-08,,,0.68,,,0.085,,
2025-11-08,,,,0.32,0.915,,,0.055
2025-11-08,,0.57,,,,,,
2025-11-08,0.43,,,,,,,
2025-11-09,,,,,,,0.94,
2025-11-09,,,0.67,,,0.085,,0.06
2025-11-09,,,,0.33,0.915,,,
2025-11-09,,0.54,,,,,,
2025-11-09,0.46,,,,,,,
2025-11-10,,,,,,,0.945,
2025-11-10,,,0.665,,,,,
2025-11-10,,,,0.335,,0.08,,0.055
2025-11-10,,,,,0.92,,,
2025-11-10,,0.545,,,,,,
2025-11-10,0.455,,,,,,,
2025-11-11,,,,,,,0.955,
2025-11-11,,,0.675,,,,,
2025-11-11,,,,0.325,,0.08,,0.045
2025-11-11,,,,,0.92,,,
2025-11-11,,0.57,,,,,,
2025-11-11,0.43,,,,,,,
2025-11-12,,,,,,,0.955,
2025-11-12,,,0.67,,,,,
2025-11-12,,,,0.33,,0.075,,0.045
2025-11-12,,,,,0.925,,,
2025-11-12,,0.57,,,,,,
2025-11-12,0.43,,,,,,,
2025-11-13,,,,,,,0.955,
2025-11-13,,,0.68,0.32,,0.095,,0.045
2025-11-13,,,,,0.905,,,
2025-11-13,,0.575,,,,,,
2025-11-13,0.425,,,,,,,
2025-11-14,,,,,,,0.955,
2025-11-14,,,0.68,,,0.1,,0.045
2025-11-14,,,,0.32,,,,
2025-11-14,,,,,0.9,,,
2025-11-14,,0.56,,,,,,
2025-11-14,0.44,,,,,,,
2025-11-15,,,,,,,0.955,
2025-11-15,,,0.685,,,,,
2025-11-15,,,,0.315,,0.095,,0.045
2025-11-15,,,,,0.905,,,
2025-11-15,,0.545,,,,,,
2025-11-15,0.455,,,,,,,
2025-11-16,,,,,,,0.96,
2025-11-16,,,0.665,,,,,
2025-11-16,,,,0.335,,0.085,,0.04
2025-11-16,,,,,0.915,,,
2025-11-16,,0.545,,,,,,
2025-11-16,0.455,,,,,,,
2025-11-17,,,,,,,0.96,
2025-11-17,,,0.665,,,,,
2025-11-17,,,,0.335,,0.08,,0.04
2025-11-17,,,,,0.92,,,
2025-11-17,,0.545,,,,,,
2025-11-17,0.455,,,,,,,
2025-11-18,,,,,,,0.96,
2025-11-18,,,0.645,,,0.095,,0.04
2025-11-18,,,,0.355,0.905,,,
2025-11-18,,0.545,,,,,,
2025-11-18,0.455,,,,,,,
2025-11-19,,,,,,,0.96,
2025-11-19,,,0.61,,,0.065,,0.04
2025-11-19,,,,0.39,,,,
2025-11-19,,,,,0.935,,,
2025-11-19,,0.52,,,,,,
2025-11-19,0.48,,,,,,,
2025-11-20,,,,,,,0.94,
2025-11-20,,,0.61,0.39,,0.06,,0.06
2025-11-20,,,,,0.94,,,
2025-11-20,,0.51,,,,,,
2025-11-20,0.49,,,,,,,
2025-11-21,,,,,,,0.94,
2025-11-21,,,0.615,,,,,
2025-11-21,,,,,,0.065,,0.06
2025-11-21,,,,0.385,,,,
2025-11-21,,,,,0.935,,,
2025-11-21,,0.52,,,,,,
2025-11-21,0.48,,,,,,,
2025-11-22,,,,,,,0.945,
2025-11-22,,,0.615,0.385,,0.085,,0.055
2025-11-22,,,,,0.915,,,
2025-11-22,,0.52,,,,,,
2025-11-22,0.48,,,,,,,
2025-11-23,,,,,,,0.95,
2025-11-23,,,0.615,,,,,
2025-11-23,,,,0.385,,0.07,,0.05
2025-11-23,,,,,0.93,,,
2025-11-23,,0.49,,,,,,
2025-11-23,0.51,,,,,,,
2025-11-24,,,,,,,0.955,
2025-11-24,,,0.615,,,0.055,,0.045
2025-11-24,,,,0.385,0.945,,,
2025-11-24,,0.535,,,,,,
2025-11-24,0.465,,,,,,,
2025-11-25,,,,,,,0.9695,
2025-11-25,,,0.625,,,,,
2025-11-25,,,,0.375,,0.075,,0.0305
2025-11-25,,,,,0.925,,,
2025-11-25,,0.555,,,,,,
2025-11-25,0.445,,,,,,,
2025-11-26,,,,,,,0.9735,
2025-11-26,,,0.635,,,,,
2025-11-26,,,,0.365,0.925,0.075,,0.0265
2025-11-26,,0.545,,,,,,
2025-11-26,0.455,,,,,,,
2025-11-27,,,,,,,0.974,
2025-11-27,,,0.63,,,,,
2025-11-27,,,,,,0.07,,0.026
2025-11-27,,,,0.37,0.93,,,
2025-11-27,,0.55,,,,,,
2025-11-27,0.45,,,,,,,
2025-11-28,,,,,,,0.9725,
2025-11-28,,,0.625,,,,,
2025-11-28,,,,0.375,,0.06,,0.0275
2025-11-28,,,,,0.94,,,
2025-11-28,,0.55,,,,,,
2025-11-28,0.45,,,,,,,
2025-11-29,,,,,,,0.974,
2025-11-29,,,0.625,,,,,
2025-11-29,,,,,,0.055,,
2025-11-29,,,,0.375,,,,0.026
2025-11-29,,,,,0.945,,,
2025-11-29,,0.555,,,,,,
2025-11-29,0.445,,,,,,,
2025-11-30,,,,,,,0.985,
2025-11-30,,,0.6,,,,,
2025-11-30,,,,0.4,,0.055,,0.015
2025-11-30,,,,,0.945,,,
2025-11-30,,0.525,,,,,,
2025-11-30,0.475,,,,,,,
2025-12-01,,,,,,,0.983,
2025-12-01,,,0.595,0.405,,0.0575,,0.017
2025-12-01,,,,,0.9425,,,
2025-12-01,,0.525,,,,,,
2025-12-01,0.475,,,,,,,
2025-12-02,,,,,,,0.984,
2025-12-02,,,0.575,,,,,
2025-12-02,,,,0.425,,0.061,,0.016
2025-12-02,,,,,0.939,,,
2025-12-02,,0.51,,,,,,
2025-12-02,0.49,,,,,,,
2025-12-03,,,,,,,0.9835,
2025-12-03,,,0.61,,,,,
2025-12-03,,,,0.39,,0.059,,0.0165
2025-12-03,,,,,0.941,,,
2025-12-03,,0.54,,,,,,
2025-12-03,0.46,,,,,,,
2025-12-04,,,,,,,0.9835,
2025-12-04,,,0.595,,,0.0475,,0.0165
2025-12-04,,,,0.405,0.9525,,,
2025-12-04,,0.535,,,,,,
2025-12-04,0.465,,,,,,,
2025-12-05,,,,,,,0.98,
2025-12-05,,,0.605,0.395,,0.0645,,0.02
2025-12-05,,,,,0.9355,,,
2025-12-05,,0.545,,,,,,
2025-12-05,0.455,,,,,,,
2025-12-06,,,,,,,0.9775,
2025-12-06,,,0.605,,,,,
2025-12-06,,,,0.395,,0.065,,0.0225
