datetime_utc,us_recession_2025_no,us_recession_2025_yes
2025-01-09,0.815,0.185
2025-01-10,0.815,0.185
2025-01-11,0.805,0.195
2025-01-12,0.805,0.195
2025-01-13,0.805,0.195
2025-01-14,0.795,0.205
2025-01-15,0.795,0.205
2025-01-16,0.785,0.215
2025-01-17,0.755,0.245
2025-01-18,0.755,0.245
2025-01-19,0.755,0.245
2025-01-20,0.735,0.265
2025-01-21,0.745,0.255
2025-01-22,0.765,0.235
2025-01-23,0.745,0.255
2025-01-24,0.745,0.255
2025-01-25,0.745,0.255
2025-01-26,0.745,0.255
2025-01-27,0.755,0.245
2025-01-28,0.755,0.245
2025-01-29,0.755,0.245
2025-01-30,0.755,0.245
2025-01-31,0.755,0.245
2025-02-01,0.755,0.245
2025-02-02,0.77,0.23
2025-02-03,0.77,0.23
2025-02-04,0.77,0.23
2025-02-05,0.775,0.225
2025-02-06,0.775,0.225
2025-02-07,0.775,0.225
2025-02-08,0.785,0.215
2025-02-09,0.785,0.215
2025-02-10,0.79,0.21
2025-02-11,0.79,0.21
2025-02-12,0.795,0.205
2025-02-13,0.785,0.215
2025-02-14,0.785,0.215
2025-02-15,0.79,0.21
2025-02-16,0.785,0.215
2025-02-17,0.785,0.215
2025-02-18,0.785,0.215
2025-02-19,0.785,0.215
2025-02-20,0.785,0.215
2025-02-21,0.785,0.215
2025-02-22,0.785,0.215
2025-02-23,0.785,0.215
2025-02-24,0.785,0.215
2025-02-25,0.785,0.215
2025-02-26,0.775,0.225
2025-02-27,0.775,0.225
2025-02-28,0.775,0.225
2025-03-01,0.68,0.32
2025-03-02,0.7,0.3
2025-03-03,0.735,0.265
2025-03-04,0.67,0.33
2025-03-05,0.625,0.375
2025-03-06,0.67,0.33
2025-03-07,0.695,0.305
2025-03-08,0.67,0.33
2025-03-09,0.69,0.31
2025-03-10,0.635,0.365
2025-03-11,0.565,0.435
2025-03-12,0.605,0.395
2025-03-13,0.635,0.365
2025-03-14,0.595,0.405
2025-03-15,0.575,0.425
2025-03-16,0.59,0.41
2025-03-17,0.595,0.405
