timestamp_unix,datetime_utc,increase_min_2_7_april_2025_yes
1744329605,2025-04-11T00:00:05+00:00,0.08
1744416006,2025-04-12T00:00:06+00:00,0.049
1744502405,2025-04-13T00:00:05+00:00,0.0655
1744588805,2025-04-14T00:00:05+00:00,0.0695
1744675205,2025-04-15T00:00:05+00:00,0.0315
1744761605,2025-04-16T00:00:05+00:00,0.012
1744848006,2025-04-17T00:00:06+00:00,0.024
1744934404,2025-04-18T00:00:04+00:00,0.035
1745020806,2025-04-19T00:00:06+00:00,0.045
1745107206,2025-04-20T00:00:06+00:00,0.052
1745193606,2025-04-21T00:00:06+00:00,0.05
1745280006,2025-04-22T00:00:06+00:00,0.0185
1745366407,2025-04-23T00:00:07+00:00,0.0235
1745452806,2025-04-24T00:00:06+00:00,0.0375
1745539206,2025-04-25T00:00:06+00:00,0.0355
1745625606,2025-04-26T00:00:06+00:00,0.0315
1745712005,2025-04-27T00:00:05+00:00,0.032
1745798405,2025-04-28T00:00:05+00:00,0.035
1745884805,2025-04-29T00:00:05+00:00,0.0275
1745971206,2025-04-30T00:00:06+00:00,0.0445
1746057606,2025-05-01T00:00:06+00:00,0.0575
1746144006,2025-05-02T00:00:06+00:00,0.0535
1746230406,2025-05-03T00:00:06+00:00,0.059
1746316805,2025-05-04T00:00:05+00:00,0.058
1746403205,2025-05-05T00:00:05+00:00,0.036
1746489606,2025-05-06T00:00:06+00:00,0.0425
1746576005,2025-05-07T00:00:05+00:00,0.0425
1746662406,2025-05-08T00:00:06+00:00,0.0485
1746748807,2025-05-09T00:00:07+00:00,0.041
1746835206,2025-05-10T00:00:06+00:00,0.03
1746921606,2025-05-11T00:00:06+00:00,0.0265
1747008006,2025-05-12T00:00:06+00:00,0.0095
1747094406,2025-05-13T00:00:06+00:00,0.0125
