datetime_utc,increase_max_2_3_april_2025_no,increase_max_2_3_april_2025_yes,increase_2_4_april_2025_no,increase_2_4_april_2025_yes,increase_2_5_april_2025_no,increase_2_5_april_2025_yes,increase_2_6_april_2025_no,increase_2_6_april_2025_yes,increase_min_2_7_april_2025_no,increase_min_2_7_april_2025_yes
2025-04-11,0.76,0.24,0.62,0.38,0.67,0.33,0.77,0.23,0.92,0.08
2025-04-12,0.655,0.345,0.725,0.275,0.755,0.245,0.89,0.11,0.951,0.049
2025-04-13,0.655,0.345,0.715,0.285,0.79,0.21,0.89,0.11,0.9345,0.0655
2025-04-14,0.65,0.35,0.72,0.28,0.78,0.22,0.89,0.11,0.9305,0.0695
2025-04-15,0.51,0.49,0.725,0.275,0.86,0.14,0.95,0.05,0.9685,0.0315
2025-04-16,0.44,0.56,0.72,0.28,0.885,0.115,0.97,0.03,0.988,0.012
2025-04-17,0.415,0.585,0.725,0.275,0.895,0.105,0.9765,0.0235,0.976,0.024
2025-04-18,0.5,0.5,0.705,0.295,0.885,0.115,0.9805,0.0195,0.965,0.035
2025-04-19,0.515,0.485,0.7,0.3,0.87,0.13,0.951,0.049,0.955,0.045
2025-04-20,0.515,0.485,0.705,0.295,0.865,0.135,0.9525,0.0475,0.948,0.052
2025-04-21,0.565,0.435,0.69,0.31,0.84,0.16,0.936,0.064,0.95,0.05
2025-04-22,0.5,0.5,0.715,0.285,0.855,0.145,0.975,0.025,0.9815,0.0185
2025-04-23,0.495,0.505,0.715,0.285,0.83,0.17,0.9565,0.0435,0.9765,0.0235
2025-04-24,0.495,0.505,0.71,0.29,0.845,0.155,0.9575,0.0425,0.9625,0.0375
2025-04-25,0.485,0.515,0.725,0.275,0.86,0.14,0.9455,0.0545,0.9645,0.0355
2025-04-26,0.475,0.525,0.71,0.29,0.845,0.155,0.9635,0.0365,0.9685,0.0315
2025-04-27,0.535,0.465,0.685,0.315,0.845,0.155,0.9595,0.0405,0.968,0.032
2025-04-28,0.535,0.465,0.665,0.335,0.85,0.15,0.9575,0.0425,0.965,0.035
2025-04-29,0.54,0.46,0.665,0.335,0.85,0.15,0.9605,0.0395,0.9725,0.0275
2025-04-30,0.535,0.465,0.64,0.36,0.905,0.095,0.97,0.03,0.9555,0.0445
2025-05-01,0.545,0.455,0.705,0.295,0.86,0.14,0.9625,0.0375,0.9425,0.0575
2025-05-02,0.545,0.455,0.665,0.335,0.88,0.12,0.9755,0.0245,0.9465,0.0535
2025-05-03,0.56,0.44,0.655,0.345,0.865,0.135,0.97,0.03,0.941,0.059
2025-05-04,0.565,0.435,0.65,0.35,0.855,0.145,0.9655,0.0345,0.942,0.058
2025-05-05,0.57,0.43,0.63,0.37,0.84,0.16,0.9725,0.0275,0.964,0.036
2025-05-06,0.625,0.375,0.635,0.365,0.825,0.175,0.981,0.019,0.9575,0.0425
2025-05-07,0.595,0.405,0.625,0.375,0.84,0.16,0.963,0.037,0.9575,0.0425
2025-05-08,0.6,0.4,0.63,0.37,0.83,0.17,0.963,0.037,0.9515,0.0485
2025-05-09,0.54,0.46,0.68,0.32,0.84,0.16,0.9625,0.0375,0.959,0.041
2025-05-10,0.575,0.425,0.66,0.34,0.855,0.145,0.974,0.026,0.97,0.03
2025-05-11,0.6,0.4,0.675,0.325,0.825,0.175,0.977,0.023,0.9735,0.0265
2025-05-12,0.545,0.455,0.675,0.325,0.835,0.165,0.9655,0.0345,0.9905,0.0095
2025-05-13,0.505,0.495,0.635,0.365,0.88,0.12,0.979,0.021,0.9875,0.0125
