timestamp_unix,datetime_utc,increase_max_2_6_august_2025_no
1755043210,2025-08-13T00:00:10+00:00,0.95
1755129607,2025-08-14T00:00:07+00:00,0.9615
1755216007,2025-08-15T00:00:07+00:00,0.95
1755302402,2025-08-16T00:00:02+00:00,0.95
1755388809,2025-08-17T00:00:09+00:00,0.9525
1755475209,2025-08-18T00:00:09+00:00,0.9525
1755561614,2025-08-19T00:00:14+00:00,0.952
1755648005,2025-08-20T00:00:05+00:00,0.9635
1755734402,2025-08-21T00:00:02+00:00,0.9745
1755820809,2025-08-22T00:00:09+00:00,0.976
1755907214,2025-08-23T00:00:14+00:00,0.958
1755993610,2025-08-24T00:00:10+00:00,0.975
1756080002,2025-08-25T00:00:02+00:00,0.9715
1756166408,2025-08-26T00:00:08+00:00,0.9685
1756252809,2025-08-27T00:00:09+00:00,0.9775
1756339205,2025-08-28T00:00:05+00:00,0.977
1756425618,2025-08-29T00:00:18+00:00,0.967
1756512008,2025-08-30T00:00:08+00:00,0.963
1756598411,2025-08-31T00:00:11+00:00,0.963
1756684813,2025-09-01T00:00:13+00:00,0.9615
1756771209,2025-09-02T00:00:09+00:00,0.976
1756857609,2025-09-03T00:00:09+00:00,0.982
1756944006,2025-09-04T00:00:06+00:00,0.9835
1757030413,2025-09-05T00:00:13+00:00,0.98
1757116817,2025-09-06T00:00:17+00:00,0.9875
1757203213,2025-09-07T00:00:13+00:00,0.9825
1757289616,2025-09-08T00:00:16+00:00,0.98
1757376014,2025-09-09T00:00:14+00:00,0.9845
1757462409,2025-09-10T00:00:09+00:00,0.989
1757548812,2025-09-11T00:00:12+00:00,0.989
