timestamp_unix,datetime_utc,increase_max_2_6_august_2025_yes
1755043207,2025-08-13T00:00:07+00:00,0.05
1755129604,2025-08-14T00:00:04+00:00,0.0385
1755216007,2025-08-15T00:00:07+00:00,0.05
1755302409,2025-08-16T00:00:09+00:00,0.05
1755388815,2025-08-17T00:00:15+00:00,0.0475
1755475202,2025-08-18T00:00:02+00:00,0.0475
1755561604,2025-08-19T00:00:04+00:00,0.048
1755648007,2025-08-20T00:00:07+00:00,0.0365
1755734405,2025-08-21T00:00:05+00:00,0.0255
1755820805,2025-08-22T00:00:05+00:00,0.024
1755907214,2025-08-23T00:00:14+00:00,0.042
1755993604,2025-08-24T00:00:04+00:00,0.025
1756080006,2025-08-25T00:00:06+00:00,0.0285
1756166404,2025-08-26T00:00:04+00:00,0.0315
1756252806,2025-08-27T00:00:06+00:00,0.0225
1756339205,2025-08-28T00:00:05+00:00,0.023
1756425614,2025-08-29T00:00:14+00:00,0.033
1756512002,2025-08-30T00:00:02+00:00,0.037
1756598412,2025-08-31T00:00:12+00:00,0.037
1756684811,2025-09-01T00:00:11+00:00,0.0385
1756771205,2025-09-02T00:00:05+00:00,0.024
1756857609,2025-09-03T00:00:09+00:00,0.018
1756944015,2025-09-04T00:00:15+00:00,0.0165
1757030406,2025-09-05T00:00:06+00:00,0.02
1757116808,2025-09-06T00:00:08+00:00,0.0125
1757203207,2025-09-07T00:00:07+00:00,0.0175
1757289611,2025-09-08T00:00:11+00:00,0.02
1757376012,2025-09-09T00:00:12+00:00,0.0155
1757462414,2025-09-10T00:00:14+00:00,0.011
1757548812,2025-09-11T00:00:12+00:00,0.011
