timestamp_unix,datetime_utc,increase_2_8_august_2025_no
1755043214,2025-08-13T00:00:14+00:00,0.63
1755129602,2025-08-14T00:00:02+00:00,0.605
1755216011,2025-08-15T00:00:11+00:00,0.6
1755302407,2025-08-16T00:00:07+00:00,0.62
1755388815,2025-08-17T00:00:15+00:00,0.615
1755475202,2025-08-18T00:00:02+00:00,0.605
1755561613,2025-08-19T00:00:13+00:00,0.625
1755648008,2025-08-20T00:00:08+00:00,0.595
1755734407,2025-08-21T00:00:07+00:00,0.6
1755820805,2025-08-22T00:00:05+00:00,0.61
1755907209,2025-08-23T00:00:09+00:00,0.665
1755993607,2025-08-24T00:00:07+00:00,0.65
1756080004,2025-08-25T00:00:04+00:00,0.655
1756166405,2025-08-26T00:00:05+00:00,0.65
1756252803,2025-08-27T00:00:03+00:00,0.64
1756339206,2025-08-28T00:00:06+00:00,0.665
1756425617,2025-08-29T00:00:17+00:00,0.695
1756512002,2025-08-30T00:00:02+00:00,0.665
1756598414,2025-08-31T00:00:14+00:00,0.665
1756684814,2025-09-01T00:00:14+00:00,0.655
1756771203,2025-09-02T00:00:03+00:00,0.655
1756857614,2025-09-03T00:00:14+00:00,0.69
1756944014,2025-09-04T00:00:14+00:00,0.67
1757030403,2025-09-05T00:00:03+00:00,0.71
1757116820,2025-09-06T00:00:20+00:00,0.675
1757203210,2025-09-07T00:00:10+00:00,0.675
1757289621,2025-09-08T00:00:21+00:00,0.66
1757376003,2025-09-09T00:00:03+00:00,0.695
1757462415,2025-09-10T00:00:15+00:00,0.695
1757548811,2025-09-11T00:00:11+00:00,0.605
