timestamp_unix,datetime_utc,increase_2_9_august_2025_yes
1755043214,2025-08-13T00:00:14+00:00,0.36
1755129606,2025-08-14T00:00:06+00:00,0.39
1755216014,2025-08-15T00:00:14+00:00,0.385
1755302410,2025-08-16T00:00:10+00:00,0.375
1755388812,2025-08-17T00:00:12+00:00,0.38
1755475205,2025-08-18T00:00:05+00:00,0.39
1755561602,2025-08-19T00:00:02+00:00,0.385
1755648008,2025-08-20T00:00:08+00:00,0.395
1755734408,2025-08-21T00:00:08+00:00,0.405
1755820804,2025-08-22T00:00:04+00:00,0.415
1755907215,2025-08-23T00:00:15+00:00,0.42
1755993608,2025-08-24T00:00:08+00:00,0.425
1756080002,2025-08-25T00:00:02+00:00,0.425
1756166406,2025-08-26T00:00:06+00:00,0.425
1756252809,2025-08-27T00:00:09+00:00,0.415
1756339207,2025-08-28T00:00:07+00:00,0.415
1756425604,2025-08-29T00:00:04+00:00,0.42
1756512008,2025-08-30T00:00:08+00:00,0.405
1756598414,2025-08-31T00:00:14+00:00,0.405
1756684810,2025-09-01T00:00:10+00:00,0.4
1756771211,2025-09-02T00:00:11+00:00,0.43
1756857614,2025-09-03T00:00:14+00:00,0.425
1756944009,2025-09-04T00:00:09+00:00,0.405
1757030405,2025-09-05T00:00:05+00:00,0.43
1757116818,2025-09-06T00:00:18+00:00,0.455
1757203203,2025-09-07T00:00:03+00:00,0.455
1757289612,2025-09-08T00:00:12+00:00,0.435
1757376013,2025-09-09T00:00:13+00:00,0.435
1757462415,2025-09-10T00:00:15+00:00,0.475
1757548806,2025-09-11T00:00:06+00:00,0.4
