timestamp_unix,datetime_utc,increase_min_3_0_august_2025_no
1755043214,2025-08-13T00:00:14+00:00,0.74
1755129605,2025-08-14T00:00:05+00:00,0.845
1755216008,2025-08-15T00:00:08+00:00,0.85
1755302406,2025-08-16T00:00:06+00:00,0.845
1755388815,2025-08-17T00:00:15+00:00,0.88
1755475209,2025-08-18T00:00:09+00:00,0.86
1755561602,2025-08-19T00:00:02+00:00,0.86
1755648004,2025-08-20T00:00:04+00:00,0.88
1755734406,2025-08-21T00:00:06+00:00,0.88
1755820802,2025-08-22T00:00:02+00:00,0.85
1755907209,2025-08-23T00:00:09+00:00,0.83
1755993604,2025-08-24T00:00:04+00:00,0.83
1756080002,2025-08-25T00:00:02+00:00,0.825
1756166406,2025-08-26T00:00:06+00:00,0.83
1756252810,2025-08-27T00:00:10+00:00,0.825
1756339209,2025-08-28T00:00:09+00:00,0.79
1756425608,2025-08-29T00:00:08+00:00,0.79
1756512011,2025-08-30T00:00:11+00:00,0.795
1756598404,2025-08-31T00:00:04+00:00,0.795
1756684805,2025-09-01T00:00:05+00:00,0.8
1756771211,2025-09-02T00:00:11+00:00,0.8
1756857608,2025-09-03T00:00:08+00:00,0.76
1756944004,2025-09-04T00:00:04+00:00,0.78
1757030412,2025-09-05T00:00:12+00:00,0.75
1757116819,2025-09-06T00:00:19+00:00,0.8
1757203203,2025-09-07T00:00:03+00:00,0.815
1757289615,2025-09-08T00:00:15+00:00,0.83
1757376014,2025-09-09T00:00:14+00:00,0.775
1757462407,2025-09-10T00:00:07+00:00,0.805
1757548812,2025-09-11T00:00:12+00:00,0.83
