timestamp_unix,datetime_utc,increase_min_3_0_august_2025_yes
1755043210,2025-08-13T00:00:10+00:00,0.26
1755129605,2025-08-14T00:00:05+00:00,0.155
1755216007,2025-08-15T00:00:07+00:00,0.15
1755302408,2025-08-16T00:00:08+00:00,0.155
1755388802,2025-08-17T00:00:02+00:00,0.12
1755475205,2025-08-18T00:00:05+00:00,0.14
1755561607,2025-08-19T00:00:07+00:00,0.14
1755648008,2025-08-20T00:00:08+00:00,0.12
1755734405,2025-08-21T00:00:05+00:00,0.12
1755820805,2025-08-22T00:00:05+00:00,0.15
1755907206,2025-08-23T00:00:06+00:00,0.17
1755993607,2025-08-24T00:00:07+00:00,0.17
1756080008,2025-08-25T00:00:08+00:00,0.175
1756166404,2025-08-26T00:00:04+00:00,0.17
1756252805,2025-08-27T00:00:05+00:00,0.175
1756339204,2025-08-28T00:00:04+00:00,0.21
1756425609,2025-08-29T00:00:09+00:00,0.21
1756512005,2025-08-30T00:00:05+00:00,0.205
1756598414,2025-08-31T00:00:14+00:00,0.205
1756684812,2025-09-01T00:00:12+00:00,0.2
1756771213,2025-09-02T00:00:13+00:00,0.2
1756857612,2025-09-03T00:00:12+00:00,0.24
1756944004,2025-09-04T00:00:04+00:00,0.22
1757030408,2025-09-05T00:00:08+00:00,0.25
1757116814,2025-09-06T00:00:14+00:00,0.2
1757203205,2025-09-07T00:00:05+00:00,0.185
1757289608,2025-09-08T00:00:08+00:00,0.17
1757376004,2025-09-09T00:00:04+00:00,0.225
1757462412,2025-09-10T00:00:12+00:00,0.195
1757548809,2025-09-11T00:00:09+00:00,0.17
