datetime_utc,increase_max_2_6_august_2025_no,increase_max_2_6_august_2025_yes,increase_2_7_august_2025_no,increase_2_7_august_2025_yes,increase_2_8_august_2025_no,increase_2_8_august_2025_yes,increase_2_9_august_2025_no,increase_2_9_august_2025_yes,increase_min_3_0_august_2025_no,increase_min_3_0_august_2025_yes
2025-08-13,,,,,,0.37,,,,
2025-08-13,,0.05,,0.15,,,,,,
2025-08-13,0.95,,,,,,,,,0.26
2025-08-13,,,,,,,0.64,,,
2025-08-13,,,0.85,,0.63,,,0.36,0.74,
2025-08-14,,,,,0.605,0.395,,,,
2025-08-14,,0.0385,,0.0385,,,,,,
2025-08-14,,,0.9615,,,,,,0.845,0.155
2025-08-14,,,,,,,0.61,0.39,,
2025-08-14,0.9615,,,,,,,,,
2025-08-15,,,0.959,,,,,,,
2025-08-15,0.95,0.05,,,,,,,,0.15
2025-08-15,,,,,,,,,0.85,
2025-08-15,,,,0.041,,,,,,
2025-08-15,,,,,0.6,0.4,,,,
2025-08-15,,,,,,,0.615,,,
2025-08-15,,,,,,,,0.385,,
2025-08-16,0.95,,,,,,,,,
2025-08-16,,,0.9455,,,0.38,,,,
2025-08-16,,,,,,,,,0.845,
2025-08-16,,,,0.0545,0.62,,,,,
2025-08-16,,,,,,,,,,0.155
2025-08-16,,0.05,,,,,,,,
2025-08-16,,,,,,,0.625,0.375,,
2025-08-17,,,,0.0635,,,,,,0.12
2025-08-17,0.9525,,0.9365,,,,,,,
2025-08-17,,,,,,,0.62,,,
2025-08-17,,,,,,,,0.38,,
2025-08-17,,0.0475,,,0.615,0.385,,,0.88,
2025-08-18,,0.0475,,,0.605,0.395,,,,
2025-08-18,,,,0.053,,,,,,
2025-08-18,,,0.947,,,,0.61,0.39,,0.14
2025-08-18,0.9525,,,,,,,,0.86,
2025-08-19,,,,,,,,0.385,0.86,
2025-08-19,,0.048,,,,,0.615,,,
2025-08-19,,,,,,,,,,0.14
2025-08-19,,,0.9305,,,,,,,
2025-08-19,,,,0.0695,0.625,,,,,
2025-08-19,0.952,,,,,0.375,,,,
2025-08-20,,,,,,,,,0.88,
2025-08-20,0.9635,,,,,,,,,
2025-08-20,,,,0.059,,,0.605,,,
2025-08-20,,0.0365,,,,0.405,,,,
2025-08-20,,,0.941,,0.595,,,0.395,,0.12
2025-08-21,0.9745,,,,,,,,,
2025-08-21,,,,0.047,,,,,,
2025-08-21,,,,,,0.4,,,,
2025-08-21,,0.0255,,,,,,,,0.12
2025-08-21,,,,,,,0.595,,0.88,
2025-08-21,,,,,0.6,,,,,
2025-08-21,,,,,,,,0.405,,
2025-08-21,,,0.953,,,,,,,
2025-08-22,,,,,,,,,0.85,
2025-08-22,,,,,,,,0.415,,
2025-08-22,,0.024,,0.0385,0.61,,,,,0.15
2025-08-22,,,0.9615,,,,,,,
2025-08-22,,,,,,,0.585,,,
2025-08-22,0.976,,,,,0.39,,,,
2025-08-23,,,,,,,,,,0.17
2025-08-23,,,,0.0345,0.665,,,,0.83,
2025-08-23,,,0.9655,,,,,,,
2025-08-23,0.958,0.042,,,,,,,,
2025-08-23,,,,,,,0.58,0.42,,
2025-08-23,,,,,,0.335,,,,
2025-08-24,,,,,,0.35,,,,
2025-08-24,,0.025,0.9635,0.0365,,,,,0.83,
2025-08-24,,,,,0.65,,0.575,,,0.17
2025-08-24,,,,,,,,0.425,,
2025-08-24,0.975,,,,,,,,,
2025-08-25,0.9715,,0.9585,,,0.345,,0.425,0.825,
2025-08-25,,,,,0.655,,0.575,,,
2025-08-25,,0.0285,,,,,,,,
2025-08-25,,,,,,,,,,0.175
2025-08-25,,,,0.0415,,,,,,
2025-08-26,,0.0315,,,,0.35,,,,0.17
2025-08-26,,,0.956,,0.65,,,,,
2025-08-26,,,,,,,,0.425,0.83,
2025-08-26,,,,,,,0.575,,,
2025-08-26,0.9685,,,,,,,,,
2025-08-26,,,,0.044,,,,,,
2025-08-27,,,0.9655,,,,,,,
2025-08-27,,,,,0.64,,,,,
2025-08-27,,,,,,,,,,0.175
2025-08-27,,0.0225,,,,,,,,
2025-08-27,0.9775,,,,,,0.585,0.415,,
2025-08-27,,,,,,,,,0.825,
2025-08-27,,,,0.0345,,,,,,
2025-08-27,,,,,,0.36,,,,
2025-08-28,,,,,,,,,,0.21
2025-08-28,0.977,0.023,,,,,,,,
2025-08-28,,,0.9755,,0.665,0.335,,,,
2025-08-28,,,,,,,,0.415,,
2025-08-28,,,,,,,0.585,,,
2025-08-28,,,,0.0245,,,,,0.79,
2025-08-29,,,0.966,,,,,0.42,,
2025-08-29,,,,,,,,,0.79,
2025-08-29,,,,,,,0.58,,,0.21
2025-08-29,,0.033,,,,,,,,
2025-08-29,,,,0.034,,,,,,
2025-08-29,,,,,0.695,,,,,
2025-08-29,0.967,,,,,0.305,,,,
2025-08-30,,0.037,,0.0325,0.665,,,,,
2025-08-30,,,,,,,,,,0.205
2025-08-30,,,0.9675,,,,,,,
2025-08-30,0.963,,,,,,,0.405,,
2025-08-30,,,,,,0.335,,,,
