timestamp_unix,datetime_utc,increase_2_9_december_2025_no
1764979217,2025-12-06T00:00:17+00:00,0.67
1765065630,2025-12-07T00:00:30+00:00,0.73
1765152029,2025-12-08T00:00:29+00:00,0.75
1765238427,2025-12-09T00:00:27+00:00,0.645
1765324814,2025-12-10T00:00:14+00:00,0.65
1765411215,2025-12-11T00:00:15+00:00,0.695
1765497615,2025-12-12T00:00:15+00:00,0.705
1765584018,2025-12-13T00:00:18+00:00,0.68
1765670419,2025-12-14T00:00:19+00:00,0.695
1765756820,2025-12-15T00:00:20+00:00,0.685
1765843217,2025-12-16T00:00:17+00:00,0.7
1765929614,2025-12-17T00:00:14+00:00,0.69
1765929635,2025-12-17T00:00:35+00:00,0.69
1766016025,2025-12-18T00:00:25+00:00,0.62
1766102416,2025-12-19T00:00:16+00:00,0.92
1766188816,2025-12-20T00:00:16+00:00,0.915
1766275217,2025-12-21T00:00:17+00:00,0.905
1766361616,2025-12-22T00:00:16+00:00,0.875
1766448018,2025-12-23T00:00:18+00:00,0.885
1766534418,2025-12-24T00:00:18+00:00,0.9
1766620828,2025-12-25T00:00:28+00:00,0.915
1766707213,2025-12-26T00:00:13+00:00,0.915
1766793617,2025-12-27T00:00:17+00:00,0.91
1766880018,2025-12-28T00:00:18+00:00,0.91
1766966434,2025-12-29T00:00:34+00:00,0.91
1767052821,2025-12-30T00:00:21+00:00,0.91
1767139218,2025-12-31T00:00:18+00:00,0.905
1767225618,2026-01-01T00:00:18+00:00,0.915
1767312017,2026-01-02T00:00:17+00:00,0.955
1767398416,2026-01-03T00:00:16+00:00,0.915
1767484818,2026-01-04T00:00:18+00:00,0.905
1767571220,2026-01-05T00:00:20+00:00,0.925
1767657622,2026-01-06T00:00:22+00:00,0.935
1767744019,2026-01-07T00:00:19+00:00,0.93
1767830435,2026-01-08T00:00:35+00:00,0.925
1767916820,2026-01-09T00:00:20+00:00,0.925
1768003221,2026-01-10T00:00:21+00:00,0.925
1768089618,2026-01-11T00:00:18+00:00,0.92
1768176020,2026-01-12T00:00:20+00:00,0.925
1768262421,2026-01-13T00:00:21+00:00,0.935
