timestamp_unix,datetime_utc,increase_2_9_december_2025_yes
1764979219,2025-12-06T00:00:19+00:00,0.33
1765065632,2025-12-07T00:00:32+00:00,0.27
1765152031,2025-12-08T00:00:31+00:00,0.25
1765238428,2025-12-09T00:00:28+00:00,0.355
1765324816,2025-12-10T00:00:16+00:00,0.35
1765411216,2025-12-11T00:00:16+00:00,0.305
1765497617,2025-12-12T00:00:17+00:00,0.295
1765584019,2025-12-13T00:00:19+00:00,0.32
1765670420,2025-12-14T00:00:20+00:00,0.305
1765756822,2025-12-15T00:00:22+00:00,0.315
1765843219,2025-12-16T00:00:19+00:00,0.3
1765929615,2025-12-17T00:00:15+00:00,0.31
1765929636,2025-12-17T00:00:36+00:00,0.31
1766016026,2025-12-18T00:00:26+00:00,0.38
1766102417,2025-12-19T00:00:17+00:00,0.08
1766188817,2025-12-20T00:00:17+00:00,0.085
1766275218,2025-12-21T00:00:18+00:00,0.095
1766361617,2025-12-22T00:00:17+00:00,0.125
1766448020,2025-12-23T00:00:20+00:00,0.115
1766534420,2025-12-24T00:00:20+00:00,0.1
1766620829,2025-12-25T00:00:29+00:00,0.085
1766707214,2025-12-26T00:00:14+00:00,0.085
1766793618,2025-12-27T00:00:18+00:00,0.09
1766880019,2025-12-28T00:00:19+00:00,0.09
1766966436,2025-12-29T00:00:36+00:00,0.09
1767052822,2025-12-30T00:00:22+00:00,0.09
1767139220,2025-12-31T00:00:20+00:00,0.095
1767225620,2026-01-01T00:00:20+00:00,0.085
1767312019,2026-01-02T00:00:19+00:00,0.045
1767398417,2026-01-03T00:00:17+00:00,0.085
1767484819,2026-01-04T00:00:19+00:00,0.095
1767571222,2026-01-05T00:00:22+00:00,0.075
1767657623,2026-01-06T00:00:23+00:00,0.065
1767744021,2026-01-07T00:00:21+00:00,0.07
1767830437,2026-01-08T00:00:37+00:00,0.075
1767916822,2026-01-09T00:00:22+00:00,0.075
1768003222,2026-01-10T00:00:22+00:00,0.075
1768089619,2026-01-11T00:00:19+00:00,0.08
1768176022,2026-01-12T00:00:22+00:00,0.075
1768262423,2026-01-13T00:00:23+00:00,0.065
