timestamp_unix,datetime_utc,increase_2_8_december_2025_no
1764979222,2025-12-06T00:00:22+00:00,0.77
1765065635,2025-12-07T00:00:35+00:00,0.85
1765152033,2025-12-08T00:00:33+00:00,0.9685
1765238431,2025-12-09T00:00:31+00:00,0.891
1765324817,2025-12-10T00:00:17+00:00,0.899
1765411218,2025-12-11T00:00:18+00:00,0.9645
1765497619,2025-12-12T00:00:19+00:00,0.9155
1765584022,2025-12-13T00:00:22+00:00,0.7795
1765670423,2025-12-14T00:00:23+00:00,0.7905
1765756826,2025-12-15T00:00:26+00:00,0.8075
1765843222,2025-12-16T00:00:22+00:00,0.81
1765929618,2025-12-17T00:00:18+00:00,0.7535
1765929638,2025-12-17T00:00:38+00:00,0.7525
1766016028,2025-12-18T00:00:28+00:00,0.7605
1766102420,2025-12-19T00:00:20+00:00,0.145
1766188820,2025-12-20T00:00:20+00:00,0.1725
1766275221,2025-12-21T00:00:21+00:00,0.1755
1766361620,2025-12-22T00:00:20+00:00,0.189
1766448023,2025-12-23T00:00:23+00:00,0.201
1766534423,2025-12-24T00:00:23+00:00,0.168
1766620832,2025-12-25T00:00:32+00:00,0.153
1766707216,2025-12-26T00:00:16+00:00,0.1505
1766793621,2025-12-27T00:00:21+00:00,0.1365
1766880021,2025-12-28T00:00:21+00:00,0.129
1766966438,2025-12-29T00:00:38+00:00,0.1305
1767052825,2025-12-30T00:00:25+00:00,0.131
1767139223,2025-12-31T00:00:23+00:00,0.128
1767225623,2026-01-01T00:00:23+00:00,0.1015
1767312021,2026-01-02T00:00:21+00:00,0.077
1767398419,2026-01-03T00:00:19+00:00,0.1165
1767484821,2026-01-04T00:00:21+00:00,0.113
1767571224,2026-01-05T00:00:24+00:00,0.107
1767657627,2026-01-06T00:00:27+00:00,0.1105
1767744024,2026-01-07T00:00:24+00:00,0.116
1767830440,2026-01-08T00:00:40+00:00,0.149
1767916825,2026-01-09T00:00:25+00:00,0.13
1768003226,2026-01-10T00:00:26+00:00,0.136
1768089622,2026-01-11T00:00:22+00:00,0.128
1768176024,2026-01-12T00:00:24+00:00,0.104
1768262425,2026-01-13T00:00:25+00:00,0.084
