timestamp_unix,datetime_utc,increase_3_2_december_2025_yes
1764979222,2025-12-06T00:00:22+00:00,0.2
1765065635,2025-12-07T00:00:35+00:00,0.08
1765152034,2025-12-08T00:00:34+00:00,0.17
1765238431,2025-12-09T00:00:31+00:00,0.095
1765324818,2025-12-10T00:00:18+00:00,0.09
1765411219,2025-12-11T00:00:19+00:00,0.065
1765497619,2025-12-12T00:00:19+00:00,0.065
1765584023,2025-12-13T00:00:23+00:00,0.03
1765670424,2025-12-14T00:00:24+00:00,0.0345
1765756827,2025-12-15T00:00:27+00:00,0.0575
1765843222,2025-12-16T00:00:22+00:00,0.0395
1765929619,2025-12-17T00:00:19+00:00,0.0465
1765929638,2025-12-17T00:00:38+00:00,0.0465
1766016029,2025-12-18T00:00:29+00:00,0.059
1766102420,2025-12-19T00:00:20+00:00,0.005
1766188820,2025-12-20T00:00:20+00:00,0.0155
1766275221,2025-12-21T00:00:21+00:00,0.0155
1766361621,2025-12-22T00:00:21+00:00,0.035
1766448023,2025-12-23T00:00:23+00:00,0.034
1766534423,2025-12-24T00:00:23+00:00,0.0215
1766620832,2025-12-25T00:00:32+00:00,0.029
1766707216,2025-12-26T00:00:16+00:00,0.0295
1766793621,2025-12-27T00:00:21+00:00,0.0225
1766880022,2025-12-28T00:00:22+00:00,0.028
1766966439,2025-12-29T00:00:39+00:00,0.027
1767052826,2025-12-30T00:00:26+00:00,0.028
1767139224,2025-12-31T00:00:24+00:00,0.0125
1767225623,2026-01-01T00:00:23+00:00,0.0075
1767312022,2026-01-02T00:00:22+00:00,0.006
1767398419,2026-01-03T00:00:19+00:00,0.0065
1767484822,2026-01-04T00:00:22+00:00,0.0055
1767571225,2026-01-05T00:00:25+00:00,0.0085
1767657627,2026-01-06T00:00:27+00:00,0.025
1767744025,2026-01-07T00:00:25+00:00,0.0155
1767830441,2026-01-08T00:00:41+00:00,0.0185
1767916825,2026-01-09T00:00:25+00:00,0.015
1768003226,2026-01-10T00:00:26+00:00,0.02
1768089622,2026-01-11T00:00:22+00:00,0.02
1768176025,2026-01-12T00:00:25+00:00,0.0045
1768262426,2026-01-13T00:00:26+00:00,0.0045
