datetime_utc,increase_2_9_december_2025_no,increase_2_9_december_2025_yes,increase_3_0_december_2025_no,increase_3_0_december_2025_yes,increase_3_1_december_2025_no,increase_3_1_december_2025_yes,increase_2_8_december_2025_no,increase_2_8_december_2025_yes,increase_3_2_december_2025_no,increase_3_2_december_2025_yes
2025-12-06,,,0.59,,,,,,,
2025-12-06,,,,,0.745,,,,,
2025-12-06,,,,,,,,0.23,,
2025-12-06,,,,,,,,,0.8,
2025-12-06,0.67,,,,,,,,,
2025-12-06,,0.33,,0.41,,0.255,,,,
2025-12-06,,,,,,,0.77,,,0.2
2025-12-07,,,0.685,,,,,,,
2025-12-07,,,,,0.77,,,,,
2025-12-07,,,,,,,,0.15,0.92,
2025-12-07,0.73,,,,,,,,,
2025-12-07,,0.27,,0.315,,0.23,,,,
2025-12-07,,,,,,,0.85,,,0.08
2025-12-08,,,0.68,,,,,,,
2025-12-08,,,,,0.645,,,,,
2025-12-08,,,,,,,,0.0315,,
2025-12-08,,,,,,,,,0.83,
2025-12-08,0.75,,,,,,,,,
2025-12-08,,,,0.32,,,,,,
2025-12-08,,0.25,,,,0.355,,,,
2025-12-08,,,,,,,0.9685,,,
2025-12-08,,,,,,,,,,0.17
2025-12-09,,,0.66,,,,,,,
2025-12-09,,,,,0.795,,,,,
2025-12-09,,,,,,,,0.109,0.905,
2025-12-09,0.645,,,,,,,,,
2025-12-09,,0.355,,0.34,,0.205,,,,
2025-12-09,,,,,,,0.891,,,0.095
2025-12-10,,,0.655,,,,,,,
2025-12-10,,,,,0.785,,,,,
2025-12-10,,,,,,,,0.101,,
2025-12-10,,,,,,,,,0.91,
2025-12-10,0.65,,,,,,,,,
2025-12-10,,,,0.345,,,,,,
2025-12-10,,0.35,,,,0.215,,,,
2025-12-10,,,,,,,0.899,,,
2025-12-10,,,,,,,,,,0.09
2025-12-11,,,0.6,,,,,,,
2025-12-11,,,,,0.785,,,,,
2025-12-11,,,,,,,,0.0355,0.935,
2025-12-11,0.695,,,,,,,,,
2025-12-11,,0.305,,0.4,,,,,,
2025-12-11,,,,,,0.215,,,,
2025-12-11,,,,,,,0.9645,,,
2025-12-11,,,,,,,,,,0.065
2025-12-12,,,0.61,,,,,,,
2025-12-12,,,,,0.82,,,,,
2025-12-12,,,,,,,,0.0845,0.935,
2025-12-12,0.705,,,,,,,,,
2025-12-12,,0.295,,0.39,,0.18,,,,
2025-12-12,,,,,,,0.9155,,,0.065
2025-12-13,,,0.605,,,,,,,
2025-12-13,,,,,0.93,,,,,
2025-12-13,,,,,,,,0.2205,,
2025-12-13,,,,,,,,,0.97,
2025-12-13,0.68,,,,,,,,,
2025-12-13,,0.32,,0.395,,,,,,
2025-12-13,,,,,,0.07,,,,
2025-12-13,,,,,,,0.7795,,,
2025-12-13,,,,,,,,,,0.03
2025-12-14,,,0.605,,,,,,,
2025-12-14,,,,,0.94,,,,,
2025-12-14,,,,,,,,0.2095,0.9655,
2025-12-14,0.695,,,,,,,,,
2025-12-14,,0.305,,0.395,,,,,,
2025-12-14,,,,,,0.06,,,,
2025-12-14,,,,,,,0.7905,,,
2025-12-14,,,,,,,,,,0.0345
2025-12-15,,,0.595,,,,,,,
2025-12-15,,,,,0.91,,,,,
2025-12-15,,,,,,,,0.1925,,
2025-12-15,,,,,,,,,0.9425,
2025-12-15,0.685,,,,,,,,,
2025-12-15,,0.315,,0.405,,,,,,
2025-12-15,,,,,,0.09,,,,
2025-12-15,,,,,,,0.8075,,,
2025-12-15,,,,,,,,,,0.0575
2025-12-16,,,0.565,,,,,,,
2025-12-16,,,,,0.905,,,,,
2025-12-16,,,,,,,,0.19,,
2025-12-16,,,,,,,,,0.9605,
2025-12-16,0.7,,,,,,,,,
2025-12-16,,,,0.435,,,,,,
2025-12-16,,0.3,,,,0.095,,,,
2025-12-16,,,,,,,0.81,,,0.0395
2025-12-17,,,0.66,,,,,,,
2025-12-17,,,,,0.905,,,,,
2025-12-17,,,,,,,,0.2465,,
2025-12-17,,,,,,,,,0.9535,
2025-12-17,0.69,,,,,,,,,
2025-12-17,,0.31,,0.34,,0.095,,,,
2025-12-17,,,,,,,0.7535,,,
2025-12-17,,,,,,,,,,0.0465
2025-12-17,,,0.66,,,,,,,
2025-12-17,,,,,0.905,,,,,
2025-12-17,,,,,,,,0.2475,,
2025-12-17,,,,,,,,,0.9535,
2025-12-17,0.69,,,,,,,,,
2025-12-17,,0.31,,0.34,,0.095,,,,
2025-12-17,,,,,,,0.7525,,,0.0465
2025-12-18,,,0.685,,,,,,,
2025-12-18,,,,,0.915,,,,,
2025-12-18,,,,,,,,0.2395,,
2025-12-18,,,,,,,,,0.941,
2025-12-18,0.62,,,,,,,,,
2025-12-18,,0.38,,0.315,,0.085,,,,
2025-12-18,,,,,,,0.7605,,,
2025-12-18,,,,,,,,,,0.059
2025-12-19,,,0.9505,,,,,,,
2025-12-19,,,,,0.9965,,,,,
2025-12-19,,,,,,,,0.855,,
2025-12-19,,,,,,,,,0.995,
2025-12-19,0.92,,,,,,,,,
2025-12-19,,0.08,,0.0495,,,,,,
2025-12-19,,,,,,0.0035,,,,
2025-12-19,,,,,,,0.145,,,0.005
2025-12-20,,,0.938,,,,,,,
2025-12-20,,,,,0.983,,,,,
2025-12-20,,,,,,,,0.8275,0.9845,
2025-12-20,0.915,,,,,,,,,
2025-12-20,,0.085,,0.062,,,,,,
2025-12-20,,,,,,0.017,,,,
2025-12-20,,,,,,,0.1725,,,0.0155
2025-12-21,,,0.9555,,,,,,,
2025-12-21,,,,,0.983,,,,,
2025-12-21,,,,,,,,0.8245,,
2025-12-21,,,,,,,,,0.9845,
2025-12-21,0.905,,,,,,,,,
2025-12-21,,0.095,,0.0445,,0.017,,,,
2025-12-21,,,,,,,0.1755,,,0.0155
2025-12-22,,,0.955,,,,,,,
2025-12-22,,,,,0.9745,,,,,
2025-12-22,,,,,,,,0.811,0.965,
