timestamp_unix,datetime_utc,increase_min_2_9_january_2025_yes
1736985604,2025-01-16T00:00:04+00:00,0.54
1737072004,2025-01-17T00:00:04+00:00,0.58
1737158404,2025-01-18T00:00:04+00:00,0.61
1737244804,2025-01-19T00:00:04+00:00,0.56
1737331204,2025-01-20T00:00:04+00:00,0.595
1737417603,2025-01-21T00:00:03+00:00,0.57
1737504003,2025-01-22T00:00:03+00:00,0.65
1737590404,2025-01-23T00:00:04+00:00,0.74
1737676803,2025-01-24T00:00:03+00:00,0.73
1737763205,2025-01-25T00:00:05+00:00,0.745
1737849604,2025-01-26T00:00:04+00:00,0.745
1737936004,2025-01-27T00:00:04+00:00,0.745
1738022404,2025-01-28T00:00:04+00:00,0.775
1738108804,2025-01-29T00:00:04+00:00,0.765
1738195205,2025-01-30T00:00:05+00:00,0.795
1738281604,2025-01-31T00:00:04+00:00,0.745
1738368005,2025-02-01T00:00:05+00:00,0.785
1738454404,2025-02-02T00:00:04+00:00,0.78
1738540805,2025-02-03T00:00:05+00:00,0.705
1738627204,2025-02-04T00:00:04+00:00,0.73
1738713604,2025-02-05T00:00:04+00:00,0.75
1738800005,2025-02-06T00:00:05+00:00,0.77
1738886404,2025-02-07T00:00:04+00:00,0.79
1738972804,2025-02-08T00:00:04+00:00,0.8
1739059206,2025-02-09T00:00:06+00:00,0.725
1739145605,2025-02-10T00:00:05+00:00,0.755
1739232004,2025-02-11T00:00:04+00:00,0.8
1739318404,2025-02-12T00:00:04+00:00,0.855
