datetime_utc,increase_max_2_6_january_2025_no,increase_max_2_6_january_2025_yes,increase_2_7_january_2025_no,increase_2_7_january_2025_yes,increase_2_8_january_2025_no,increase_2_8_january_2025_yes,increase_min_2_9_january_2025_no,increase_min_2_9_january_2025_yes
2025-01-16,0.945,0.055,0.85,0.15,0.69,0.31,0.46,0.54
2025-01-17,0.979,0.021,0.895,0.105,0.71,0.29,0.42,0.58
2025-01-18,0.987,0.013,0.91,0.09,0.715,0.285,0.39,0.61
2025-01-19,0.9855,0.0145,0.895,0.105,0.7,0.3,0.44,0.56
2025-01-20,0.985,0.015,0.885,0.115,0.705,0.295,0.405,0.595
2025-01-21,0.9865,0.0135,0.92,0.08,0.62,0.38,0.43,0.57
2025-01-22,0.9855,0.0145,0.9715,0.0285,0.715,0.285,0.35,0.65
2025-01-23,0.992,0.008,0.993,0.007,0.75,0.25,0.26,0.74
2025-01-24,0.9915,0.0085,0.9885,0.0115,0.75,0.25,0.27,0.73
2025-01-25,0.991,0.009,0.982,0.018,0.77,0.23,0.255,0.745
2025-01-26,0.991,0.009,0.983,0.017,0.77,0.23,0.255,0.745
2025-01-27,0.9875,0.0125,0.973,0.027,0.78,0.22,0.255,0.745
2025-01-28,0.982,0.018,0.9805,0.0195,0.825,0.175,0.225,0.775
2025-01-29,0.977,0.023,0.9755,0.0245,0.81,0.19,0.235,0.765
2025-01-30,0.978,0.022,0.976,0.024,0.85,0.15,0.205,0.795
2025-01-31,0.9775,0.0225,0.978,0.022,0.84,0.16,0.255,0.745
2025-02-01,0.98,0.02,0.978,0.022,0.84,0.16,0.215,0.785
2025-02-02,0.9895,0.0105,0.9835,0.0165,0.825,0.175,0.22,0.78
2025-02-03,0.9925,0.0075,0.988,0.012,0.78,0.22,0.295,0.705
2025-02-04,0.988,0.012,0.9705,0.0295,0.76,0.24,0.27,0.73
2025-02-05,0.992,0.008,0.9905,0.0095,0.755,0.245,0.25,0.75
2025-02-06,0.989,0.011,0.995,0.005,0.815,0.185,0.23,0.77
2025-02-07,0.9855,0.0145,0.9895,0.0105,0.805,0.195,0.21,0.79
2025-02-08,0.993,0.007,0.9845,0.0155,0.825,0.175,0.2,0.8
2025-02-09,0.9865,0.0135,0.984,0.016,0.805,0.195,0.275,0.725
2025-02-10,0.985,0.015,0.984,0.016,0.8,0.2,0.245,0.755
2025-02-11,0.9925,0.0075,0.989,0.011,0.855,0.145,0.2,0.8
2025-02-12,0.996,0.004,0.993,0.007,0.865,0.135,0.145,0.855
