timestamp_unix,datetime_utc,increase_2_7_july_2025_no
1752624008,2025-07-16T00:00:08+00:00,0.645
1752710408,2025-07-17T00:00:08+00:00,0.635
1752796808,2025-07-18T00:00:08+00:00,0.645
1752883209,2025-07-19T00:00:09+00:00,0.66
1752969608,2025-07-20T00:00:08+00:00,0.675
1753056007,2025-07-21T00:00:07+00:00,0.665
1753142409,2025-07-22T00:00:09+00:00,0.67
1753228809,2025-07-23T00:00:09+00:00,0.665
1753315209,2025-07-24T00:00:09+00:00,0.665
1753401609,2025-07-25T00:00:09+00:00,0.67
1753488009,2025-07-26T00:00:09+00:00,0.665
1753574410,2025-07-27T00:00:10+00:00,0.665
1753660809,2025-07-28T00:00:09+00:00,0.675
1753747210,2025-07-29T00:00:10+00:00,0.675
1753833610,2025-07-30T00:00:10+00:00,0.68
1753920008,2025-07-31T00:00:08+00:00,0.665
1754006409,2025-08-01T00:00:09+00:00,0.67
1754092809,2025-08-02T00:00:09+00:00,0.685
1754179208,2025-08-03T00:00:08+00:00,0.67
1754265607,2025-08-04T00:00:07+00:00,0.68
1754352008,2025-08-05T00:00:08+00:00,0.69
1754438409,2025-08-06T00:00:09+00:00,0.715
1754524810,2025-08-07T00:00:10+00:00,0.665
1754611204,2025-08-08T00:00:04+00:00,0.645
1754697602,2025-08-09T00:00:02+00:00,0.605
1754784009,2025-08-10T00:00:09+00:00,0.64
1754870405,2025-08-11T00:00:05+00:00,0.655
1754956804,2025-08-12T00:00:04+00:00,0.715
