datetime_utc,increase_max_2_6_july_2025_no,increase_max_2_6_july_2025_yes,increase_2_7_july_2025_no,increase_2_7_july_2025_yes,increase_2_8_july_2025_no,increase_2_8_july_2025_yes,increase_2_9_july_2025_no,increase_2_9_july_2025_yes,increase_min_3_0_july_2025_no,increase_min_3_0_july_2025_yes
2025-07-16,0.745,0.255,0.645,0.355,0.64,0.36,0.89,0.11,0.9,0.1
2025-07-17,0.93,0.07,0.635,0.365,0.66,0.34,0.825,0.175,0.925,0.075
2025-07-18,0.885,0.115,0.645,0.355,0.65,0.35,0.855,0.145,0.935,0.065
2025-07-19,0.89,0.11,0.66,0.34,0.645,0.355,0.86,0.14,0.93,0.07
2025-07-20,0.895,0.105,0.675,0.325,0.635,0.365,0.855,0.145,0.915,0.085
2025-07-21,0.895,0.105,0.665,0.335,0.635,0.365,0.85,0.15,0.93,0.07
2025-07-22,0.875,0.125,0.67,0.33,0.635,0.365,0.855,0.145,0.93,0.07
2025-07-23,0.89,0.11,0.665,0.335,0.645,0.355,0.84,0.16,0.935,0.065
2025-07-24,0.895,0.105,0.665,0.335,0.645,0.355,0.835,0.165,0.935,0.065
2025-07-25,0.89,0.11,0.67,0.33,0.64,0.36,0.835,0.165,0.93,0.07
2025-07-26,0.895,0.105,0.665,0.335,0.645,0.355,0.835,0.165,0.935,0.065
2025-07-27,0.895,0.105,0.665,0.335,0.635,0.365,0.845,0.155,0.935,0.065
2025-07-28,0.9,0.1,0.675,0.325,0.62,0.38,0.845,0.155,0.95,0.05
2025-07-29,0.9,0.1,0.675,0.325,0.62,0.38,0.845,0.155,0.955,0.045
2025-07-30,0.89,0.11,0.68,0.32,0.61,0.39,0.845,0.155,0.94,0.06
2025-07-31,0.935,0.065,0.665,0.335,0.565,0.435,0.845,0.155,0.975,0.025
2025-08-01,0.915,0.085,0.67,0.33,0.59,0.41,0.845,0.155,0.958,0.042
2025-08-02,0.94,0.06,0.685,0.315,0.57,0.43,0.83,0.17,0.959,0.041
2025-08-03,0.91,0.09,0.67,0.33,0.6,0.4,0.835,0.165,0.9575,0.0425
2025-08-04,0.89,0.11,0.68,0.32,0.6,0.4,0.84,0.16,0.96,0.04
2025-08-05,0.915,0.085,0.69,0.31,0.59,0.41,0.83,0.17,0.9675,0.0325
2025-08-06,0.915,0.085,0.715,0.285,0.535,0.465,0.85,0.15,0.978,0.022
2025-08-07,,,,0.335,,,,,,
2025-08-07,,,,,,,,,,0.0375
2025-08-07,,,,,,0.43,,,,
2025-08-07,,,,,,,0.93,,0.9625,
2025-08-07,0.91,,0.665,,0.57,,,,,
2025-08-07,,0.09,,,,,,0.07,,
2025-08-08,,,,0.355,,,,,,
2025-08-08,0.9,,,,,,,,,
2025-08-08,,,0.645,,,,,,,
2025-08-08,,,,,0.545,,,,0.9645,
2025-08-08,,,,,,,0.93,,,
2025-08-08,,,,,,0.455,,,,0.0355
2025-08-08,,0.1,,,,,,,,
2025-08-08,,,,,,,,0.07,,
2025-08-09,,,0.605,,,0.43,,,,
2025-08-09,,,,,,,,0.08,,0.025
2025-08-09,,,,,0.57,,,,,
2025-08-09,,0.08,,,,,0.92,,,
2025-08-09,,,,0.395,,,,,,
2025-08-09,0.92,,,,,,,,0.975,
2025-08-10,,0.064,,,0.565,,,,,
2025-08-10,,,,,,,,,0.978,
2025-08-10,,,,,,,,0.12,,
2025-08-10,,,,,,0.435,0.88,,,
2025-08-10,0.936,,0.64,,,,,,,
2025-08-10,,,,0.36,,,,,,0.022
2025-08-11,,,,,,,,0.165,,
2025-08-11,,,0.655,,,,,,,
2025-08-11,,,,,,,0.835,,,
2025-08-11,,0.0835,,,,,,,,
2025-08-11,,,,,0.585,,,,,
2025-08-11,,,,0.345,,,,,,0.0075
2025-08-11,0.9165,,,,,,,,,
2025-08-11,,,,,,0.415,,,0.9925,
2025-08-12,0.9825,,,,,,,,,
2025-08-12,,,,,,,0.865,,,
2025-08-12,,,0.715,,,,,,,
2025-08-12,,,,0.285,,,,,0.9765,
2025-08-12,,0.0175,,,,,,,,
2025-08-12,,,,,0.455,0.545,,0.135,,
2025-08-12,,,,,,,,,,0.0235
