timestamp_unix,datetime_utc,increase_max_2_2_june_2025_no
1749686407,2025-06-12T00:00:07+00:00,0.9915
1749772807,2025-06-13T00:00:07+00:00,0.9975
1749859208,2025-06-14T00:00:08+00:00,0.9945
1749945608,2025-06-15T00:00:08+00:00,0.982
1750032007,2025-06-16T00:00:07+00:00,0.9905
1750118408,2025-06-17T00:00:08+00:00,0.9865
1750204808,2025-06-18T00:00:08+00:00,0.9905
1750291207,2025-06-19T00:00:07+00:00,0.989
1750377608,2025-06-20T00:00:08+00:00,0.9815
1750464008,2025-06-21T00:00:08+00:00,0.987
1750550406,2025-06-22T00:00:06+00:00,0.9835
1750636807,2025-06-23T00:00:07+00:00,0.9885
1750723207,2025-06-24T00:00:07+00:00,0.9875
1750809607,2025-06-25T00:00:07+00:00,0.992
1750896008,2025-06-26T00:00:08+00:00,0.9865
1750982407,2025-06-27T00:00:07+00:00,0.9945
1751068807,2025-06-28T00:00:07+00:00,0.994
1751155208,2025-06-29T00:00:08+00:00,0.9855
1751241607,2025-06-30T00:00:07+00:00,0.9925
1751328008,2025-07-01T00:00:08+00:00,0.9895
1751414407,2025-07-02T00:00:07+00:00,0.9985
1751500808,2025-07-03T00:00:08+00:00,0.996
1751587208,2025-07-04T00:00:08+00:00,0.991
1751673608,2025-07-05T00:00:08+00:00,0.99
1751760007,2025-07-06T00:00:07+00:00,0.985
1751846407,2025-07-07T00:00:07+00:00,0.976
1751932808,2025-07-08T00:00:08+00:00,0.99
1752019207,2025-07-09T00:00:07+00:00,0.9925
1752105608,2025-07-10T00:00:08+00:00,0.992
1752192008,2025-07-11T00:00:08+00:00,0.9965
1752278409,2025-07-12T00:00:09+00:00,0.9975
1752364808,2025-07-13T00:00:08+00:00,0.9945
1752451207,2025-07-14T00:00:07+00:00,0.998
1752537608,2025-07-15T00:00:08+00:00,0.995
