timestamp_unix,datetime_utc,increase_max_2_2_june_2025_yes
1749686407,2025-06-12T00:00:07+00:00,0.0085
1749772807,2025-06-13T00:00:07+00:00,0.0025
1749859208,2025-06-14T00:00:08+00:00,0.0055
1749945608,2025-06-15T00:00:08+00:00,0.018
1750032007,2025-06-16T00:00:07+00:00,0.0095
1750118408,2025-06-17T00:00:08+00:00,0.0135
1750204808,2025-06-18T00:00:08+00:00,0.0095
1750291207,2025-06-19T00:00:07+00:00,0.011
1750377608,2025-06-20T00:00:08+00:00,0.0185
1750464008,2025-06-21T00:00:08+00:00,0.013
1750550406,2025-06-22T00:00:06+00:00,0.0165
1750636807,2025-06-23T00:00:07+00:00,0.0115
1750723207,2025-06-24T00:00:07+00:00,0.0125
1750809607,2025-06-25T00:00:07+00:00,0.008
1750896008,2025-06-26T00:00:08+00:00,0.0135
1750982407,2025-06-27T00:00:07+00:00,0.0055
1751068807,2025-06-28T00:00:07+00:00,0.006
1751155208,2025-06-29T00:00:08+00:00,0.0145
1751241607,2025-06-30T00:00:07+00:00,0.0075
1751328008,2025-07-01T00:00:08+00:00,0.0105
1751414407,2025-07-02T00:00:07+00:00,0.0015
1751500808,2025-07-03T00:00:08+00:00,0.004
1751587208,2025-07-04T00:00:08+00:00,0.009
1751673608,2025-07-05T00:00:08+00:00,0.01
1751760007,2025-07-06T00:00:07+00:00,0.015
1751846407,2025-07-07T00:00:07+00:00,0.024
1751932808,2025-07-08T00:00:08+00:00,0.01
1752019207,2025-07-09T00:00:07+00:00,0.0075
1752105608,2025-07-10T00:00:08+00:00,0.008
1752192008,2025-07-11T00:00:08+00:00,0.0035
1752278409,2025-07-12T00:00:09+00:00,0.0025
1752364808,2025-07-13T00:00:08+00:00,0.0055
1752451207,2025-07-14T00:00:07+00:00,0.002
1752537608,2025-07-15T00:00:08+00:00,0.005
