timestamp_unix,datetime_utc,increase_2_5_june_2025_no
1749686407,2025-06-12T00:00:07+00:00,0.64
1749772807,2025-06-13T00:00:07+00:00,0.615
1749859208,2025-06-14T00:00:08+00:00,0.815
1749945608,2025-06-15T00:00:08+00:00,0.785
1750032007,2025-06-16T00:00:07+00:00,0.765
1750118408,2025-06-17T00:00:08+00:00,0.73
1750204808,2025-06-18T00:00:08+00:00,0.725
1750291207,2025-06-19T00:00:07+00:00,0.73
1750377608,2025-06-20T00:00:08+00:00,0.81
1750464008,2025-06-21T00:00:08+00:00,0.825
1750550406,2025-06-22T00:00:06+00:00,0.84
1750636807,2025-06-23T00:00:07+00:00,0.85
1750723207,2025-06-24T00:00:07+00:00,0.815
1750809607,2025-06-25T00:00:07+00:00,0.755
1750896008,2025-06-26T00:00:08+00:00,0.775
1750982407,2025-06-27T00:00:07+00:00,0.755
1751068807,2025-06-28T00:00:07+00:00,0.78
1751155208,2025-06-29T00:00:08+00:00,0.805
1751241607,2025-06-30T00:00:07+00:00,0.835
1751328008,2025-07-01T00:00:08+00:00,0.785
1751414407,2025-07-02T00:00:07+00:00,0.76
1751500808,2025-07-03T00:00:08+00:00,0.76
1751587208,2025-07-04T00:00:08+00:00,0.825
1751673608,2025-07-05T00:00:08+00:00,0.84
1751760007,2025-07-06T00:00:07+00:00,0.815
1751846407,2025-07-07T00:00:07+00:00,0.785
1751932808,2025-07-08T00:00:08+00:00,0.785
1752019207,2025-07-09T00:00:07+00:00,0.795
1752105608,2025-07-10T00:00:08+00:00,0.76
1752192008,2025-07-11T00:00:08+00:00,0.765
1752278409,2025-07-12T00:00:09+00:00,0.795
1752364808,2025-07-13T00:00:08+00:00,0.775
1752451207,2025-07-14T00:00:07+00:00,0.765
1752537608,2025-07-15T00:00:08+00:00,0.715
