timestamp_unix,datetime_utc,increase_3_0_february_2025_no
1738972804,2025-02-08T00:00:04+00:00,0.8
1739059206,2025-02-09T00:00:06+00:00,0.957
1739145605,2025-02-10T00:00:05+00:00,0.9525
1739232004,2025-02-11T00:00:04+00:00,0.9495
1739318404,2025-02-12T00:00:04+00:00,0.9525
1739404804,2025-02-13T00:00:04+00:00,0.909
1739491205,2025-02-14T00:00:05+00:00,0.803
1739577604,2025-02-15T00:00:04+00:00,0.7985
1739664004,2025-02-16T00:00:04+00:00,0.7955
1739750404,2025-02-17T00:00:04+00:00,0.79
1739836804,2025-02-18T00:00:04+00:00,0.818
1739923204,2025-02-19T00:00:04+00:00,0.8255
1740009604,2025-02-20T00:00:04+00:00,0.821
1740096005,2025-02-21T00:00:05+00:00,0.821
1740182405,2025-02-22T00:00:05+00:00,0.8225
1740268804,2025-02-23T00:00:04+00:00,0.815
1740355204,2025-02-24T00:00:04+00:00,0.815
1740441604,2025-02-25T00:00:04+00:00,0.8145
1740528005,2025-02-26T00:00:05+00:00,0.792
1740614405,2025-02-27T00:00:05+00:00,0.789
1740700805,2025-02-28T00:00:05+00:00,0.78
1740787205,2025-03-01T00:00:05+00:00,0.793
1740873605,2025-03-02T00:00:05+00:00,0.797
1740960005,2025-03-03T00:00:05+00:00,0.8
1741046405,2025-03-04T00:00:05+00:00,0.819
1741132804,2025-03-05T00:00:04+00:00,0.8285
1741219205,2025-03-06T00:00:05+00:00,0.8015
1741305605,2025-03-07T00:00:05+00:00,0.787
1741392005,2025-03-08T00:00:05+00:00,0.782
1741478405,2025-03-09T00:00:05+00:00,0.75
1741564804,2025-03-10T00:00:04+00:00,0.8015
1741651205,2025-03-11T00:00:05+00:00,0.788
1741737605,2025-03-12T00:00:05+00:00,0.8545
