timestamp_unix,datetime_utc,increase_min_3_1_february_2025_yes
1738972804,2025-02-08T00:00:04+00:00,0.08
1739059206,2025-02-09T00:00:06+00:00,0.065
1739145605,2025-02-10T00:00:05+00:00,0.075
1739232004,2025-02-11T00:00:04+00:00,0.07
1739318404,2025-02-12T00:00:04+00:00,0.07
1739404804,2025-02-13T00:00:04+00:00,0.1025
1739491205,2025-02-14T00:00:05+00:00,0.1205
1739577604,2025-02-15T00:00:04+00:00,0.1515
1739664004,2025-02-16T00:00:04+00:00,0.166
1739750404,2025-02-17T00:00:04+00:00,0.2145
1739836804,2025-02-18T00:00:04+00:00,0.188
1739923204,2025-02-19T00:00:04+00:00,0.2045
1740009604,2025-02-20T00:00:04+00:00,0.1235
1740096005,2025-02-21T00:00:05+00:00,0.154
1740182405,2025-02-22T00:00:05+00:00,0.142
1740268804,2025-02-23T00:00:04+00:00,0.1385
1740355204,2025-02-24T00:00:04+00:00,0.137
1740441604,2025-02-25T00:00:04+00:00,0.126
1740528005,2025-02-26T00:00:05+00:00,0.114
1740614405,2025-02-27T00:00:05+00:00,0.131
1740700805,2025-02-28T00:00:05+00:00,0.1295
1740787205,2025-03-01T00:00:05+00:00,0.127
1740873605,2025-03-02T00:00:05+00:00,0.1295
1740960005,2025-03-03T00:00:05+00:00,0.1165
1741046405,2025-03-04T00:00:05+00:00,0.107
1741132804,2025-03-05T00:00:04+00:00,0.0645
1741219205,2025-03-06T00:00:05+00:00,0.0595
1741305605,2025-03-07T00:00:05+00:00,0.068
1741392005,2025-03-08T00:00:05+00:00,0.0515
1741478405,2025-03-09T00:00:05+00:00,0.0465
1741564804,2025-03-10T00:00:04+00:00,0.0435
1741651205,2025-03-11T00:00:05+00:00,0.051
1741737605,2025-03-12T00:00:05+00:00,0.021
