timestamp_unix,datetime_utc,increase_2_3_may_2025_no
1747180807,2025-05-14T00:00:07+00:00,0.875
1747267207,2025-05-15T00:00:07+00:00,0.8465
1747353606,2025-05-16T00:00:06+00:00,0.8355
1747440007,2025-05-17T00:00:07+00:00,0.8485
1747526406,2025-05-18T00:00:06+00:00,0.845
1747612806,2025-05-19T00:00:06+00:00,0.8435
1747699206,2025-05-20T00:00:06+00:00,0.8705
1747785606,2025-05-21T00:00:06+00:00,0.8855
1747872007,2025-05-22T00:00:07+00:00,0.885
1747958407,2025-05-23T00:00:07+00:00,0.895
1748044807,2025-05-24T00:00:07+00:00,0.887
1748131206,2025-05-25T00:00:06+00:00,0.8935
1748217607,2025-05-26T00:00:07+00:00,0.894
1748304006,2025-05-27T00:00:06+00:00,0.901
1748390406,2025-05-28T00:00:06+00:00,0.8995
1748476807,2025-05-29T00:00:07+00:00,0.903
1748563207,2025-05-30T00:00:07+00:00,0.883
1748649607,2025-05-31T00:00:07+00:00,0.8555
1748736007,2025-06-01T00:00:07+00:00,0.849
1748822406,2025-06-02T00:00:06+00:00,0.8515
1748908807,2025-06-03T00:00:07+00:00,0.859
1748995206,2025-06-04T00:00:06+00:00,0.9025
1749081606,2025-06-05T00:00:06+00:00,0.8755
1749168006,2025-06-06T00:00:06+00:00,0.868
1749254407,2025-06-07T00:00:07+00:00,0.862
1749340807,2025-06-08T00:00:07+00:00,0.8585
1749427207,2025-06-09T00:00:07+00:00,0.825
1749513606,2025-06-10T00:00:06+00:00,0.8475
1749600007,2025-06-11T00:00:07+00:00,0.86
