timestamp_unix,datetime_utc,increase_2_3_may_2025_yes
1747180807,2025-05-14T00:00:07+00:00,0.125
1747267207,2025-05-15T00:00:07+00:00,0.1535
1747353606,2025-05-16T00:00:06+00:00,0.1645
1747440007,2025-05-17T00:00:07+00:00,0.1515
1747526406,2025-05-18T00:00:06+00:00,0.155
1747612806,2025-05-19T00:00:06+00:00,0.1565
1747699206,2025-05-20T00:00:06+00:00,0.1295
1747785606,2025-05-21T00:00:06+00:00,0.1145
1747872007,2025-05-22T00:00:07+00:00,0.115
1747958407,2025-05-23T00:00:07+00:00,0.105
1748044807,2025-05-24T00:00:07+00:00,0.113
1748131206,2025-05-25T00:00:06+00:00,0.1065
1748217607,2025-05-26T00:00:07+00:00,0.106
1748304006,2025-05-27T00:00:06+00:00,0.099
1748390406,2025-05-28T00:00:06+00:00,0.1005
1748476807,2025-05-29T00:00:07+00:00,0.097
1748563207,2025-05-30T00:00:07+00:00,0.117
1748649607,2025-05-31T00:00:07+00:00,0.1445
1748736007,2025-06-01T00:00:07+00:00,0.151
1748822406,2025-06-02T00:00:06+00:00,0.1485
1748908807,2025-06-03T00:00:07+00:00,0.141
1748995206,2025-06-04T00:00:06+00:00,0.0975
1749081606,2025-06-05T00:00:06+00:00,0.1245
1749168006,2025-06-06T00:00:06+00:00,0.132
1749254407,2025-06-07T00:00:07+00:00,0.138
1749340807,2025-06-08T00:00:07+00:00,0.1415
1749427207,2025-06-09T00:00:07+00:00,0.175
1749513606,2025-06-10T00:00:06+00:00,0.1525
1749600007,2025-06-11T00:00:07+00:00,0.14
