datetime_utc,increase_max_2_2_may_2025_no,increase_max_2_2_may_2025_yes,increase_2_3_may_2025_no,increase_2_3_may_2025_yes,increase_2_4_may_2025_no,increase_2_4_may_2025_yes,increase_2_5_may_2025_no,increase_2_5_may_2025_yes,increase_min_2_6_may_2025_no,increase_min_2_6_may_2025_yes
2025-05-14,0.82,0.18,0.875,0.125,0.795,0.205,0.795,0.205,0.7,0.3
2025-05-15,0.895,0.105,0.8465,0.1535,0.745,0.255,0.785,0.215,0.71,0.29
2025-05-16,0.905,0.095,0.8355,0.1645,0.725,0.275,0.775,0.225,0.735,0.265
2025-05-17,0.915,0.085,0.8485,0.1515,0.72,0.28,0.775,0.225,0.74,0.26
2025-05-18,0.925,0.075,0.845,0.155,0.715,0.285,0.755,0.245,0.745,0.255
2025-05-19,0.925,0.075,0.8435,0.1565,0.715,0.285,0.745,0.255,0.755,0.245
2025-05-20,0.959,0.041,0.8705,0.1295,0.745,0.255,0.695,0.305,0.715,0.285
2025-05-21,0.9575,0.0425,0.8855,0.1145,0.745,0.255,0.675,0.325,0.73,0.27
2025-05-22,0.9335,0.0665,0.885,0.115,0.745,0.255,0.68,0.32,0.735,0.265
2025-05-23,0.945,0.055,0.895,0.105,0.75,0.25,0.64,0.36,0.755,0.245
2025-05-24,0.945,0.055,0.887,0.113,0.745,0.255,0.655,0.345,0.75,0.25
2025-05-25,0.937,0.063,0.8935,0.1065,0.745,0.255,0.655,0.345,0.755,0.245
2025-05-26,0.941,0.059,0.894,0.106,0.745,0.255,0.655,0.345,0.755,0.245
2025-05-27,0.954,0.046,0.901,0.099,0.745,0.255,0.645,0.355,0.76,0.24
2025-05-28,0.944,0.056,0.8995,0.1005,0.73,0.27,0.64,0.36,0.76,0.24
2025-05-29,0.9455,0.0545,0.903,0.097,0.69,0.31,0.68,0.32,0.785,0.215
2025-05-30,0.9505,0.0495,0.883,0.117,0.665,0.335,0.69,0.31,0.8,0.2
2025-05-31,0.948,0.052,0.8555,0.1445,0.6,0.4,0.785,0.215,0.83,0.17
2025-06-01,0.9235,0.0765,0.849,0.151,0.675,0.325,0.735,0.265,0.81,0.19
2025-06-02,0.954,0.046,0.8515,0.1485,0.67,0.33,0.735,0.265,0.81,0.19
2025-06-03,0.927,0.073,0.859,0.141,0.685,0.315,0.695,0.305,0.825,0.175
2025-06-04,0.942,0.058,0.9025,0.0975,0.66,0.34,0.68,0.32,0.815,0.185
2025-06-05,0.925,0.075,0.8755,0.1245,0.655,0.345,0.695,0.305,0.825,0.175
2025-06-06,0.916,0.084,0.868,0.132,0.64,0.36,0.695,0.305,0.85,0.15
2025-06-07,0.923,0.077,0.862,0.138,0.615,0.385,0.68,0.32,0.9,0.1
2025-06-08,0.936,0.064,0.8585,0.1415,0.605,0.395,0.685,0.315,0.895,0.105
2025-06-09,0.9455,0.0545,0.825,0.175,0.605,0.395,0.675,0.325,0.935,0.065
2025-06-10,0.967,0.033,0.8475,0.1525,0.54,0.46,0.715,0.285,0.935,0.065
2025-06-11,0.9475,0.0525,0.86,0.14,0.48,0.52,0.77,0.23,0.913,0.087
