timestamp_unix,datetime_utc,increase_3_1_november_2025_no
1763078409,2025-11-14T00:00:09+00:00,0.505
1763164809,2025-11-15T00:00:09+00:00,0.62
1763251208,2025-11-16T00:00:08+00:00,0.62
1763337609,2025-11-17T00:00:09+00:00,0.665
1763424008,2025-11-18T00:00:08+00:00,0.715
1763510409,2025-11-19T00:00:09+00:00,0.71
1763596807,2025-11-20T00:00:07+00:00,0.645
1763683210,2025-11-21T00:00:10+00:00,0.63
1763769609,2025-11-22T00:00:09+00:00,0.645
1763856008,2025-11-23T00:00:08+00:00,0.6
1763942411,2025-11-24T00:00:11+00:00,0.625
1764028809,2025-11-25T00:00:09+00:00,0.635
1764115209,2025-11-26T00:00:09+00:00,0.61
1764201610,2025-11-27T00:00:10+00:00,0.625
1764288010,2025-11-28T00:00:10+00:00,0.625
1764374412,2025-11-29T00:00:12+00:00,0.61
1764460810,2025-11-30T00:00:10+00:00,0.585
1764547210,2025-12-01T00:00:10+00:00,0.58
1764633608,2025-12-02T00:00:08+00:00,0.6
1764720011,2025-12-03T00:00:11+00:00,0.615
1764806409,2025-12-04T00:00:09+00:00,0.615
1764892810,2025-12-05T00:00:10+00:00,0.63
1764979210,2025-12-06T00:00:10+00:00,0.715
1765065623,2025-12-07T00:00:23+00:00,0.675
1765152022,2025-12-08T00:00:22+00:00,0.655
1765238420,2025-12-09T00:00:20+00:00,0.605
1765324810,2025-12-10T00:00:10+00:00,0.6
1765411210,2025-12-11T00:00:10+00:00,0.635
1765497609,2025-12-12T00:00:09+00:00,0.64
1765584011,2025-12-13T00:00:11+00:00,0.625
1765670411,2025-12-14T00:00:11+00:00,0.6
1765756811,2025-12-15T00:00:11+00:00,0.6
1765843209,2025-12-16T00:00:09+00:00,0.595
1765929606,2025-12-17T00:00:06+00:00,0.63
1765929631,2025-12-17T00:00:31+00:00,0.63
1766016020,2025-12-18T00:00:20+00:00,0.655
