timestamp_unix,datetime_utc,increase_2_8_november_2025_no
1763078411,2025-11-14T00:00:11+00:00,0.515
1763164812,2025-11-15T00:00:12+00:00,0.905
1763251209,2025-11-16T00:00:09+00:00,0.925
1763337612,2025-11-17T00:00:12+00:00,0.905
1763424010,2025-11-18T00:00:10+00:00,0.92
1763510414,2025-11-19T00:00:14+00:00,0.935
1763596810,2025-11-20T00:00:10+00:00,0.94
1763683214,2025-11-21T00:00:14+00:00,0.94
1763769610,2025-11-22T00:00:10+00:00,0.935
1763856011,2025-11-23T00:00:11+00:00,0.945
1763942412,2025-11-24T00:00:12+00:00,0.97
1764028812,2025-11-25T00:00:12+00:00,0.978
1764115211,2025-11-26T00:00:11+00:00,0.986
1764201613,2025-11-27T00:00:13+00:00,0.985
1764288013,2025-11-28T00:00:13+00:00,0.9915
1764374416,2025-11-29T00:00:16+00:00,0.9965
1764460813,2025-11-30T00:00:13+00:00,0.997
1764547213,2025-12-01T00:00:13+00:00,0.9965
1764633610,2025-12-02T00:00:10+00:00,0.9955
1764720014,2025-12-03T00:00:14+00:00,0.982
1764806411,2025-12-04T00:00:11+00:00,0.9965
1764892812,2025-12-05T00:00:12+00:00,0.994
1764979213,2025-12-06T00:00:13+00:00,0.996
1765065625,2025-12-07T00:00:25+00:00,0.971
1765152024,2025-12-08T00:00:24+00:00,0.984
1765238422,2025-12-09T00:00:22+00:00,0.9845
1765324811,2025-12-10T00:00:11+00:00,0.973
1765411211,2025-12-11T00:00:11+00:00,0.966
1765497611,2025-12-12T00:00:11+00:00,0.983
1765584013,2025-12-13T00:00:13+00:00,0.9735
1765670413,2025-12-14T00:00:13+00:00,0.996
1765756813,2025-12-15T00:00:13+00:00,0.9965
1765843212,2025-12-16T00:00:12+00:00,0.975
1765929608,2025-12-17T00:00:08+00:00,0.9785
1765929632,2025-12-17T00:00:32+00:00,0.9785
1766016021,2025-12-18T00:00:21+00:00,0.9965
