timestamp_unix,datetime_utc,increase_2_8_november_2025_yes
1763078412,2025-11-14T00:00:12+00:00,0.485
1763164813,2025-11-15T00:00:13+00:00,0.095
1763251210,2025-11-16T00:00:10+00:00,0.075
1763337612,2025-11-17T00:00:12+00:00,0.095
1763424010,2025-11-18T00:00:10+00:00,0.08
1763510414,2025-11-19T00:00:14+00:00,0.065
1763596810,2025-11-20T00:00:10+00:00,0.06
1763683215,2025-11-21T00:00:15+00:00,0.06
1763769610,2025-11-22T00:00:10+00:00,0.065
1763856011,2025-11-23T00:00:11+00:00,0.055
1763942412,2025-11-24T00:00:12+00:00,0.03
1764028812,2025-11-25T00:00:12+00:00,0.022
1764115211,2025-11-26T00:00:11+00:00,0.014
1764201613,2025-11-27T00:00:13+00:00,0.015
1764288013,2025-11-28T00:00:13+00:00,0.0085
1764374417,2025-11-29T00:00:17+00:00,0.0035
1764460813,2025-11-30T00:00:13+00:00,0.003
1764547213,2025-12-01T00:00:13+00:00,0.0035
1764633610,2025-12-02T00:00:10+00:00,0.0045
1764720015,2025-12-03T00:00:15+00:00,0.018
1764806411,2025-12-04T00:00:11+00:00,0.0035
1764892812,2025-12-05T00:00:12+00:00,0.006
1764979213,2025-12-06T00:00:13+00:00,0.004
1765065625,2025-12-07T00:00:25+00:00,0.029
1765152025,2025-12-08T00:00:25+00:00,0.016
1765238422,2025-12-09T00:00:22+00:00,0.0155
1765324811,2025-12-10T00:00:11+00:00,0.027
1765411212,2025-12-11T00:00:12+00:00,0.034
1765497612,2025-12-12T00:00:12+00:00,0.017
1765584013,2025-12-13T00:00:13+00:00,0.0265
1765670413,2025-12-14T00:00:13+00:00,0.004
1765756814,2025-12-15T00:00:14+00:00,0.0035
1765843212,2025-12-16T00:00:12+00:00,0.025
1765929609,2025-12-17T00:00:09+00:00,0.0215
1765929633,2025-12-17T00:00:33+00:00,0.0215
1766016021,2025-12-18T00:00:21+00:00,0.0035
