datetime_utc,increase_2_9_november_2025_no,increase_2_9_november_2025_yes,increase_3_0_november_2025_no,increase_3_0_november_2025_yes,increase_3_1_november_2025_no,increase_3_1_november_2025_yes,increase_2_8_november_2025_no,increase_2_8_november_2025_yes,increase_3_2_november_2025_no,increase_3_2_november_2025_yes
2025-11-14,,,,,,,,,0.505,
2025-11-14,,,,,0.505,,,,,
2025-11-14,0.52,,,0.485,,,,,,
2025-11-14,,,,,,,0.515,,,0.495
2025-11-14,,0.48,,,,,,0.485,,
2025-11-14,,,0.515,,,0.495,,,,
2025-11-15,,,,,,,,,0.87,
2025-11-15,,,,,0.62,,,,,
2025-11-15,0.85,,,0.4,,,0.905,,,0.13
2025-11-15,,0.15,,,,,,0.095,,
2025-11-15,,,,,,0.38,,,,
2025-11-15,,,0.6,,,,,,,
2025-11-16,,,,,,,,,0.82,
2025-11-16,,,,,0.62,,,,,
2025-11-16,0.885,,,0.415,,,0.925,,,0.18
2025-11-16,,0.115,,,,,,0.075,,
2025-11-16,,,,,,0.38,,,,
2025-11-16,,,0.585,,,,,,,
2025-11-17,,,,,,,,,0.88,
2025-11-17,,,,,0.665,,,,,
2025-11-17,0.885,,,0.44,,,,,,
2025-11-17,,,,,,,,,,0.12
2025-11-17,,0.115,,,,,0.905,0.095,,
2025-11-17,,,,,,0.335,,,,
2025-11-17,,,0.56,,,,,,,
2025-11-18,,,,,,,,,0.89,
2025-11-18,,,,,0.715,,,,,
2025-11-18,0.885,,,0.475,,,,,,0.11
2025-11-18,,0.115,,,,,0.92,0.08,,
2025-11-18,,,,,,0.285,,,,
2025-11-18,,,0.525,,,,,,,
2025-11-19,,,,,,,,,0.825,
2025-11-19,,,,,0.71,,,,,
2025-11-19,0.905,,,0.445,,,,,,
2025-11-19,,,,,,,,,,0.175
2025-11-19,,0.095,,,,,0.935,0.065,,
2025-11-19,,,,,,0.29,,,,
2025-11-19,,,0.555,,,,,,,
2025-11-20,,,,,,,,,0.83,
2025-11-20,,,,,0.645,,,,,
2025-11-20,0.905,,,0.44,,,,,,0.17
2025-11-20,,0.095,,,,,0.94,0.06,,
2025-11-20,,,,,,0.355,,,,
2025-11-20,,,0.56,,,,,,,
2025-11-21,,,,,,,,,0.84,
2025-11-21,,,,,0.63,,,,,
2025-11-21,,,,0.45,,,,,,
2025-11-21,0.905,,,,,,,,,0.16
2025-11-21,,,,,,,0.94,,,
2025-11-21,,0.095,,,,,,0.06,,
2025-11-21,,,,,,0.37,,,,
2025-11-21,,,0.55,,,,,,,
2025-11-22,,,,,,,,,0.865,
2025-11-22,,,,,0.645,,,,,
2025-11-22,0.905,,,0.46,,,0.935,0.065,,0.135
2025-11-22,,0.095,,,,,,,,
2025-11-22,,,,,,0.355,,,,
2025-11-22,,,0.54,,,,,,,
2025-11-23,,,,,,,,,0.895,
2025-11-23,,,,,0.6,,,,,
2025-11-23,0.915,,,0.47,,,,,,0.105
2025-11-23,,0.085,,,,,0.945,0.055,,
2025-11-23,,,,,,0.4,,,,
2025-11-23,,,0.53,,,,,,,
2025-11-24,,,,,,,,,0.88,
2025-11-24,0.93,,,0.445,0.625,,,,,
2025-11-24,,0.07,,,,,0.97,0.03,,0.12
2025-11-24,,,,,,0.375,,,,
2025-11-24,,,0.555,,,,,,,
2025-11-25,,,,,,,,,0.91,
2025-11-25,,,,,0.635,,,,,
2025-11-25,0.925,,,0.47,,,,,,
2025-11-25,,,,,,,0.978,0.022,,0.09
2025-11-25,,0.075,,,,,,,,
2025-11-25,,,,,,0.365,,,,
2025-11-25,,,0.53,,,,,,,
2025-11-26,,,,,,,,,0.92,
2025-11-26,,,,,0.61,,,,,
2025-11-26,0.935,,,,,,,,,
2025-11-26,,0.065,,0.475,,,0.986,0.014,,0.08
2025-11-26,,,0.525,,,0.39,,,,
2025-11-27,,,,,,,,,0.915,
2025-11-27,,,,,0.625,,,,,
2025-11-27,0.915,,,0.455,,,,,,
