timestamp_unix,datetime_utc,increase_2_9_october_2025_no
1761782404,2025-10-30T00:00:04+00:00,0.575
1761868804,2025-10-31T00:00:04+00:00,0.8
1761955205,2025-11-01T00:00:05+00:00,0.88
1762041605,2025-11-02T00:00:05+00:00,0.865
1762128004,2025-11-03T00:00:04+00:00,0.865
1762214404,2025-11-04T00:00:04+00:00,0.865
1762300804,2025-11-05T00:00:04+00:00,0.855
1762387203,2025-11-06T00:00:03+00:00,0.845
1762473604,2025-11-07T00:00:04+00:00,0.85
1762560005,2025-11-08T00:00:05+00:00,0.855
1762646417,2025-11-09T00:00:17+00:00,0.83
1762732804,2025-11-10T00:00:04+00:00,0.84
1762819206,2025-11-11T00:00:06+00:00,0.84
1762905608,2025-11-12T00:00:08+00:00,0.86
1762992004,2025-11-13T00:00:04+00:00,0.9205
1763078405,2025-11-14T00:00:05+00:00,0.915
1763164805,2025-11-15T00:00:05+00:00,0.8895
1763251205,2025-11-16T00:00:05+00:00,0.889
1763337604,2025-11-17T00:00:04+00:00,0.89
1763424005,2025-11-18T00:00:05+00:00,0.882
1763510405,2025-11-19T00:00:05+00:00,0.8795
1763596805,2025-11-20T00:00:05+00:00,0.8805
1763683205,2025-11-21T00:00:05+00:00,0.8805
1763769605,2025-11-22T00:00:05+00:00,0.901
