timestamp_unix,datetime_utc,increase_3_0_october_2025_yes
1761782418,2025-10-30T00:00:18+00:00,0.42
1761868812,2025-10-31T00:00:12+00:00,0.34
1761955217,2025-11-01T00:00:17+00:00,0.545
1762041614,2025-11-02T00:00:14+00:00,0.525
1762128016,2025-11-03T00:00:16+00:00,0.525
1762214417,2025-11-04T00:00:17+00:00,0.53
1762300818,2025-11-05T00:00:18+00:00,0.52
1762387211,2025-11-06T00:00:11+00:00,0.52
1762473618,2025-11-07T00:00:18+00:00,0.52
1762560012,2025-11-08T00:00:12+00:00,0.555
1762646430,2025-11-09T00:00:30+00:00,0.555
1762732812,2025-11-10T00:00:12+00:00,0.555
1762819219,2025-11-11T00:00:19+00:00,0.565
1762905617,2025-11-12T00:00:17+00:00,0.46
1762992017,2025-11-13T00:00:17+00:00,0.86
1763078417,2025-11-14T00:00:17+00:00,0.665
1763164820,2025-11-15T00:00:20+00:00,0.63
1763251213,2025-11-16T00:00:13+00:00,0.65
1763337618,2025-11-17T00:00:18+00:00,0.705
1763424014,2025-11-18T00:00:14+00:00,0.715
1763510420,2025-11-19T00:00:20+00:00,0.71
1763596813,2025-11-20T00:00:13+00:00,0.72
1763683222,2025-11-21T00:00:22+00:00,0.825
1763769614,2025-11-22T00:00:14+00:00,0.8545
