timestamp_unix,datetime_utc,increase_3_2_october_2025_no
1761782425,2025-10-30T00:00:25+00:00,0.65
1761868816,2025-10-31T00:00:16+00:00,0.905
1761955225,2025-11-01T00:00:25+00:00,0.905
1762041619,2025-11-02T00:00:19+00:00,0.925
1762128023,2025-11-03T00:00:23+00:00,0.93
1762214423,2025-11-04T00:00:23+00:00,0.93
1762300826,2025-11-05T00:00:26+00:00,0.94
1762387216,2025-11-06T00:00:16+00:00,0.94
1762473626,2025-11-07T00:00:26+00:00,0.915
1762560017,2025-11-08T00:00:17+00:00,0.93
1762646437,2025-11-09T00:00:37+00:00,0.94
1762732817,2025-11-10T00:00:17+00:00,0.925
1762819227,2025-11-11T00:00:27+00:00,0.92
1762905622,2025-11-12T00:00:22+00:00,0.82
1762992025,2025-11-13T00:00:25+00:00,0.9755
1763078424,2025-11-14T00:00:24+00:00,0.895
1763164830,2025-11-15T00:00:30+00:00,0.9385
1763251219,2025-11-16T00:00:19+00:00,0.9385
1763337627,2025-11-17T00:00:27+00:00,0.965
1763424019,2025-11-18T00:00:19+00:00,0.9705
1763510430,2025-11-19T00:00:30+00:00,0.9695
1763596819,2025-11-20T00:00:19+00:00,0.9645
1763683234,2025-11-21T00:00:34+00:00,0.9695
1763769620,2025-11-22T00:00:20+00:00,0.991
