timestamp_unix,datetime_utc,increase_3_2_october_2025_yes
1761782419,2025-10-30T00:00:19+00:00,0.35
1761868813,2025-10-31T00:00:13+00:00,0.095
1761955218,2025-11-01T00:00:18+00:00,0.095
1762041615,2025-11-02T00:00:15+00:00,0.075
1762128017,2025-11-03T00:00:17+00:00,0.07
1762214418,2025-11-04T00:00:18+00:00,0.07
1762300819,2025-11-05T00:00:19+00:00,0.06
1762387212,2025-11-06T00:00:12+00:00,0.06
1762473619,2025-11-07T00:00:19+00:00,0.085
1762560013,2025-11-08T00:00:13+00:00,0.07
1762646431,2025-11-09T00:00:31+00:00,0.06
1762732813,2025-11-10T00:00:13+00:00,0.075
1762819220,2025-11-11T00:00:20+00:00,0.08
1762905618,2025-11-12T00:00:18+00:00,0.18
1762992018,2025-11-13T00:00:18+00:00,0.0245
1763078418,2025-11-14T00:00:18+00:00,0.105
1763164821,2025-11-15T00:00:21+00:00,0.0615
1763251214,2025-11-16T00:00:14+00:00,0.0615
1763337619,2025-11-17T00:00:19+00:00,0.035
1763424015,2025-11-18T00:00:15+00:00,0.0295
1763510422,2025-11-19T00:00:22+00:00,0.0305
1763596814,2025-11-20T00:00:14+00:00,0.0355
1763683223,2025-11-21T00:00:23+00:00,0.0305
1763769615,2025-11-22T00:00:15+00:00,0.009
