datetime_utc,increase_2_9_october_2025_no,increase_2_9_october_2025_yes,increase_3_0_october_2025_no,increase_3_0_october_2025_yes,increase_3_1_october_2025_no,increase_3_1_october_2025_yes,increase_2_8_october_2025_no,increase_2_8_october_2025_yes,increase_3_2_october_2025_no,increase_3_2_october_2025_yes
2025-10-30,0.575,,,,,,,,,
2025-10-30,,0.425,,,,,,,,
2025-10-30,,,,,,0.425,,,,
2025-10-30,,,,,0.575,,,,,
2025-10-30,,,,0.42,,,,,,
2025-10-30,,,0.58,,,,,,,0.35
2025-10-30,,,,,,,,0.41,,
2025-10-30,,,,,,,0.59,,,
2025-10-30,,,,,,,,,0.65,
2025-10-31,0.8,,,,,,,,,
2025-10-31,,0.2,,,,,,,,
2025-10-31,,,,,,0.31,,,,
2025-10-31,,,,,0.69,,,,,
2025-10-31,,,0.66,0.34,,,,,,
2025-10-31,,,,,,,,,,0.095
2025-10-31,,,,,,,0.935,0.065,,
2025-10-31,,,,,,,,,0.905,
2025-11-01,0.88,,,,,,,,,
2025-11-01,,0.12,,,,,,,,
2025-11-01,,,,,,0.21,,,,
2025-11-01,,,,,0.79,,,,,
2025-11-01,,,,0.545,,,,,,
2025-11-01,,,0.455,,,,,,,0.095
2025-11-01,,,,,,,,0.0315,,
2025-11-01,,,,,,,0.9685,,,
2025-11-01,,,,,,,,,0.905,
2025-11-02,0.865,,,,,,,,,
2025-11-02,,0.135,,,,,,,,
2025-11-02,,,,,,0.22,,,,
2025-11-02,,,,,0.78,,,,,
2025-11-02,,,,0.525,,,,,,
2025-11-02,,,0.475,,,,,,,0.075
2025-11-02,,,,,,,,0.0535,,
2025-11-02,,,,,,,0.9465,,,
2025-11-02,,,,,,,,,0.925,
2025-11-03,0.865,0.135,,,,,,,,
2025-11-03,,,,,,0.22,,,,
2025-11-03,,,,,0.78,,,,,
2025-11-03,,,0.475,0.525,,,,,,
2025-11-03,,,,,,,,,,0.07
2025-11-03,,,,,,,,0.0735,,
2025-11-03,,,,,,,0.9265,,0.93,
2025-11-04,0.865,,,,,,,,,
2025-11-04,,0.135,,,,,,,,
2025-11-04,,,,,,0.23,,,,
2025-11-04,,,,,0.77,,,,,
2025-11-04,,,0.47,0.53,,,,,,
2025-11-04,,,,,,,,,,0.07
2025-11-04,,,,,,,,0.057,,
2025-11-04,,,,,,,0.943,,,
2025-11-04,,,,,,,,,0.93,
2025-11-05,0.855,,,,,,,,,
2025-11-05,,0.145,,,,,,,,
2025-11-05,,,,,,0.225,,,,
2025-11-05,,,,,0.775,,,,,
2025-11-05,,,0.48,0.52,,,,,,
2025-11-05,,,,,,,,,,0.06
2025-11-05,,,,,,,,0.0355,,
2025-11-05,,,,,,,0.9645,,0.94,
2025-11-06,0.845,,,,,,,,,
2025-11-06,,0.155,,,,,,,,
2025-11-06,,,,,,0.22,,,,
2025-11-06,,,,,0.78,,,,,
2025-11-06,,,0.48,0.52,,,,,,
2025-11-06,,,,,,,,,,0.06
2025-11-06,,,,,,,,0.0355,,
2025-11-06,,,,,,,0.9645,,,
2025-11-06,,,,,,,,,0.94,
2025-11-07,0.85,,,,,,,,,
2025-11-07,,0.15,,,,,,,,
2025-11-07,,,,,,0.215,,,,
2025-11-07,,,,,0.785,,,,,
2025-11-07,,,0.48,0.52,,,,,,
2025-11-07,,,,,,,,,,0.085
2025-11-07,,,,,,,,0.0305,,
2025-11-07,,,,,,,0.9695,,0.915,
2025-11-08,0.855,,,,,,,,,
2025-11-08,,0.145,,,,,,,,
2025-11-08,,,,,,0.205,,,,
2025-11-08,,,0.445,0.555,0.795,,,,,
2025-11-08,,,,,,,,,,0.07
2025-11-08,,,,,,,,0.0275,,
2025-11-08,,,,,,,0.9725,,,
2025-11-08,,,,,,,,,0.93,
2025-11-09,0.83,,,,,,,,,
2025-11-09,,0.17,,,,,,,,
2025-11-09,,,,,,0.205,,,,
2025-11-09,,,,,0.795,,,,,
2025-11-09,,,0.445,0.555,,,,,,
2025-11-09,,,,,,,,,,0.06
2025-11-09,,,,,,,,0.023,,
2025-11-09,,,,,,,0.977,,0.94,
2025-11-10,0.84,,,,,,,,,
2025-11-10,,0.16,,,,,,,,
2025-11-10,,,,,,0.205,,,,
2025-11-10,,,,,0.795,,,,,
2025-11-10,,,0.445,0.555,,,,,,
2025-11-10,,,,,,,,,,0.075
2025-11-10,,,,,,,,0.0215,,
2025-11-10,,,,,,,0.9785,,,
2025-11-10,,,,,,,,,0.925,
2025-11-11,0.84,,,,,,,,,
2025-11-11,,0.16,,,,,,,,
2025-11-11,,,,,,0.18,,,,
2025-11-11,,,,,0.82,,,,,
2025-11-11,,,0.435,0.565,,,,,,
2025-11-11,,,,,,,,,,0.08
2025-11-11,,,,,,,,0.004,,
2025-11-11,,,,,,,0.996,,,
2025-11-11,,,,,,,,,0.92,
2025-11-12,0.86,0.14,,,,,,,,
2025-11-12,,,,,,0.185,,,,
2025-11-12,,,,,0.815,,,,,
2025-11-12,,,0.54,0.46,,,,,,
2025-11-12,,,,,,,,,,0.18
2025-11-12,,,,,,,,0.044,,
2025-11-12,,,,,,,0.956,,0.82,
2025-11-13,0.9205,,,,,,,,,
2025-11-13,,0.0795,,,,,,,,
2025-11-13,,,,,,0.025,,,,
2025-11-13,,,,,0.975,,,,,
2025-11-13,,,0.14,0.86,,,,,,
2025-11-13,,,,,,,,,,0.0245
2025-11-13,,,,,,,,0.004,,
2025-11-13,,,,,,,0.996,,,
2025-11-13,,,,,,,,,0.9755,
2025-11-14,0.915,,,,,,,,,
2025-11-14,,0.085,,,,,,,,
2025-11-14,,,,,,0.1155,,,,
2025-11-14,,,,,0.8845,,,,,
2025-11-14,,,0.335,0.665,,,,,,
2025-11-14,,,,,,,,,,0.105
2025-11-14,,,,,,,,0.016,,
2025-11-14,,,,,,,0.984,,,
2025-11-14,,,,,,,,,0.895,
2025-11-15,0.8895,,,,,,,,,
2025-11-15,,0.1105,,,,,,,,
2025-11-15,,,,,,0.162,,,,
2025-11-15,,,,,0.838,,,,,
2025-11-15,,,,0.63,,,,,,
2025-11-15,,,0.37,,,,,,,0.0615
2025-11-15,,,,,,,,0.015,,
2025-11-15,,,,,,,0.985,,,
2025-11-15,,,,,,,,,0.9385,
2025-11-16,0.889,,,,,,,,,
2025-11-16,,0.111,,,,,,,,
2025-11-16,,,,,,0.1735,,,,
2025-11-16,,,,0.65,0.8265,,,,,
2025-11-16,,,0.35,,,,,,,0.0615
2025-11-16,,,,,,,,0.0145,,
2025-11-16,,,,,,,0.9855,,,
2025-11-16,,,,,,,,,0.9385,
2025-11-17,0.89,,,,,,,,,
2025-11-17,,0.11,,,,,,,,
2025-11-17,,,,,,0.1665,,,,
2025-11-17,,,,,0.8335,,,,,
2025-11-17,,,0.295,0.705,,,,,,
2025-11-17,,,,,,,,,,0.035
2025-11-17,,,,,,,,0.0135,,
2025-11-17,,,,,,,0.9865,,,
2025-11-17,,,,,,,,,0.965,
2025-11-18,0.882,0.118,,,,,,,,
2025-11-18,,,,,,0.169,,,,
2025-11-18,,,,,0.831,,,,,
2025-11-18,,,0.285,0.715,,,,,,
2025-11-18,,,,,,,,,,0.0295
2025-11-18,,,,,,,,0.011,,
2025-11-18,,,,,,,0.989,,0.9705,
2025-11-19,0.8795,,,,,,,,,
2025-11-19,,0.1205,,,,,,,,
2025-11-19,,,,,,0.1405,,,,
2025-11-19,,,,,0.8595,,,,,
2025-11-19,,,,0.71,,,,,,
2025-11-19,,,0.29,,,,,,,
2025-11-19,,,,,,,,,,0.0305
2025-11-19,,,,,,,,0.0075,,
2025-11-19,,,,,,,0.9925,,,
2025-11-19,,,,,,,,,0.9695,
2025-11-20,0.8805,,,,,,,,,
2025-11-20,,0.1195,,,,,,,,
2025-11-20,,,,,,0.142,,,,
2025-11-20,,,,0.72,0.858,,,,,
2025-11-20,,,0.28,,,,,,,0.0355
2025-11-20,,,,,,,,0.0065,,
2025-11-20,,,,,,,0.9935,,,
2025-11-20,,,,,,,,,0.9645,
2025-11-21,0.8805,,,,,,,,,
2025-11-21,,0.1195,,,,,,,,
2025-11-21,,,,,,0.0575,,,,
2025-11-21,,,,,0.9425,,,,,
2025-11-21,,,,0.825,,,,,,
2025-11-21,,,0.175,,,,,,,0.0305
2025-11-21,,,,,,,,0.007,,
2025-11-21,,,,,,,0.993,,,
2025-11-21,,,,,,,,,0.9695,
2025-11-22,0.901,,,,,,,,,
2025-11-22,,0.099,,,,,,,,
2025-11-22,,,,,,0.0115,,,,
2025-11-22,,,,0.8545,0.9885,,,,,
2025-11-22,,,0.1455,,,,,,,0.009
2025-11-22,,,,,,,,0.012,,
2025-11-22,,,,,,,0.988,,0.991,
