timestamp_unix,datetime_utc,increase_max_2_9_september_2025_no
1757635224,2025-09-12T00:00:24+00:00,0.915
1757721608,2025-09-13T00:00:08+00:00,0.955
1757808018,2025-09-14T00:00:18+00:00,0.955
1757894405,2025-09-15T00:00:05+00:00,0.95
1757980805,2025-09-16T00:00:05+00:00,0.945
1758067207,2025-09-17T00:00:07+00:00,0.945
1758153609,2025-09-18T00:00:09+00:00,0.94
1758240012,2025-09-19T00:00:12+00:00,0.955
1758326412,2025-09-20T00:00:12+00:00,0.94
1758412803,2025-09-21T00:00:03+00:00,0.94
1758499207,2025-09-22T00:00:07+00:00,0.94
1758585602,2025-09-23T00:00:02+00:00,0.945
1758672008,2025-09-24T00:00:08+00:00,0.94
1758758407,2025-09-25T00:00:07+00:00,0.945
1758844803,2025-09-26T00:00:03+00:00,0.91
1758931208,2025-09-27T00:00:08+00:00,0.925
1759017606,2025-09-28T00:00:06+00:00,0.925
1759104006,2025-09-29T00:00:06+00:00,0.915
1759190403,2025-09-30T00:00:03+00:00,0.93
1759276808,2025-10-01T00:00:08+00:00,0.91
1759363205,2025-10-02T00:00:05+00:00,0.915
1759449609,2025-10-03T00:00:09+00:00,0.915
1759536003,2025-10-04T00:00:03+00:00,0.855
1759622407,2025-10-05T00:00:07+00:00,0.87
1759708804,2025-10-06T00:00:04+00:00,0.875
1759795207,2025-10-07T00:00:07+00:00,0.87
1759881602,2025-10-08T00:00:02+00:00,0.855
1759968011,2025-10-09T00:00:11+00:00,0.865
1760054410,2025-10-10T00:00:10+00:00,0.855
1760140810,2025-10-11T00:00:10+00:00,0.905
1760227215,2025-10-12T00:00:15+00:00,0.875
1760313612,2025-10-13T00:00:12+00:00,0.865
1760400014,2025-10-14T00:00:14+00:00,0.885
1760486405,2025-10-15T00:00:05+00:00,0.88
1760572807,2025-10-16T00:00:07+00:00,0.88
1760659205,2025-10-17T00:00:05+00:00,0.865
1760745605,2025-10-18T00:00:05+00:00,0.855
1760832015,2025-10-19T00:00:15+00:00,0.84
1760918421,2025-10-20T00:00:21+00:00,0.865
1761004812,2025-10-21T00:00:12+00:00,0.84
1761091205,2025-10-22T00:00:05+00:00,0.87
1761177605,2025-10-23T00:00:05+00:00,0.87
1761264006,2025-10-24T00:00:06+00:00,0.875
