timestamp_unix,datetime_utc,increase_max_2_9_september_2025_yes
1757635203,2025-09-12T00:00:03+00:00,0.085
1757721610,2025-09-13T00:00:10+00:00,0.045
1757808006,2025-09-14T00:00:06+00:00,0.045
1757894414,2025-09-15T00:00:14+00:00,0.05
1757980813,2025-09-16T00:00:13+00:00,0.055
1758067220,2025-09-17T00:00:20+00:00,0.055
1758153609,2025-09-18T00:00:09+00:00,0.06
1758240010,2025-09-19T00:00:10+00:00,0.045
1758326417,2025-09-20T00:00:17+00:00,0.06
1758412805,2025-09-21T00:00:05+00:00,0.06
1758499214,2025-09-22T00:00:14+00:00,0.06
1758585606,2025-09-23T00:00:06+00:00,0.055
1758672004,2025-09-24T00:00:04+00:00,0.06
1758758406,2025-09-25T00:00:06+00:00,0.055
1758844808,2025-09-26T00:00:08+00:00,0.09
1758931211,2025-09-27T00:00:11+00:00,0.075
1759017609,2025-09-28T00:00:09+00:00,0.075
1759104009,2025-09-29T00:00:09+00:00,0.085
1759190411,2025-09-30T00:00:11+00:00,0.07
1759276810,2025-10-01T00:00:10+00:00,0.09
1759363206,2025-10-02T00:00:06+00:00,0.085
1759449604,2025-10-03T00:00:04+00:00,0.085
1759536009,2025-10-04T00:00:09+00:00,0.145
1759622408,2025-10-05T00:00:08+00:00,0.13
1759708807,2025-10-06T00:00:07+00:00,0.125
1759795206,2025-10-07T00:00:06+00:00,0.13
1759881606,2025-10-08T00:00:06+00:00,0.145
1759968005,2025-10-09T00:00:05+00:00,0.135
1760054408,2025-10-10T00:00:08+00:00,0.145
1760140807,2025-10-11T00:00:07+00:00,0.095
1760227205,2025-10-12T00:00:05+00:00,0.125
1760313610,2025-10-13T00:00:10+00:00,0.135
1760400016,2025-10-14T00:00:16+00:00,0.115
1760486407,2025-10-15T00:00:07+00:00,0.12
1760572821,2025-10-16T00:00:21+00:00,0.12
1760659206,2025-10-17T00:00:06+00:00,0.135
1760745605,2025-10-18T00:00:05+00:00,0.145
1760832012,2025-10-19T00:00:12+00:00,0.16
1760918419,2025-10-20T00:00:19+00:00,0.135
1761004810,2025-10-21T00:00:10+00:00,0.16
1761091208,2025-10-22T00:00:08+00:00,0.13
1761177607,2025-10-23T00:00:07+00:00,0.13
1761264008,2025-10-24T00:00:08+00:00,0.125
