timestamp_unix,datetime_utc,increase_3_0_september_2025_yes
1757635209,2025-09-12T00:00:09+00:00,0.2
1757721612,2025-09-13T00:00:12+00:00,0.305
1757808018,2025-09-14T00:00:18+00:00,0.31
1757894414,2025-09-15T00:00:14+00:00,0.31
1757980819,2025-09-16T00:00:19+00:00,0.315
1758067207,2025-09-17T00:00:07+00:00,0.335
1758153614,2025-09-18T00:00:14+00:00,0.345
1758240004,2025-09-19T00:00:04+00:00,0.345
1758326419,2025-09-20T00:00:19+00:00,0.34
1758412804,2025-09-21T00:00:04+00:00,0.325
1758499202,2025-09-22T00:00:02+00:00,0.325
1758585607,2025-09-23T00:00:07+00:00,0.32
1758672010,2025-09-24T00:00:10+00:00,0.325
1758758408,2025-09-25T00:00:08+00:00,0.335
1758844805,2025-09-26T00:00:05+00:00,0.325
1758931210,2025-09-27T00:00:10+00:00,0.325
1759017606,2025-09-28T00:00:06+00:00,0.335
1759104009,2025-09-29T00:00:09+00:00,0.325
1759190412,2025-09-30T00:00:12+00:00,0.38
1759276810,2025-10-01T00:00:10+00:00,0.375
1759363209,2025-10-02T00:00:09+00:00,0.375
1759449606,2025-10-03T00:00:06+00:00,0.375
1759536006,2025-10-04T00:00:06+00:00,0.365
1759622405,2025-10-05T00:00:05+00:00,0.375
1759708804,2025-10-06T00:00:04+00:00,0.39
1759795206,2025-10-07T00:00:06+00:00,0.38
1759881606,2025-10-08T00:00:06+00:00,0.375
1759968008,2025-10-09T00:00:08+00:00,0.37
1760054414,2025-10-10T00:00:14+00:00,0.37
1760140805,2025-10-11T00:00:05+00:00,0.395
1760227218,2025-10-12T00:00:18+00:00,0.385
1760313606,2025-10-13T00:00:06+00:00,0.35
1760400009,2025-10-14T00:00:09+00:00,0.36
1760486406,2025-10-15T00:00:06+00:00,0.35
1760572822,2025-10-16T00:00:22+00:00,0.365
1760659208,2025-10-17T00:00:08+00:00,0.35
1760745613,2025-10-18T00:00:13+00:00,0.37
1760832013,2025-10-19T00:00:13+00:00,0.37
1760918414,2025-10-20T00:00:14+00:00,0.385
1761004803,2025-10-21T00:00:03+00:00,0.385
1761091227,2025-10-22T00:00:27+00:00,0.425
1761177613,2025-10-23T00:00:13+00:00,0.445
1761264023,2025-10-24T00:00:23+00:00,0.435
