timestamp_unix,datetime_utc,increase_3_1_september_2025_no
1757635207,2025-09-12T00:00:07+00:00,0.63
1757721604,2025-09-13T00:00:04+00:00,0.605
1757808010,2025-09-14T00:00:10+00:00,0.605
1757894404,2025-09-15T00:00:04+00:00,0.605
1757980819,2025-09-16T00:00:19+00:00,0.585
1758067211,2025-09-17T00:00:11+00:00,0.595
1758153607,2025-09-18T00:00:07+00:00,0.59
1758240017,2025-09-19T00:00:17+00:00,0.585
1758326419,2025-09-20T00:00:19+00:00,0.58
1758412807,2025-09-21T00:00:07+00:00,0.575
1758499204,2025-09-22T00:00:04+00:00,0.575
1758585602,2025-09-23T00:00:02+00:00,0.57
1758672013,2025-09-24T00:00:13+00:00,0.57
1758758405,2025-09-25T00:00:05+00:00,0.56
1758844805,2025-09-26T00:00:05+00:00,0.54
1758931210,2025-09-27T00:00:10+00:00,0.555
1759017606,2025-09-28T00:00:06+00:00,0.555
1759104009,2025-09-29T00:00:09+00:00,0.54
1759190402,2025-09-30T00:00:02+00:00,0.555
1759276809,2025-10-01T00:00:09+00:00,0.585
1759363208,2025-10-02T00:00:08+00:00,0.595
1759449609,2025-10-03T00:00:09+00:00,0.635
1759536003,2025-10-04T00:00:03+00:00,0.735
1759622408,2025-10-05T00:00:08+00:00,0.715
1759708803,2025-10-06T00:00:03+00:00,0.685
1759795206,2025-10-07T00:00:06+00:00,0.715
1759881614,2025-10-08T00:00:14+00:00,0.715
1759968013,2025-10-09T00:00:13+00:00,0.705
1760054419,2025-10-10T00:00:19+00:00,0.735
1760140805,2025-10-11T00:00:05+00:00,0.675
1760227215,2025-10-12T00:00:15+00:00,0.66
1760313612,2025-10-13T00:00:12+00:00,0.67
1760400010,2025-10-14T00:00:10+00:00,0.615
1760486409,2025-10-15T00:00:09+00:00,0.605
1760572822,2025-10-16T00:00:22+00:00,0.61
1760659210,2025-10-17T00:00:10+00:00,0.585
1760745614,2025-10-18T00:00:14+00:00,0.59
1760832015,2025-10-19T00:00:15+00:00,0.6
1760918410,2025-10-20T00:00:10+00:00,0.59
1761004819,2025-10-21T00:00:19+00:00,0.625
1761091208,2025-10-22T00:00:08+00:00,0.615
1761177607,2025-10-23T00:00:07+00:00,0.605
1761264008,2025-10-24T00:00:08+00:00,0.61
