timestamp_unix,datetime_utc,increase_min_3_3_september_2025_no
1757635203,2025-09-12T00:00:03+00:00,0.915
1757721610,2025-09-13T00:00:10+00:00,0.9695
1757808003,2025-09-14T00:00:03+00:00,0.9665
1757894409,2025-09-15T00:00:09+00:00,0.969
1757980817,2025-09-16T00:00:17+00:00,0.967
1758067216,2025-09-17T00:00:16+00:00,0.97
1758153611,2025-09-18T00:00:11+00:00,0.9645
1758240011,2025-09-19T00:00:11+00:00,0.9575
1758326419,2025-09-20T00:00:19+00:00,0.9615
1758412809,2025-09-21T00:00:09+00:00,0.958
1758499204,2025-09-22T00:00:04+00:00,0.96
1758585604,2025-09-23T00:00:04+00:00,0.959
1758672008,2025-09-24T00:00:08+00:00,0.965
1758758404,2025-09-25T00:00:04+00:00,0.974
1758844811,2025-09-26T00:00:11+00:00,0.978
1758931207,2025-09-27T00:00:07+00:00,0.9785
1759017609,2025-09-28T00:00:09+00:00,0.977
1759104007,2025-09-29T00:00:07+00:00,0.9815
1759190407,2025-09-30T00:00:07+00:00,0.9925
1759276808,2025-10-01T00:00:08+00:00,0.979
1759363206,2025-10-02T00:00:06+00:00,0.984
1759449610,2025-10-03T00:00:10+00:00,0.9725
1759536008,2025-10-04T00:00:08+00:00,0.982
1759622404,2025-10-05T00:00:04+00:00,0.9665
1759708805,2025-10-06T00:00:05+00:00,0.9735
1759795208,2025-10-07T00:00:08+00:00,0.9705
1759881613,2025-10-08T00:00:13+00:00,0.984
1759968008,2025-10-09T00:00:08+00:00,0.9755
1760054419,2025-10-10T00:00:19+00:00,0.9795
1760140808,2025-10-11T00:00:08+00:00,0.98
1760227214,2025-10-12T00:00:14+00:00,0.9895
1760313609,2025-10-13T00:00:09+00:00,0.9905
1760400005,2025-10-14T00:00:05+00:00,0.9885
1760486404,2025-10-15T00:00:04+00:00,0.9965
1760572818,2025-10-16T00:00:18+00:00,0.9845
1760659205,2025-10-17T00:00:05+00:00,0.9935
1760745618,2025-10-18T00:00:18+00:00,0.9935
1760832009,2025-10-19T00:00:09+00:00,0.995
1760918416,2025-10-20T00:00:16+00:00,0.9965
1761004805,2025-10-21T00:00:05+00:00,0.989
1761091210,2025-10-22T00:00:10+00:00,0.9885
1761177607,2025-10-23T00:00:07+00:00,0.992
1761264009,2025-10-24T00:00:09+00:00,0.9945
