timestamp_unix,datetime_utc,increase_min_3_3_september_2025_yes
1757635226,2025-09-12T00:00:26+00:00,0.085
1757721611,2025-09-13T00:00:11+00:00,0.0305
1757808009,2025-09-14T00:00:09+00:00,0.0335
1757894405,2025-09-15T00:00:05+00:00,0.031
1757980805,2025-09-16T00:00:05+00:00,0.033
1758067207,2025-09-17T00:00:07+00:00,0.03
1758153610,2025-09-18T00:00:10+00:00,0.0355
1758240013,2025-09-19T00:00:13+00:00,0.0425
1758326422,2025-09-20T00:00:22+00:00,0.0385
1758412810,2025-09-21T00:00:10+00:00,0.042
1758499219,2025-09-22T00:00:19+00:00,0.04
1758585609,2025-09-23T00:00:09+00:00,0.041
1758672017,2025-09-24T00:00:17+00:00,0.035
1758758403,2025-09-25T00:00:03+00:00,0.026
1758844810,2025-09-26T00:00:10+00:00,0.022
1758931206,2025-09-27T00:00:06+00:00,0.0215
1759017609,2025-09-28T00:00:09+00:00,0.023
1759104009,2025-09-29T00:00:09+00:00,0.0185
1759190411,2025-09-30T00:00:11+00:00,0.0075
1759276804,2025-10-01T00:00:04+00:00,0.021
1759363206,2025-10-02T00:00:06+00:00,0.016
1759449604,2025-10-03T00:00:04+00:00,0.0275
1759536002,2025-10-04T00:00:02+00:00,0.018
1759622407,2025-10-05T00:00:07+00:00,0.0335
1759708803,2025-10-06T00:00:03+00:00,0.0265
1759795206,2025-10-07T00:00:06+00:00,0.0295
1759881606,2025-10-08T00:00:06+00:00,0.016
1759968005,2025-10-09T00:00:05+00:00,0.0245
1760054409,2025-10-10T00:00:09+00:00,0.0205
1760140808,2025-10-11T00:00:08+00:00,0.02
1760227209,2025-10-12T00:00:09+00:00,0.0105
1760313616,2025-10-13T00:00:16+00:00,0.0095
1760400008,2025-10-14T00:00:08+00:00,0.0115
1760486406,2025-10-15T00:00:06+00:00,0.0035
1760572822,2025-10-16T00:00:22+00:00,0.0155
1760659210,2025-10-17T00:00:10+00:00,0.0065
1760745609,2025-10-18T00:00:09+00:00,0.0065
1760832013,2025-10-19T00:00:13+00:00,0.005
1760918415,2025-10-20T00:00:15+00:00,0.0035
1761004803,2025-10-21T00:00:03+00:00,0.011
1761091225,2025-10-22T00:00:25+00:00,0.0115
1761177612,2025-10-23T00:00:12+00:00,0.008
1761264021,2025-10-24T00:00:21+00:00,0.0055
