datetime_utc,increase_max_2_9_september_2025_no,increase_max_2_9_september_2025_yes,increase_3_0_september_2025_no,increase_3_0_september_2025_yes,increase_3_1_september_2025_no,increase_3_1_september_2025_yes,increase_3_2_september_2025_no,increase_3_2_september_2025_yes,increase_min_3_3_september_2025_no,increase_min_3_3_september_2025_yes
2025-09-12,,0.085,,,,,0.715,,0.915,
2025-09-12,,,0.8,,,,,,,
2025-09-12,,,,,0.63,,,,,
2025-09-12,,,,0.2,,,,,,
2025-09-12,,,,,,,,0.285,,
2025-09-12,,,,,,0.37,,,,
2025-09-12,0.915,,,,,,,,,
2025-09-12,,,,,,,,,,0.085
2025-09-13,,,,,0.605,,,,,
2025-09-13,0.955,,,,,0.395,,,,
2025-09-13,,0.045,0.695,,,,,,0.9695,
2025-09-13,,,,,,,,0.245,,0.0305
2025-09-13,,,,0.305,,,0.755,,,
2025-09-14,,,,,,,,,0.9665,
2025-09-14,,0.045,,,,,,,,
2025-09-14,,,,,,,,,,0.0335
2025-09-14,,,,,0.605,,,,,
2025-09-14,,,,,,,,0.225,,
2025-09-14,,,0.69,,,,,,,
2025-09-14,0.955,,,0.31,,,,,,
2025-09-14,,,,,,,0.775,,,
2025-09-14,,,,,,0.395,,,,
2025-09-15,,,,,0.605,,,,,
2025-09-15,0.95,,,,,,,,,0.031
2025-09-15,,,,,,0.395,,0.225,,
2025-09-15,,,,,,,,,0.969,
2025-09-15,,,0.69,,,,,,,
2025-09-15,,,,,,,0.775,,,
2025-09-15,,0.05,,0.31,,,,,,
2025-09-16,0.945,,,,,,,0.195,,0.033
2025-09-16,,0.055,,,,,,,,
2025-09-16,,,,,,0.415,,,,
2025-09-16,,,,,,,0.805,,0.967,
2025-09-16,,,,0.315,0.585,,,,,
2025-09-16,,,0.685,,,,,,,
2025-09-17,0.945,,,0.335,,,,,,0.03
2025-09-17,,,0.665,,,,,,,
2025-09-17,,,,,0.595,,,,,
2025-09-17,,,,,,,,0.195,,
2025-09-17,,,,,,0.405,,,,
2025-09-17,,,,,,,,,0.97,
2025-09-17,,,,,,,0.805,,,
2025-09-17,,0.055,,,,,,,,
2025-09-18,,,0.655,,,,,0.17,,
2025-09-18,,,,,,,0.83,,,
2025-09-18,,,,,0.59,,,,,
2025-09-18,0.94,0.06,,,,,,,,
2025-09-18,,,,,,0.41,,,,0.0355
2025-09-18,,,,,,,,,0.9645,
2025-09-18,,,,0.345,,,,,,
2025-09-19,,,,0.345,,,,,,
2025-09-19,,,,,,,0.835,,,
2025-09-19,,0.045,,,,,,,,
2025-09-19,,,,,,,,,0.9575,
2025-09-19,0.955,,,,,0.415,,0.165,,
2025-09-19,,,,,,,,,,0.0425
2025-09-19,,,0.655,,,,,,,
2025-09-19,,,,,0.585,,,,,
2025-09-20,,,,,,0.42,,,,
2025-09-20,0.94,,,,,,,,,
2025-09-20,,,0.66,,,,,,,
2025-09-20,,0.06,,,,,,,,
2025-09-20,,,,0.34,0.58,,,,0.9615,
2025-09-20,,,,,,,,0.165,,
2025-09-20,,,,,,,0.835,,,0.0385
2025-09-21,0.94,,,,,,,,,
2025-09-21,,,,0.325,,,0.84,,,
2025-09-21,,0.06,,,,,,,,
2025-09-21,,,,,0.575,,,,,
2025-09-21,,,,,,,,,0.958,
2025-09-21,,,0.675,,,0.425,,,,0.042
2025-09-21,,,,,,,,0.16,,
2025-09-22,,,,0.325,,,,,,
2025-09-22,,,,,0.575,,,0.165,0.96,
