timestamp_unix,datetime_utc,increase_3_2_april_2026_no
1775952025,2026-04-12T00:00:25+00:00,0.9885
1776816009,2026-04-22T00:00:09+00:00,0.99
1776902414,2026-04-23T00:00:14+00:00,0.9845
1776988823,2026-04-24T00:00:23+00:00,0.9835
1777075213,2026-04-25T00:00:13+00:00,0.984
1777161608,2026-04-26T00:00:08+00:00,0.984
1777248008,2026-04-27T00:00:08+00:00,0.9905
1777334409,2026-04-28T00:00:09+00:00,0.9925
1777420807,2026-04-29T00:00:07+00:00,0.9945
1777507213,2026-04-30T00:00:13+00:00,0.992
1777593608,2026-05-01T00:00:08+00:00,0.996
1777680007,2026-05-02T00:00:07+00:00,0.9945
1777766406,2026-05-03T00:00:06+00:00,0.995
1777852805,2026-05-04T00:00:05+00:00,0.9945
1777939219,2026-05-05T00:00:19+00:00,0.9945
1778025609,2026-05-06T00:00:09+00:00,0.9935
1778112009,2026-05-07T00:00:09+00:00,0.995
1778198405,2026-05-08T00:00:05+00:00,0.9945
1778284823,2026-05-09T00:00:23+00:00,0.9975
1778371209,2026-05-10T00:00:09+00:00,0.9975
1778457611,2026-05-11T00:00:11+00:00,0.9985
1778544012,2026-05-12T00:00:12+00:00,0.9985
