timestamp_unix,datetime_utc,increase_3_3_april_2026_yes
1775865650,2026-04-11T00:00:50+00:00,0.475
1776038445,2026-04-13T00:00:45+00:00,0.0945
1776211246,2026-04-15T00:00:46+00:00,0.006
1776297650,2026-04-16T00:00:50+00:00,0.0185
1776816015,2026-04-22T00:00:15+00:00,0.0275
1776902414,2026-04-23T00:00:14+00:00,0.0245
1776988831,2026-04-24T00:00:31+00:00,0.022
1777075215,2026-04-25T00:00:15+00:00,0.0235
1777161608,2026-04-26T00:00:08+00:00,0.019
1777248008,2026-04-27T00:00:08+00:00,0.018
1777334411,2026-04-28T00:00:11+00:00,0.0115
1777420809,2026-04-29T00:00:09+00:00,0.0095
1777507213,2026-04-30T00:00:13+00:00,0.0115
1777593614,2026-05-01T00:00:14+00:00,0.0125
1777680008,2026-05-02T00:00:08+00:00,0.015
1777766406,2026-05-03T00:00:06+00:00,0.017
1777852805,2026-05-04T00:00:05+00:00,0.013
1777939219,2026-05-05T00:00:19+00:00,0.007
1778025609,2026-05-06T00:00:09+00:00,0.006
1778112009,2026-05-07T00:00:09+00:00,0.0065
1778198405,2026-05-08T00:00:05+00:00,0.006
1778284824,2026-05-09T00:00:24+00:00,0.0055
1778371210,2026-05-10T00:00:10+00:00,0.0055
1778457611,2026-05-11T00:00:11+00:00,0.0045
1778544012,2026-05-12T00:00:12+00:00,0.0025
