timestamp_unix,datetime_utc,increase_4_1_april_2026_no
1775865659,2026-04-11T00:00:59+00:00,0.74
1776038451,2026-04-13T00:00:51+00:00,0.8385
1776211254,2026-04-15T00:00:54+00:00,0.934
1776297656,2026-04-16T00:00:56+00:00,0.969
1776470403,2026-04-18T00:00:03+00:00,0.973
1776816015,2026-04-22T00:00:15+00:00,0.9675
1776902417,2026-04-23T00:00:17+00:00,0.9705
1776988831,2026-04-24T00:00:31+00:00,0.962
1777075215,2026-04-25T00:00:15+00:00,0.972
1777161609,2026-04-26T00:00:09+00:00,0.956
1777248011,2026-04-27T00:00:11+00:00,0.9615
1777334412,2026-04-28T00:00:12+00:00,0.989
1777420810,2026-04-29T00:00:10+00:00,0.995
1777507215,2026-04-30T00:00:15+00:00,0.9935
1777593614,2026-05-01T00:00:14+00:00,0.993
1777680008,2026-05-02T00:00:08+00:00,0.977
1777766406,2026-05-03T00:00:06+00:00,0.9925
1777852806,2026-05-04T00:00:06+00:00,0.991
1777939219,2026-05-05T00:00:19+00:00,0.9885
1778025610,2026-05-06T00:00:10+00:00,0.9915
1778112009,2026-05-07T00:00:09+00:00,0.9925
1778198407,2026-05-08T00:00:07+00:00,0.9905
1778284824,2026-05-09T00:00:24+00:00,0.9925
1778371210,2026-05-10T00:00:10+00:00,0.99
1778457611,2026-05-11T00:00:11+00:00,0.991
1778544012,2026-05-12T00:00:12+00:00,0.991
