timestamp_unix,datetime_utc,increase_4_1_april_2026_yes
1776470420,2026-04-18T00:00:20+00:00,0.027
1776816015,2026-04-22T00:00:15+00:00,0.0325
1776902417,2026-04-23T00:00:17+00:00,0.0295
1776988832,2026-04-24T00:00:32+00:00,0.038
1777075215,2026-04-25T00:00:15+00:00,0.028
1777161609,2026-04-26T00:00:09+00:00,0.044
1777248011,2026-04-27T00:00:11+00:00,0.0385
1777334412,2026-04-28T00:00:12+00:00,0.011
1777420810,2026-04-29T00:00:10+00:00,0.005
1777507215,2026-04-30T00:00:15+00:00,0.0065
1777593615,2026-05-01T00:00:15+00:00,0.007
1777680009,2026-05-02T00:00:09+00:00,0.023
1777766407,2026-05-03T00:00:07+00:00,0.0075
1777852806,2026-05-04T00:00:06+00:00,0.009
1777939220,2026-05-05T00:00:20+00:00,0.0115
1778025610,2026-05-06T00:00:10+00:00,0.0085
1778112010,2026-05-07T00:00:10+00:00,0.0075
1778198408,2026-05-08T00:00:08+00:00,0.0095
1778284824,2026-05-09T00:00:24+00:00,0.0075
1778371211,2026-05-10T00:00:11+00:00,0.01
1778457611,2026-05-11T00:00:11+00:00,0.009
1778544016,2026-05-12T00:00:16+00:00,0.009
