timestamp_unix,datetime_utc,increase_2_5_february_2026_yes
1771027247,2026-02-14T00:00:47+00:00,0.385
1771113646,2026-02-15T00:00:46+00:00,0.225
1771200056,2026-02-16T00:00:56+00:00,0.25
1771286449,2026-02-17T00:00:49+00:00,0.275
1771372853,2026-02-18T00:00:53+00:00,0.295
1771459255,2026-02-19T00:00:55+00:00,0.295
1771545651,2026-02-20T00:00:51+00:00,0.31
1771632034,2026-02-21T00:00:34+00:00,0.315
1771718434,2026-02-22T00:00:34+00:00,0.325
1771804840,2026-02-23T00:00:40+00:00,0.345
1771891242,2026-02-24T00:00:42+00:00,0.36
1771977647,2026-02-25T00:00:47+00:00,0.34
1772064042,2026-02-26T00:00:42+00:00,0.365
1772150448,2026-02-27T00:00:48+00:00,0.36
1772236846,2026-02-28T00:00:46+00:00,0.4
1772409657,2026-03-02T00:00:57+00:00,0.43
1772496051,2026-03-03T00:00:51+00:00,0.415
1772582452,2026-03-04T00:00:52+00:00,0.395
1772668849,2026-03-05T00:00:49+00:00,0.4
1772755247,2026-03-06T00:00:47+00:00,0.41
1772841652,2026-03-07T00:00:52+00:00,0.415
1772928042,2026-03-08T00:00:42+00:00,0.44
1773014438,2026-03-09T00:00:38+00:00,0.43
1773100846,2026-03-10T00:00:46+00:00,0.455
1773187249,2026-03-11T00:00:49+00:00,0.315
