timestamp_unix,datetime_utc,increase_2_6_february_2026_no
1771027252,2026-02-14T00:00:52+00:00,0.66
1771113653,2026-02-15T00:00:53+00:00,0.88
1771286455,2026-02-17T00:00:55+00:00,0.915
1771545657,2026-02-20T00:00:57+00:00,0.94
1771632038,2026-02-21T00:00:38+00:00,0.95
1771718438,2026-02-22T00:00:38+00:00,0.955
1771804846,2026-02-23T00:00:46+00:00,0.915
1771891247,2026-02-24T00:00:47+00:00,0.95
1771977653,2026-02-25T00:00:53+00:00,0.9735
1772064047,2026-02-26T00:00:47+00:00,0.966
1772150453,2026-02-27T00:00:53+00:00,0.961
1772236850,2026-02-28T00:00:50+00:00,0.9675
1772496057,2026-03-03T00:00:57+00:00,0.9555
1772582457,2026-03-04T00:00:57+00:00,0.9875
1772668854,2026-03-05T00:00:54+00:00,0.965
1772755252,2026-03-06T00:00:52+00:00,0.9675
1772841657,2026-03-07T00:00:57+00:00,0.9625
1772928045,2026-03-08T00:00:45+00:00,0.9695
1773014442,2026-03-09T00:00:42+00:00,0.96
1773100851,2026-03-10T00:00:51+00:00,0.971
1773187255,2026-03-11T00:00:55+00:00,0.9765
