timestamp_unix,datetime_utc,increase_2_1_february_2026_yes
1771027241,2026-02-14T00:00:41+00:00,0.305
1771113640,2026-02-15T00:00:40+00:00,0.055
1771200051,2026-02-16T00:00:51+00:00,0.03
1771286442,2026-02-17T00:00:42+00:00,0.0395
1771372846,2026-02-18T00:00:46+00:00,0.0395
1771459248,2026-02-19T00:00:48+00:00,0.0205
1771545645,2026-02-20T00:00:45+00:00,0.0155
1771632031,2026-02-21T00:00:31+00:00,0.021
1771718431,2026-02-22T00:00:31+00:00,0.025
1771804836,2026-02-23T00:00:36+00:00,0.0115
1771891236,2026-02-24T00:00:36+00:00,0.032
1771977641,2026-02-25T00:00:41+00:00,0.0215
1772064037,2026-02-26T00:00:37+00:00,0.0115
1772150442,2026-02-27T00:00:42+00:00,0.0115
1772236842,2026-02-28T00:00:42+00:00,0.009
1772323255,2026-03-01T00:00:55+00:00,0.0215
1772409653,2026-03-02T00:00:53+00:00,0.0185
1772496046,2026-03-03T00:00:46+00:00,0.0075
1772582447,2026-03-04T00:00:47+00:00,0.01
1772668844,2026-03-05T00:00:44+00:00,0.009
1772755243,2026-03-06T00:00:43+00:00,0.011
1772841647,2026-03-07T00:00:47+00:00,0.009
1772928039,2026-03-08T00:00:39+00:00,0.0065
1773014434,2026-03-09T00:00:34+00:00,0.013
1773100841,2026-03-10T00:00:41+00:00,0.0065
1773187245,2026-03-11T00:00:45+00:00,0.0165
