timestamp_unix,datetime_utc,increase_2_7_february_2026_no
1771027253,2026-02-14T00:00:53+00:00,0.64
1771113654,2026-02-15T00:00:54+00:00,0.945
1771286456,2026-02-17T00:00:56+00:00,0.945
1771545658,2026-02-20T00:00:58+00:00,0.95
1771632038,2026-02-21T00:00:38+00:00,0.96
1771718438,2026-02-22T00:00:38+00:00,0.974
1771804847,2026-02-23T00:00:47+00:00,0.9785
1771891247,2026-02-24T00:00:47+00:00,0.9865
1771977654,2026-02-25T00:00:54+00:00,0.9765
1772064048,2026-02-26T00:00:48+00:00,0.966
1772150454,2026-02-27T00:00:54+00:00,0.974
1772236850,2026-02-28T00:00:50+00:00,0.9785
1772496058,2026-03-03T00:00:58+00:00,0.9865
1772582458,2026-03-04T00:00:58+00:00,0.9835
1772668855,2026-03-05T00:00:55+00:00,0.975
1772755253,2026-03-06T00:00:53+00:00,0.98
1772841658,2026-03-07T00:00:58+00:00,0.9605
1772928046,2026-03-08T00:00:46+00:00,0.9795
1773014443,2026-03-09T00:00:43+00:00,0.962
1773100852,2026-03-10T00:00:52+00:00,0.987
1773187256,2026-03-11T00:00:56+00:00,0.991
