datetime_utc,increase_2_9_january_2026_no,increase_2_9_january_2026_yes,increase_3_0_january_2026_no,increase_3_0_january_2026_yes,increase_3_1_january_2026_no,increase_3_1_january_2026_yes,increase_2_8_january_2026_no,increase_2_8_january_2026_yes,increase_3_2_january_2026_no,increase_3_2_january_2026_yes
2025-12-20,,,,,,0.495,,,,
2025-12-20,,,0.515,,,,,,,
2025-12-20,,,,,,,,,0.51,
2025-12-20,,,,,0.505,,,,,
2025-12-20,,,,,,,,,,0.49
2025-12-20,,,,,,,0.505,,,
2025-12-20,0.515,,,,,,,0.495,,
2025-12-20,,0.485,,,,,,,,
2025-12-20,,,,0.485,,,,,,
2025-12-21,,,,,,0.07,,,,
2025-12-21,,,0.87,,,,,,,
2025-12-21,,,,,,,,,0.945,
2025-12-21,,,,,0.93,,,,,
2025-12-21,,,,,,,,,,0.055
2025-12-21,,,,,,,0.19,,,
2025-12-21,0.9,0.1,,,,,,0.81,,
2025-12-21,,,,0.13,,,,,,
2025-12-22,,,,,,0.075,,,,
2025-12-22,,,0.915,,,,,,,
2025-12-22,,,,,,,,,0.935,
2025-12-22,,,,,0.925,,,,,
2025-12-22,,,,,,,,,,0.065
2025-12-22,,,,,,,0.175,,,
2025-12-22,0.905,0.095,,,,,,0.825,,
2025-12-22,,,,0.085,,,,,,
2025-12-23,,,,,,0.07,,,,
2025-12-23,,,0.9,,,,,,,
2025-12-23,,,,,,,,,0.975,
2025-12-23,,,,,0.93,,,,,
2025-12-23,,,,,,,,,,0.025
2025-12-23,,,,,,,0.25,,,
2025-12-23,0.845,0.155,,,,,,0.75,,
2025-12-23,,,,0.1,,,,,,
2025-12-24,,,,,,0.021,,,,
2025-12-24,,,0.969,,,,,,,
2025-12-24,,,,,,,,,0.9705,
2025-12-24,,,,,0.979,,,,,
2025-12-24,,,,,,,,,,0.0295
2025-12-24,,,,,,,0.275,,,
2025-12-24,0.77,,,,,,,,,
2025-12-24,,0.23,,,,,,0.725,,
2025-12-24,,,,0.031,,,,,,
2025-12-25,,,,,,0.042,,,,
2025-12-25,,,0.923,,,,,,,
2025-12-25,,,,,,,,,0.97,
2025-12-25,,,,,0.958,,,,,
2025-12-25,,,,,,,,,,0.03
2025-12-25,,,,,,,0.265,,,
2025-12-25,0.765,,,,,,,0.735,,
2025-12-25,,0.235,,0.077,,,,,,
2025-12-26,,,,,,0.0645,,,,
2025-12-26,,,0.911,,,,,,,
2025-12-26,,,,,,,,,0.9735,
2025-12-26,,,,,0.9355,,,,,
2025-12-26,,,,,,,,,,0.0265
2025-12-26,,,,,,,0.26,,,
2025-12-26,0.835,,,,,,,,,
2025-12-26,,0.165,,0.089,,,,0.74,,
2025-12-27,,,,,,0.0635,,,,
2025-12-27,,,0.935,,,,,,,
2025-12-27,,,,,,,,,0.9705,
2025-12-27,,,,,0.9365,,,,,
2025-12-27,,,,,,,,,,0.0295
2025-12-27,,,,,,,0.225,,,
2025-12-27,0.86,,,,,,,,,
2025-12-27,,0.14,,,,,,0.775,,
2025-12-27,,,,0.065,,,,,,
2025-12-28,,,,,,0.064,,,,
2025-12-28,,,0.9365,,,,,,,
2025-12-28,,,,,,,,,0.9745,
2025-12-28,,,,,0.936,,,,,
2025-12-28,,,,,,,,,,0.0255
2025-12-28,,,,,,,0.19,,,
2025-12-28,0.875,0.125,,,,,,0.81,,
2025-12-28,,,,0.0635,,,,,,
2025-12-29,,,,,,0.0515,,,,
2025-12-29,,,0.952,,,,,,,
2025-12-29,,,,,,,,,0.9745,
2025-12-29,,,,,0.9485,,,,,
2025-12-29,,,,,,,,,,0.0255
2025-12-29,,,,,,,0.175,,,
2025-12-29,0.875,0.125,,,,,,0.825,,
2025-12-29,,,,0.048,,,,,,
2025-12-30,,,,,,0.0505,,,,
2025-12-30,,,0.9535,,,,,,,
2025-12-30,,,,,,,,,0.9745,
2025-12-30,,,,,0.9495,,,,,
2025-12-30,,,,,,,,,,0.0255
2025-12-30,,,,,,,0.16,,,
2025-12-30,0.88,,,,,,,,,
2025-12-30,,0.12,,,,,,0.84,,
2025-12-30,,,,0.0465,,,,,,
2025-12-31,,,,,,0.0465,,,,
2025-12-31,,,0.9565,,,,,,,
2025-12-31,,,,,,,,,0.975,
