timestamp_unix,datetime_utc,increase_max_3_6_june_2026_no
1781136013,2026-06-11T00:00:13+00:00,0.95
1781222409,2026-06-12T00:00:09+00:00,0.9995
1781308809,2026-06-13T00:00:09+00:00,0.9955
1781395213,2026-06-14T00:00:13+00:00,0.993
1781481609,2026-06-15T00:00:09+00:00,0.994
1781568014,2026-06-16T00:00:14+00:00,0.9875
1781654412,2026-06-17T00:00:12+00:00,0.989
1781740829,2026-06-18T00:00:29+00:00,0.9745
1781827228,2026-06-19T00:00:28+00:00,0.986
1781913609,2026-06-20T00:00:09+00:00,0.982
1782000012,2026-06-21T00:00:12+00:00,0.9835
1782086411,2026-06-22T00:00:11+00:00,0.99
1782172816,2026-06-23T00:00:16+00:00,0.984
1782259212,2026-06-24T00:00:12+00:00,0.98
1782345620,2026-06-25T00:00:20+00:00,0.9385
1782432011,2026-06-26T00:00:11+00:00,0.93
1782518412,2026-06-27T00:00:12+00:00,0.9755
1782604810,2026-06-28T00:00:10+00:00,0.9685
1782691210,2026-06-29T00:00:10+00:00,0.9585
1782777611,2026-06-30T00:00:11+00:00,0.927
1782864016,2026-07-01T00:00:16+00:00,0.9435
1782950415,2026-07-02T00:00:15+00:00,0.963
1783036814,2026-07-03T00:00:14+00:00,0.9335
1783123212,2026-07-04T00:00:12+00:00,0.9745
1783209612,2026-07-05T00:00:12+00:00,0.976
1783296005,2026-07-06T00:00:05+00:00,0.98
1783382411,2026-07-07T00:00:11+00:00,0.9895
1783468807,2026-07-08T00:00:07+00:00,0.982
1783555214,2026-07-09T00:00:14+00:00,0.9795
1783641611,2026-07-10T00:00:11+00:00,0.986
1783728010,2026-07-11T00:00:10+00:00,0.986
1783814423,2026-07-12T00:00:23+00:00,0.9685
1783900813,2026-07-13T00:00:13+00:00,0.9835
1783987210,2026-07-14T00:00:10+00:00,0.971
