timestamp_unix,datetime_utc,increase_3_7_june_2026_no
1781136011,2026-06-11T00:00:11+00:00,0.93
1781222407,2026-06-12T00:00:07+00:00,0.9995
1781308807,2026-06-13T00:00:07+00:00,0.914
1781395210,2026-06-14T00:00:10+00:00,0.8595
1781481606,2026-06-15T00:00:06+00:00,0.863
1781568010,2026-06-16T00:00:10+00:00,0.7195
1781654408,2026-06-17T00:00:08+00:00,0.6345
1781740823,2026-06-18T00:00:23+00:00,0.7305
1781827225,2026-06-19T00:00:25+00:00,0.7225
1781913607,2026-06-20T00:00:07+00:00,0.6925
1782000010,2026-06-21T00:00:10+00:00,0.709
1782086409,2026-06-22T00:00:09+00:00,0.752
1782172808,2026-06-23T00:00:08+00:00,0.7465
1782259207,2026-06-24T00:00:07+00:00,0.731
1782345612,2026-06-25T00:00:12+00:00,0.732
1782432007,2026-06-26T00:00:07+00:00,0.7465
1782518407,2026-06-27T00:00:07+00:00,0.64
1782604807,2026-06-28T00:00:07+00:00,0.6825
1782691206,2026-06-29T00:00:06+00:00,0.6885
1782777607,2026-06-30T00:00:07+00:00,0.675
1782864007,2026-07-01T00:00:07+00:00,0.6665
1782950411,2026-07-02T00:00:11+00:00,0.673
1783036808,2026-07-03T00:00:08+00:00,0.669
1783123207,2026-07-04T00:00:07+00:00,0.6475
1783209607,2026-07-05T00:00:07+00:00,0.6775
1783296004,2026-07-06T00:00:04+00:00,0.6875
1783382409,2026-07-07T00:00:09+00:00,0.675
1783468806,2026-07-08T00:00:06+00:00,0.754
1783555213,2026-07-09T00:00:13+00:00,0.716
1783641608,2026-07-10T00:00:08+00:00,0.688
1783728008,2026-07-11T00:00:08+00:00,0.7015
1783814420,2026-07-12T00:00:20+00:00,0.7035
1783900810,2026-07-13T00:00:10+00:00,0.695
1783987209,2026-07-14T00:00:09+00:00,0.755
