datetime_utc,increase_max_3_6_june_2026_no,increase_max_3_6_june_2026_yes,increase_3_7_june_2026_no,increase_3_7_june_2026_yes,increase_3_8_june_2026_no,increase_3_8_june_2026_yes,increase_3_9_june_2026_no,increase_3_9_june_2026_yes,increase_4_0_june_2026_no,increase_4_0_june_2026_yes,increase_4_1_june_2026_no,increase_4_1_june_2026_yes,increase_4_2_june_2026_no,increase_4_2_june_2026_yes,increase_4_3_june_2026_no,increase_4_3_june_2026_yes,increase_4_4_june_2026_no,increase_4_4_june_2026_yes,increase_4_5_june_2026_no,increase_4_5_june_2026_yes,increase_4_6_june_2026_no,increase_4_6_june_2026_yes,increase_min_4_7_june_2026_no,increase_min_4_7_june_2026_yes
2026-06-11,,0.05,,0.07,,0.08,0.85,0.15,,,0.775,,,,,0.155,0.865,,,,0.88,,0.865,
2026-06-11,,,0.93,,,,,,0.815,,,0.225,,,,,,0.135,0.92,,,0.12,,
2026-06-11,,,,,0.925,,,,,,,,0.82,0.18,0.845,,,,,,,,,
2026-06-11,0.95,,,,,,,,,0.185,,,,,,,,,,0.08,,,,0.135
2026-06-12,,0.0005,,0.0005,,0.1545,0.635,0.365,,,0.865,,,,,0.0105,0.9975,,,,0.996,,0.9965,
2026-06-12,,,0.9995,,,,,,0.645,,,0.135,,,,,,0.0025,0.993,,,0.004,,
2026-06-12,,,,,0.8455,,,,,,,,0.985,0.015,0.9895,,,,,0.007,,,,
2026-06-12,0.9995,,,,,,,,,0.355,,,,,,,,,,,,,,0.0035
2026-06-13,,0.0045,,0.086,,0.3345,0.645,0.355,,,0.935,,,,,0.015,0.994,,,,0.9945,,0.9935,
2026-06-13,,,0.914,,,,,,0.865,,,0.065,,,,,,0.006,0.994,,,0.0055,,
2026-06-13,,,,,0.6655,,,,,,,,0.9595,0.0405,0.985,,,,,,,,,
2026-06-13,0.9955,,,,,,,,,0.135,,,,,,,,,,0.006,,,,0.0065
2026-06-14,,0.007,,0.1405,,0.393,0.675,0.325,,,0.95,,,,,0.012,0.9985,,,,0.999,,0.9935,
2026-06-14,,,0.8595,,,,,,0.905,,,0.05,,,,,,0.0015,0.9975,,,0.001,,
2026-06-14,,,,,0.607,,,,,,,,0.9885,0.0115,0.988,,,,,,,,,
2026-06-14,0.993,,,,,,,,,0.095,,,,,,,,,,0.0025,,,,0.0065
2026-06-15,,0.006,,0.137,,0.3025,0.65,0.35,,,0.935,,,,,0.0145,0.9985,,,,0.9985,,0.9945,
2026-06-15,,,0.863,,,,,,0.87,,,0.065,,,,,,0.0015,0.9985,,,0.0015,,
2026-06-15,,,,,0.6975,,,,,,,,0.9755,0.0245,0.9855,,,,,,,,,
2026-06-15,0.994,,,,,,,,,,,,,,,,,,,0.0015,,,,
2026-06-15,,,,,,,,,,0.13,,,,,,,,,,,,,,0.0055
2026-06-16,,0.0125,,0.2805,,0.3845,0.765,0.235,,,0.9585,,,,,0.0105,0.9995,,,,0.9995,,0.9995,
2026-06-16,,,0.7195,,,,,,0.935,,,0.0415,,,,,,0.0005,0.9995,,,0.0005,,
2026-06-16,,,,,0.6155,,,,,,,,0.987,0.013,0.9895,,,,,,,,,
2026-06-16,,,,,,,,,,,,,,,,,,,,0.0005,,,,
2026-06-16,0.9875,,,,,,,,,0.065,,,,,,,,,,,,,,0.0005
2026-06-17,,0.011,,0.3655,,0.4025,0.855,0.145,,,0.9745,,,,,0.0015,0.9985,,,,0.9985,,0.9985,
2026-06-17,,,0.6345,,,,,,0.945,,,0.0255,,,,,,0.0015,0.9985,,,,,
2026-06-17,,,,,,,,,,,,,,,,,,,,,,0.0015,,
2026-06-17,,,,,0.5975,,,,,,,,0.9875,0.0125,0.9985,,,,,,,,,
2026-06-17,0.989,,,,,,,,,0.055,,,,,,,,,,0.0015,,,,0.0015
2026-06-18,,0.0255,,0.2695,,0.4115,0.8,0.2,,,0.9595,,,,,0.0035,0.9985,,,,0.9985,,0.9985,
2026-06-18,,,0.7305,,,,,,0.945,,,0.0405,,,,,,0.0015,0.9985,,,,,
2026-06-18,,,,,,,,,,,,,,,,,,,,,,0.0015,,
2026-06-18,,,,,0.5885,,,,,,,,0.981,0.019,0.9965,,,,,0.0015,,,,
2026-06-18,0.9745,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,,,,,,,,,,0.055,,,,,,,,,,,,,,0.0015
2026-06-19,,0.014,,0.2775,,0.4145,0.86,0.14,,,0.9745,,,,,0.004,0.9985,,,,0.9985,,0.997,
2026-06-19,,,0.7225,,,,,,0.95,,,0.0255,,,,,,0.0015,0.9985,,,0.0015,,
2026-06-19,,,,,0.5855,,,,,,,,0.9835,0.0165,0.996,,,,,0.0015,,,,
2026-06-19,0.986,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,,,,,,,,,,0.05,,,,,,,,,,,,,,0.003
2026-06-20,,0.018,,0.3075,,0.4195,0.85,0.15,,,0.9695,,,,,0.003,0.9985,,,,0.9985,,0.997,
2026-06-20,,,0.6925,,,,,,0.96,,,0.0305,,,,,,0.0015,0.9985,,,0.0015,,
2026-06-20,,,,,0.5805,,,,,,,,0.98,0.02,0.997,,,,,,,,,
2026-06-20,0.982,,,,,,,,,,,,,,,,,,,0.0015,,,,
2026-06-20,,,,,,,,,,0.04,,,,,,,,,,,,,,0.003
2026-06-21,,0.0165,,0.291,,0.416,0.85,0.15,,,0.973,,,,,0.0065,0.9605,,,,0.9945,,0.997,
2026-06-21,,,0.709,,,,,,0.955,,,0.027,,,,,,0.0395,0.992,,,0.0055,,
2026-06-21,0.9835,,,,0.584,,,,,,,,0.9625,0.0375,0.9935,,,,,0.008,,,,
2026-06-21,,,,,,,,,,0.045,,,,,,,,,,,,,,0.003
2026-06-22,,0.01,,0.248,,0.4415,0.785,0.215,,,0.966,,,,,0.0025,0.9925,,,,0.9925,,0.9985,
2026-06-22,,,0.752,,,,,,0.955,,,0.034,,,,,,0.0075,0.9975,,,0.0075,,
2026-06-22,0.99,,,,0.5585,,,,,,,,0.9815,0.0185,0.9975,,,,,0.0025,,,,
2026-06-22,,,,,,,,,,0.045,,,,,,,,,,,,,,0.0015
2026-06-23,,0.016,,0.2535,,0.5405,0.82,0.18,,,0.9975,,,,,0.0015,0.9985,,,,0.9985,,0.9995,
2026-06-23,,,0.7465,,,,,,0.96,,,0.0025,,,,,,0.0015,0.9985,,,0.0015,,
2026-06-23,,,,,0.4595,,,,,,,,0.9955,0.0045,0.9985,,,,,,,,,
2026-06-23,,,,,,,,,,,,,,,,,,,,0.0015,,,,
2026-06-23,0.984,,,,,,,,,0.04,,,,,,,,,,,,,,0.0005
2026-06-24,,0.02,,0.269,,0.5215,0.83,0.17,,,0.995,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-06-24,,,0.731,,,,,,0.9675,,,0.005,,,,,,0.0005,0.9985,,,,,
2026-06-24,,,,,,,,,,,,,,,,,,,,,,0.0005,,
2026-06-24,,,,,0.4785,,,,,,,,0.996,0.004,0.9985,,,,,,,,,
2026-06-24,,,,,,,,,,,,,,,,,,,,0.0015,,,,
2026-06-24,0.98,,,,,,,,,0.0325,,,,,,,,,,,,,,0.0005
2026-06-25,,0.0615,,0.268,,0.5285,0.885,0.115,,,0.9885,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-06-25,,,0.732,,,,,,0.953,,,0.0115,,,,,,0.0005,0.9995,,,0.0005,,
2026-06-25,,,,,0.4715,,,,,,,,0.997,0.003,0.9985,,,,,0.0005,,,,
2026-06-25,0.9385,,,,,,,,,0.047,,,,,,,,,,,,,,0.0005
2026-06-26,,0.07,,0.2535,,0.53,0.905,0.095,,,0.9835,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-06-26,,,0.7465,,,,,,0.9555,,,0.0165,,,,,,0.0005,0.9995,,,0.0005,,
2026-06-26,,,,,0.47,,,,,,,,0.9975,0.0025,0.9985,,,,,0.0005,,,,
2026-06-26,0.93,,,,,,,,,0.0445,,,,,,,,,,,,,,0.0005
2026-06-27,,0.0245,,0.36,,0.5075,0.92,0.08,,,0.987,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-06-27,,,0.64,,,,,,0.9645,,,0.013,,,,,,0.0005,0.9995,,,0.0005,,
2026-06-27,,,,,0.4925,,,,,,,,0.998,0.002,0.9985,,,,,0.0005,,,,
2026-06-27,0.9755,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,,,,,,,,,,0.0355,,,,,,,,,,,,,,0.0005
2026-06-28,,,,0.3185,,,0.915,,,,0.9875,,,,,,,,,,,,,
2026-06-28,,0.0315,,,,0.527,,0.085,,,,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-06-28,,,0.6825,,,,,,0.9625,,,0.0125,,,,,,0.0005,0.9995,,,0.0005,,
2026-06-28,,,,,0.473,,,,,,,,0.998,0.002,0.9985,,,,,,,,,
2026-06-28,0.9685,,,,,,,,,0.0375,,,,,,,,,,0.0005,,,,0.0005
2026-06-29,,0.0415,,0.3115,,0.5065,0.955,0.045,,,0.974,,,,,0.0015,0.9985,,,,0.995,,0.9995,
2026-06-29,,,0.6885,,,,,,0.9625,,,0.026,,,,,,0.0015,0.9995,,,0.005,,
2026-06-29,,,,,0.4935,,,,,,,,0.9845,0.0155,0.9985,,,,,,,,,
2026-06-29,0.9585,,,,,,,,,,,,,,,,,,,0.0005,,,,
2026-06-29,,,,,,,,,,0.0375,,,,,,,,,,,,,,0.0005
2026-06-30,,0.073,,0.325,,,0.95,0.05,,,0.984,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-06-30,,,0.675,,,0.4545,,,0.964,,,0.016,,,,,,0.0005,0.9995,,,,,
2026-06-30,,,,,,,,,,,,,,,,,,,,,,0.0005,,
2026-06-30,,,,,,,,,,,,,0.9935,0.0065,,,,,,,,,,
2026-06-30,0.927,,,,0.5455,,,,,,,,,,0.9985,,,,,0.0005,,,,
2026-06-30,,,,,,,,,,0.036,,,,,,,,,,,,,,0.0005
2026-07-01,,0.0565,,0.334,,0.467,0.94,0.06,,,0.987,,,,,0.0015,0.999,,,,0.9995,,0.9995,
2026-07-01,,,0.6665,,,,,,0.979,,,0.013,,,,,,0.001,0.999,,,,,
2026-07-01,,,,,0.533,,,,,,,,0.989,0.011,,,,,,,,0.0005,,
2026-07-01,,,,,,,,,,,,,,,0.9985,,,,,,,,,
2026-07-01,0.9435,,,,,,,,,0.021,,,,,,,,,,0.001,,,,0.0005
2026-07-02,,0.037,,0.327,,0.45,0.915,0.085,,,0.988,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-07-02,,,0.673,,,,,,0.945,,,0.012,,,,,,0.0005,0.9995,,,0.0005,,
2026-07-02,,,,,0.55,,,,,,,,0.9965,0.0035,0.9985,,,,,,,,,
2026-07-02,,,,,,,,,,,,,,,,,,,,0.0005,,,,
2026-07-02,0.963,,,,,,,,,0.055,,,,,,,,,,,,,,0.0005
2026-07-03,,0.0665,,0.331,,0.4835,0.885,0.115,,,0.9955,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-07-03,,,0.669,,,,,,0.968,,,0.0045,,,,,,0.0005,0.9995,,,,,
2026-07-03,,,,,0.5165,,,,,,,,0.9985,0.0015,0.9985,,,,,,,0.0005,,
2026-07-03,,,,,,,,,,,,,,,,,,,,0.0005,,,,
2026-07-03,0.9335,,,,,,,,,0.032,,,,,,,,,,,,,,0.0005
2026-07-04,,0.0255,,0.3525,,,0.86,0.14,,,0.9955,,,,,0.0015,,,,,0.9995,,0.9995,
2026-07-04,,,0.6475,,,0.4845,,,0.9715,,,0.0045,,,,,0.9995,0.0005,0.9995,,,,,
2026-07-04,,,,,,,,,,,,,,,,,,,,,,0.0005,,
2026-07-04,,,,,0.5155,,,,,,,,0.9985,0.0015,,,,,,,,,,
2026-07-04,,,,,,,,,,,,,,,0.9985,,,,,,,,,
2026-07-04,0.9745,,,,,,,,,0.0285,,,,,,,,,,0.0005,,,,0.0005
2026-07-05,,0.024,,0.3225,,0.491,0.9,0.1,,,0.996,,,,,0.0015,0.9995,,,,0.9995,,0.9995,
2026-07-05,,,0.6775,,,,,,0.9755,,,0.004,,,,,,0.0005,0.9995,,,,,
2026-07-05,,,,,,,,,,,,,0.9975,,,,,,,,,0.0005,,
2026-07-05,,,,,0.509,,,,,,,,,0.0025,0.9985,,,,,,,,,
2026-07-05,0.976,,,,,,,,,0.0245,,,,,,,,,,0.0005,,,,0.0005
2026-07-06,,0.02,0.6875,0.3125,,0.4935,0.85,0.15,0.9705,,0.9965,0.0035,,,,0.0015,0.9995,0.0005,0.9995,,0.9995,0.0005,0.9995,
2026-07-06,0.98,,,,0.5065,,,,,0.0295,,,0.9975,0.0025,0.9985,,,,,0.0005,,,,0.0005
2026-07-07,,0.0105,,0.325,,,0.865,0.135,,,0.9965,,,,,0.0015,,,,,0.9995,,0.9995,
2026-07-07,,,0.675,,,0.522,,,0.973,,,0.0035,,,,,0.9995,0.0005,0.9965,,,,,
2026-07-07,,,,,,,,,,,,,0.9975,,,,,,,,,0.0005,,
2026-07-07,0.9895,,,,0.478,,,,,0.027,,,,0.0025,0.9985,,,,,0.0035,,,,0.0005
2026-07-08,,0.018,,0.246,,,0.815,0.185,,,0.9975,,,,,0.0015,,,,,0.9995,,0.9995,
2026-07-08,,,,,,0.5175,,,,,,,,,,,0.9995,,,,,,,
