timestamp_unix,datetime_utc,increase_2_3_march_2026_no
1771027248,2026-02-14T00:00:48+00:00,0.59
1771113647,2026-02-15T00:00:47+00:00,0.785
1771200058,2026-02-16T00:00:58+00:00,0.665
1771286450,2026-02-17T00:00:50+00:00,0.775
1771372853,2026-02-18T00:00:53+00:00,0.775
1771459257,2026-02-19T00:00:57+00:00,0.775
1771545651,2026-02-20T00:00:51+00:00,0.805
1771632034,2026-02-21T00:00:34+00:00,0.885
1771718435,2026-02-22T00:00:35+00:00,0.885
1771804841,2026-02-23T00:00:41+00:00,0.85
1771891243,2026-02-24T00:00:43+00:00,0.855
1771977648,2026-02-25T00:00:48+00:00,0.86
1772064042,2026-02-26T00:00:42+00:00,0.855
1772150448,2026-02-27T00:00:48+00:00,0.875
1772236846,2026-02-28T00:00:46+00:00,0.905
1772409657,2026-03-02T00:00:57+00:00,0.87
1772496052,2026-03-03T00:00:52+00:00,0.88
1772582452,2026-03-04T00:00:52+00:00,0.91
1772668849,2026-03-05T00:00:49+00:00,0.945
1772755248,2026-03-06T00:00:48+00:00,0.967
1772841652,2026-03-07T00:00:52+00:00,0.9935
1772928043,2026-03-08T00:00:43+00:00,0.9915
1773014439,2026-03-09T00:00:39+00:00,0.9915
1773100847,2026-03-10T00:00:47+00:00,0.9905
1773187250,2026-03-11T00:00:50+00:00,0.9905
1773273652,2026-03-12T00:00:52+00:00,0.9935
1773446459,2026-03-14T00:00:59+00:00,0.9955
1773705647,2026-03-17T00:00:47+00:00,0.9975
1773792049,2026-03-18T00:00:49+00:00,0.994
1773964854,2026-03-20T00:00:54+00:00,0.9965
1774051253,2026-03-21T00:00:53+00:00,0.9965
1774137651,2026-03-22T00:00:51+00:00,0.9975
1774224044,2026-03-23T00:00:44+00:00,0.9975
1774310439,2026-03-24T00:00:39+00:00,0.9955
1774396848,2026-03-25T00:00:48+00:00,0.997
1774483252,2026-03-26T00:00:52+00:00,0.9975
1774569656,2026-03-27T00:00:56+00:00,0.9975
1775347225,2026-04-05T00:00:25+00:00,0.997
1775692841,2026-04-09T00:00:41+00:00,0.9985
