timestamp_unix,datetime_utc,increase_2_3_march_2026_yes
1771027239,2026-02-14T00:00:39+00:00,0.41
1771113638,2026-02-15T00:00:38+00:00,0.215
1771200049,2026-02-16T00:00:49+00:00,0.335
1771286440,2026-02-17T00:00:40+00:00,0.225
1771372843,2026-02-18T00:00:43+00:00,0.225
1771459245,2026-02-19T00:00:45+00:00,0.225
1771545642,2026-02-20T00:00:42+00:00,0.195
1771632029,2026-02-21T00:00:29+00:00,0.115
1771718429,2026-02-22T00:00:29+00:00,0.115
1771804834,2026-02-23T00:00:34+00:00,0.15
1771891234,2026-02-24T00:00:34+00:00,0.145
1771977638,2026-02-25T00:00:38+00:00,0.14
1772064035,2026-02-26T00:00:35+00:00,0.145
1772150440,2026-02-27T00:00:40+00:00,0.125
1772236840,2026-02-28T00:00:40+00:00,0.095
1772323252,2026-03-01T00:00:52+00:00,0.1
1772409651,2026-03-02T00:00:51+00:00,0.13
1772496043,2026-03-03T00:00:43+00:00,0.12
1772582445,2026-03-04T00:00:45+00:00,0.09
1772668842,2026-03-05T00:00:42+00:00,0.055
1772755241,2026-03-06T00:00:41+00:00,0.033
1772841645,2026-03-07T00:00:45+00:00,0.0065
1772928037,2026-03-08T00:00:37+00:00,0.0085
1773014433,2026-03-09T00:00:33+00:00,0.0085
1773100839,2026-03-10T00:00:39+00:00,0.0095
1773187243,2026-03-11T00:00:43+00:00,0.0095
1773273644,2026-03-12T00:00:44+00:00,0.0065
1773446437,2026-03-14T00:00:37+00:00,0.0045
1773532838,2026-03-15T00:00:38+00:00,0.005
1773619251,2026-03-16T00:00:51+00:00,0.0025
1773705633,2026-03-17T00:00:33+00:00,0.0025
1773792034,2026-03-18T00:00:34+00:00,0.006
1773878442,2026-03-19T00:00:42+00:00,0.004
1773964839,2026-03-20T00:00:39+00:00,0.0035
1774051237,2026-03-21T00:00:37+00:00,0.0035
1774137634,2026-03-22T00:00:34+00:00,0.0025
1774224029,2026-03-23T00:00:29+00:00,0.0025
1774310426,2026-03-24T00:00:26+00:00,0.0045
1774396828,2026-03-25T00:00:28+00:00,0.003
1774483231,2026-03-26T00:00:31+00:00,0.0025
1774569629,2026-03-27T00:00:29+00:00,0.0025
1774656031,2026-03-28T00:00:31+00:00,0.0025
1774742434,2026-03-29T00:00:34+00:00,0.0025
1774828845,2026-03-30T00:00:45+00:00,0.0015
1774915241,2026-03-31T00:00:41+00:00,0.0015
1775001651,2026-04-01T00:00:51+00:00,0.0015
1775088045,2026-04-02T00:00:45+00:00,0.0015
1775174453,2026-04-03T00:00:53+00:00,0.0015
1775260846,2026-04-04T00:00:46+00:00,0.0015
1775433651,2026-04-06T00:00:51+00:00,0.0015
1775520046,2026-04-07T00:00:46+00:00,0.0015
1775606454,2026-04-08T00:00:54+00:00,0.0015
1775692807,2026-04-09T00:00:07+00:00,0.0015
1775779250,2026-04-10T00:00:50+00:00,0.001
